year,month,line,station,04-05 (on),04-05 (off),05-06 (on),05-06 (off),06-07 (on),06-07 (off),07-08 (on),07-08 (off),08-09 (on),08-09 (off),09-10 (on),09-10 (off),10-11 (on),10-11 (off),11-12 (on),11-12 (off),12-13 (on),12-13 (off),13-14 (on),13-14 (off),14-15 (on),14-15 (off),15-16 (on),15-16 (off),16-17 (on),16-17 (off),17-18 (on),17-18 (off),18-19 (on),18-19 (off),19-20 (on),19-20 (off),20-21 (on),20-21 (off),21-22 (on),21-22 (off),22-23 (on),22-23 (off),23-24 (on),23-24 (off),00-01 (on),00-01 (off),01-02 (on),01-02 (off),02-03 (on),02-03 (off),03-04 (on),03-04 (off),total(on),total(off)
2016,9,1호선,서울역,1214,67,12400,8370,15097,49713,47627,115249,88270,226902,74801,125023,73086,85497,92155,74585,107716,81225,105750,86233,89686,85835,127228,90905,125594,93621,145043,98384,232104,112536,139945,83751,100136,59403,106082,51783,88800,45082,43372,23720,6176,9054,323,758,0,15,0,0,1607711,1823407
2016,9,1호선,시청,59,3,2218,4658,3736,21592,7282,77510,9758,168269,12709,74798,16767,47110,22826,44860,25966,40197,31935,42212,38482,38290,47266,33683,53914,29712,68741,28486,129263,29284,74527,18335,61593,9501,59911,7750,39312,5978,14646,3679,1060,1320,5,38,0,0,0,0,727265,723933
2016,9,1호선,종로3가,181,8,5777,2708,5140,13124,7828,29874,12632,85909,16240,93327,27106,76061,39625,78496,51531,80025,62637,80442,70825,74425,78602,61222,87324,53025,95394,51830,118560,59658,96205,42350,66538,16931,72615,11844,63073,9621,26189,6557,3098,2885,75,111,0,0,0,0,930433,1009030
2016,9,1호선,종로5가,50,5,2213,2942,3536,14413,5840,45778,9719,119470,14203,80026,22959,59143,33203,61040,42353,58665,52116,54307,58746,52151,63446,47320,63320,41021,74901,38065,111763,36527,74162,24761,44238,11254,37297,7916,27084,5815,11473,3918,886,1211,11,31,0,0,0,0,765779,755485
2016,9,1호선,동대문,414,14,14110,2269,11582,8406,19185,15654,25036,34063,24582,32907,22757,33742,24127,39527,29749,40522,33410,39708,35500,37993,34534,36173,34245,34013,35108,33736,35101,34659,26416,38480,21311,28583,19255,21773,17281,19508,9719,15423,1216,5041,15,96,0,0,0,0,552290,476255
2016,9,1호선,신설동,252,6,7387,2242,10264,8668,22739,30983,28300,75164,22801,42004,21419,25101,23968,23075,25235,22248,27312,24582,26180,22569,29427,22151,31970,22314,40662,27149,61606,28169,33521,24616,20065,16042,18534,15586,14109,15706,5767,11102,534,2850,4,61,0,1,0,0,462389,473820
2016,9,1호선,제기동,250,8,4426,2710,9702,9826,24282,20880,31315,49497,25675,39715,30430,49380,40058,57374,46564,55869,49863,56134,53194,54605,58366,48450,57939,39229,51102,31682,47038,27104,25686,21927,13848,12558,11428,11236,7462,10846,3154,7745,231,1745,4,40,1,1,0,0,608561,593784
2016,9,경의선,백마,0,0,3529,880,14184,2624,35520,6958,25621,11658,15439,6353,11027,5171,9665,4634,9811,5463,8280,6616,7703,6859,7765,7825,8748,10286,10232,11614,10964,23481,6480,21223,4429,14003,4306,13090,4205,11708,1571,10973,155,2250,0,8,0,0,0,0,183677,201650
2016,9,경의선,풍산,2,0,2455,374,8757,2137,18367,3495,17049,7341,11471,5276,8038,4230,7159,4588,7083,5264,6416,4913,5944,5103,6648,6013,6861,8639,7578,8614,8053,13215,4856,14361,3881,10379,4231,9022,3407,8405,1170,7420,179,1542,1,23,0,0,0,0,130354,141620
2016,9,경의선,탄현,3,0,4842,661,18798,3524,39078,5802,27250,11879,16257,8207,12447,5087,11747,5721,11214,7766,10141,7003,8761,8869,9036,10350,10509,12665,11694,15224,12579,22483,7937,29942,6158,17703,5951,16580,4671,15129,1853,12268,300,4025,0,43,0,0,0,0,220931,233239
