year,month,line,station,04-05 (on),04-05 (off),05-06 (on),05-06 (off),06-07 (on),06-07 (off),07-08 (on),07-08 (off),08-09 (on),08-09 (off),09-10 (on),09-10 (off),10-11 (on),10-11 (off),11-12 (on),11-12 (off),12-13 (on),12-13 (off),13-14 (on),13-14 (off),14-15 (on),14-15 (off),15-16 (on),15-16 (off),16-17 (on),16-17 (off),17-18 (on),17-18 (off),18-19 (on),18-19 (off),19-20 (on),19-20 (off),20-21 (on),20-21 (off),21-22 (on),21-22 (off),22-23 (on),22-23 (off),23-24 (on),23-24 (off),00-01 (on),00-01 (off),01-02 (on),01-02 (off),02-03 (on),02-03 (off),03-04 (on),03-04 (off),total(on),total(off)
2016,10,수인선,달월,0,0,23,13,37,165,108,564,134,643,58,114,78,118,95,82,97,90,88,101,111,83,125,98,219,64,1322,78,426,90,89,91,37,80,60,60,9,61,18,62,1,7,0,0,0,0,0,0,2664,5151
2016,10,7호선,광명사거리,212,4,27681,4667,39974,13080,114498,20935,136368,32559,70838,27564,46172,25753,41464,28607,42558,31364,41859,34237,37748,37226,36022,43118,38480,52340,43027,65210,46075,98349,32906,100900,23187,61465,21143,57134,15096,52775,6963,35312,946,9875,0,5,0,0,0,0,832479,865021
2016,10,7호선,천왕,3,0,6298,1044,12187,4752,37892,7683,42861,13797,22565,7454,14164,6711,12963,7423,12969,8856,11828,10531,11000,11034,11741,12507,13950,14429,13941,16640,13189,25536,8813,28814,5920,18327,4677,16798,3728,15297,1630,10947,271,3477,0,79,0,0,0,0,242136,264603
2016,10,7호선,온수(성공회대입구),56,0,7573,1365,17607,5087,54203,14098,63332,24597,27889,15593,16050,9832,15199,9344,15515,10915,14126,12122,12566,11942,14125,13429,18429,16922,19134,21481,17783,36682,10340,40348,8117,25602,7900,23499,6615,20357,3271,15283,529,8192,1,1146,0,0,0,0,337836,352320
2016,10,7호선,부천종합운동장,15,0,3758,939,7988,3147,24418,6954,28152,12481,13390,6867,8698,4983,8771,4496,8935,4927,7567,5574,6587,5968,6484,6899,8378,8393,9201,10958,11565,15440,6574,17219,4839,12270,4446,9907,2710,10602,1203,7548,111,2573,0,0,0,0,0,0,158145,175791
2016,10,7호선,춘의,0,0,4489,1306,9030,5485,24234,29622,25521,47578,14825,13705,10169,7481,10068,6333,10482,6502,10489,7728,9322,8075,9218,8492,10523,9961,20340,13233,35934,18407,17827,18498,13652,13718,13764,11439,6136,10498,2262,8498,236,2492,0,0,0,0,0,0,249051,260537
2016,10,7호선,신중동,0,0,5847,1446,17875,5311,51139,16415,46903,42512,25908,27998,20165,16149,19630,15895,21247,16723,21218,18207,19984,19779,21275,20739,23030,24551,27278,30468,39831,41751,22606,48933,24608,27691,16854,24023,13995,21335,6366,17070,979,6131,0,0,0,0,0,0,443127,448754
2016,10,7호선,상동,7,0,4978,1728,16809,6503,45686,12991,38502,30888,22666,26969,17828,21181,17919,22342,21106,24718,22931,25966,23516,24076,25493,24979,27535,26511,30366,32703,33294,43313,23461,46182,20906,29013,21710,22559,21697,18784,8926,14851,1452,4644,1,405,0,0,0,0,461306,448798
2016,10,7호선,까치울,2,0,2971,735,9569,2796,30373,4433,35551,8615,17696,6019,10710,5475,9808,6486,9940,7988,10394,7544,9965,8305,9749,8797,10371,12038,10996,15461,10744,22106,7092,23237,5283,15321,5102,13951,3609,13942,1403,8087,178,2386,0,0,0,0,0,0,193722,213520
2016,10,7호선,삼산체육관,4,0,3078,401,9733,1729,29154,3052,25560,8579,13450,5198,8972,4418,8564,4250,8903,6105,8203,7668,7831,7134,8308,7833,10345,9208,8668,12782,7976,17185,5175,17969,3992,13107,4916,11450,2659,10331,1185,8057,219,2356,1,565,0,0,0,0,159377,178908
2016,10,7호선,굴포천,5,0,6073,494,14502,3815,40408,5592,39545,13254,20516,10006,14619,6722,13715,7676,14339,9134,13064,10778,11310,11589,11279,12392,12362,15905,13538,21539,15636,32013,9794,36883,7526,25449,7060,20882,5824,20123,3008,13453,469,4244,1,787,0,0,0,0,282730,276604
2016,10,7호선,부천시청,10,0,5264,1382,16365,4832,43239,15156,39960,29429,20898,21864,16330,13685,16169,14768,17651,16629,17742,19219,17079,19472,19057,20456,22018,22731,26464,28353,29767,39586,20803,44121,22097,25329,18410,21124,14903,17026,6087,14302,795,4512,0,98,0,0,0,0,394074,393114
2016,10,7호선,부평구청,18,0,8313,828,27950,6592,68535,12032,54959,12797,28986,8118,20211,6425,17564,6490,17288,8144,15554,9445,13292,10731,13182,12794,14273,15414,19703,20843,17861,27858,11733,37983,9246,27862,7345,23479,5918,23684,2701,14702,422,6577,2,1955,0,0,0,0,294753,377054
2016,10,8호선,암사,18,0,12730,1069,26266,6328,84017,9601,100170,21620,50855,16289,30434,12793,26704,13701,26479,16148,25913,18348,21923,20943,20962,25959,21859,31141,25343,39399,27364,60346,18167,58884,12082,37198,10290,35747,7476,32646,3173,22362,531,5466,2,851,0,0,0,0,486839,554756
2016,10,8호선,천호(풍납토성),31,0,12422,1687,21306,12977,56130,21045,76208,36940,42578,31257,27343,23182,25499,24790,27362,26477,28580,30699,26296,31698,27228,34041,30115,39657,35751,53101,43318,73999,28631,68878,23548,39533,20244,34635,17044,32038,7940,20758,1465,6648,0,220,0,0,0,0,644260,581024
2016,10,8호선,잠실(송파구청),20,2,1487,1787,3143,12827,7810,28086,11803,60316,9992,34641,9043,22522,10852,27590,14164,26827,17421,30587,20843,28048,26487,29085,30225,28942,37434,30302,50150,36352,37938,24183,34474,12352,31714,9056,25335,7417,8711,4503,1170,1629,0,64,0,0,0,0,457118,392212
2016,10,8호선,석촌,0,0,3807,875,7912,5810,24269,10068,35229,29213,18951,22008,13425,13843,13072,10798,13810,11671,14338,13579,12699,14476,13716,13377,15310,16788,18643,18588,25715,28311,14134,25363,9860,16014,10178,14692,7699,12208,3022,8983,441,2401,2,104,0,0,0,0,289170,278248
2016,10,8호선,송파,1,0,1810,1638,5020,7263,12967,14047,17323,21346,10364,10420,7662,6976,7593,5542,9738,6729,8523,8610,8569,10038,9459,8991,15346,9809,15494,10774,18287,13910,9068,11934,5761,7597,5437,7617,4535,5903,1510,4381,218,926,0,109,0,0,0,0,174560,176700
2016,10,8호선,몽촌토성(평화의문),2,0,1854,955,4516,5734,11748,10240,16191,33970,10113,22156,8541,12341,9920,12664,10460,12991,12521,14862,13659,14876,16171,13578,19099,13164,21093,14516,28480,17009,14883,13524,9912,8397,10523,6980,7424,7369,2764,3771,342,1297,0,0,0,0,0,0,240394,232230
2016,10,8호선,강동구청,0,0,4408,923,11545,5323,36717,14345,44324,37757,24605,15351,16484,11735,15318,10733,15592,11850,16095,13502,14517,14743,14490,16044,16313,19611,18343,23094,30651,33028,13894,31504,8965,19004,8464,17045,5884,17322,2400,9742,331,3221,0,0,0,0,0,0,325877,321356
2016,10,8호선,가락시장,16,0,2829,2606,4605,6295,10138,13375,13260,41237,11203,17957,10354,10630,10614,10519,10750,10892,11591,11865,11836,11549,13153,12206,13520,13093,15919,15507,27713,21172,14188,18149,10844,12631,11108,10713,9766,8981,4799,5402,812,2548,2,501,0,0,0,0,257828,221020
2016,10,8호선,문정,0,0,1685,2797,5825,20106,16688,20407,19986,53085,13054,20836,8895,8935,8652,7697,9519,7191,10471,8667,10458,8123,11623,9440,17618,10271,27403,13309,41558,15788,17011,14520,11010,9348,10127,8685,11830,8748,2836,5139,429,1477,0,0,0,0,0,0,254569,258694
2016,10,8호선,장지,3,0,4708,2460,15682,11895,41317,19916,47138,53789,27320,29150,19458,17531,17995,17923,19079,21963,20770,21003,19997,19810,23980,21363,29788,24420,35801,30271,49488,39027,28119,34920,18897,21603,17978,20238,17753,19699,5761,12328,614,3517,0,0,0,0,0,0,442826,463659
