year,month,line,station,04-05 (on),04-05 (off),05-06 (on),05-06 (off),06-07 (on),06-07 (off),07-08 (on),07-08 (off),08-09 (on),08-09 (off),09-10 (on),09-10 (off),10-11 (on),10-11 (off),11-12 (on),11-12 (off),12-13 (on),12-13 (off),13-14 (on),13-14 (off),14-15 (on),14-15 (off),15-16 (on),15-16 (off),16-17 (on),16-17 (off),17-18 (on),17-18 (off),18-19 (on),18-19 (off),19-20 (on),19-20 (off),20-21 (on),20-21 (off),21-22 (on),21-22 (off),22-23 (on),22-23 (off),23-24 (on),23-24 (off),00-01 (on),00-01 (off),01-02 (on),01-02 (off),02-03 (on),02-03 (off),03-04 (on),03-04 (off),total(on),total(off)
2017,2,5호선,오목교(목동운동장앞),0,0,4590,1804,15200,8509,48303,23433,56206,78980,31493,65871,25559,35189,28049,35580,31877,40210,35379,45091,37458,42608,41566,41309,47783,45035,54499,51674,83248,76933,50286,70459,51368,35893,40267,30537,35651,29092,12295,18921,1778,5024,0,0,0,0,0,0,782152,734872
2017,2,5호선,목동,0,0,7572,1400,19451,6236,63635,12390,74088,27806,35545,24035,26087,18289,25349,16699,25996,19288,26310,24262,24216,24927,23809,27826,25484,31412,28874,38971,35408,68548,20983,71992,16752,40772,16285,37114,18202,35378,6995,23112,1045,7346,1,1,0,0,0,0,557804,524104
2017,2,5호선,신정(은행정),16,1,10962,817,22632,4251,68350,7113,82945,15359,37642,10234,21770,8053,19088,8108,19141,9237,18770,11608,15149,12386,13291,15828,14338,18905,15854,24569,19333,38700,12095,41312,7465,27965,6182,25209,4823,24593,2160,17600,361,5229,0,0,0,0,0,0,327077,414368
2017,2,5호선,양평,0,0,2244,796,5709,3822,17358,8570,19341,38108,9186,13904,7111,6730,6756,5576,6760,5600,7665,5996,6935,6227,7566,6674,8489,7245,11546,8401,28429,13856,13172,14207,7196,8897,6198,8370,3875,8302,1792,5685,284,1742,0,1,0,0,0,0,178709,179629
2017,2,5호선,영등포구청,1,1,1090,319,1844,1789,6166,4473,8329,20102,4181,9680,3747,4591,4186,3957,3982,3765,4659,4636,4703,4661,5012,4484,5266,4405,7359,4873,14446,8492,7397,6590,4376,3674,3989,3355,3272,3401,1344,2112,199,562,0,0,0,0,0,0,99922,97564
2017,2,5호선,영등포시장,2,0,2248,1354,3692,5844,11524,11505,16456,37455,8485,19809,7816,14750,8560,15028,9911,16456,12264,21698,12758,19066,16033,14195,21088,13275,24947,14385,36731,18998,19052,14845,12328,8580,10664,7392,7855,6794,3462,4298,360,1094,0,0,0,0,0,0,266821,248251
2017,2,5호선,신길,3,0,1421,295,2707,1708,8867,4600,12466,15855,4915,6663,3159,3357,3102,3029,3714,3091,3674,3749,3227,3229,3361,3779,4303,3982,5323,5930,10885,10314,5045,8265,3184,5378,3141,5750,2134,5618,1141,3821,166,1046,0,0,0,0,0,0,99459,87952
2017,2,5호선,여의도,8,0,2398,2326,4242,21606,9695,121847,13547,205360,11918,62452,11353,27019,17584,28538,17319,26781,22964,30969,25033,24578,31831,23162,36126,23398,63953,25010,167168,36077,78319,24768,48968,11881,50198,9348,35775,7838,13420,4899,1548,3049,0,0,0,0,0,0,720906,665376
2017,2,5호선,여의나루,2,0,974,1028,2393,5543,5127,25828,7863,59916,5714,13774,4863,10166,7200,9141,7769,10306,8484,11338,10590,11144,12034,10327,14370,10337,22691,10384,45096,12232,22954,9742,14319,6228,12089,4639,8184,3716,2939,2308,219,850,0,0,0,0,0,0,228947,217889
2017,2,5호선,공덕,9,0,1827,814,5143,7439,18041,26480,27497,83331,13854,32253,11883,15196,14009,14894,15597,14082,18203,15639,18446,14560,18327,15097,20387,16330,29155,21345,64347,38582,31557,29138,21115,15542,21216,13368,17105,12005,8186,7628,1183,2091,0,0,0,0,0,0,395814,379095
2017,2,5호선,마포,17,0,2479,1142,7901,6123,26377,21729,36263,76371,19453,36153,14832,17651,16222,16974,17409,15793,21099,17194,19005,17547,20400,17227,21411,18934,29626,24948,60448,44205,30077,35115,22102,19519,23231,16853,18533,14567,8076,9747,1000,2705,0,0,0,0,0,0,430497,417961
2017,2,5호선,애오개,1,0,2295,413,5093,3505,17307,8060,24790,32085,12344,13189,8641,8060,9114,6698,9841,6622,10674,8068,9938,8388,9630,8974,9823,9707,12967,11340,25033,19659,11136,17297,6921,10757,6587,9717,4726,9375,1853,5787,192,2936,0,471,0,0,0,0,201108,200922
2017,2,5호선,충정로(경기대입구),2,0,954,214,1989,1440,5036,7534,7075,31175,4634,18881,4024,5866,4525,3920,5102,4186,7803,4921,6342,4625,6828,4850,7117,5164,9309,5508,28776,8862,11751,7088,6779,4513,6232,4619,4385,4393,2311,2823,332,859,0,58,0,0,0,0,131499,133321
2017,2,5호선,서대문,2,0,3036,1079,5391,12985,13590,50184,21463,135533,15139,41129,14334,23236,17209,19712,19146,18309,20441,23172,23737,19904,26765,16963,31634,16847,43389,19124,98007,26050,41466,19885,28545,11706,28024,10344,18470,9342,7654,5134,883,1714,0,30,0,0,0,0,482382,480340
2017,2,5호선,광화문(세종문화회관),6,0,1293,748,3529,24647,10684,104725,16158,295349,14605,108983,16333,53493,24647,57440,29831,54364,44488,67519,53733,61767,64766,54307,75840,61041,109861,71334,241868,86821,143587,55090,97147,19494,109691,11702,70353,7621,24551,4557,2768,1576,0,1,0,0,0,0,1202579,1157750
2017,2,5호선,종로3가,22,0,1703,291,2280,4906,3521,12779,5387,45364,6498,39163,8641,30855,12335,31649,17737,33185,22238,32833,25771,29936,28752,25065,34845,22583,39227,23549,55246,26792,42988,18571,33444,8970,33895,7297,28031,6034,13793,4217,1842,1414,1,10,0,0,0,0,405463,420192
2017,2,5호선,을지로4가,4,0,357,200,684,3833,1159,11601,1747,40371,2740,21301,3393,12515,4528,10714,5461,10421,7218,9902,8707,9674,9858,7964,10792,7072,15003,5792,30141,5413,19974,3112,9305,1653,7555,1461,4751,1179,2095,837,347,342,0,0,0,0,0,0,165357,147832
2017,2,5호선,동대문역사문화공원,2,0,186,254,547,2863,866,11115,1942,33068,2491,13029,2725,4529,3874,3381,3034,3306,2711,3625,3071,3494,3721,2976,4074,2891,7466,3145,21181,3397,12329,2781,5976,1943,4560,2094,3300,1975,1430,1618,302,462,0,7,0,0,0,0,101953,87803
2017,2,5호선,행당,0,0,3814,768,10140,2714,30638,4171,42859,9122,21786,7296,13744,5787,12465,6108,12320,7788,12392,8923,10469,9706,9254,11050,9682,13101,11145,15445,11773,26013,7768,24265,5457,15589,4955,14206,4078,14326,1567,8769,222,2723,0,0,0,0,0,0,207870,238545
2017,2,5호선,청구,5,0,1346,173,2631,1629,6361,3209,11212,15002,7014,8303,5243,4245,5736,3832,5615,4058,6108,4667,5654,4853,5555,5307,6242,5853,6777,6849,11819,9972,9480,9191,5561,5749,5034,5227,3852,5364,1953,3782,408,1236,0,0,0,0,0,0,108501,115618
2017,2,5호선,신금호,2,0,2648,945,5817,6333,17403,5653,25064,11735,12691,7952,8513,5638,8138,5111,9605,6199,9017,7326,7676,7697,7950,8883,10557,9638,11704,12018,11045,18982,7916,17529,4993,10547,4138,9474,3377,9457,1496,6366,222,2255,0,0,0,0,0,0,169738,171987
2017,2,5호선,왕십리(성동구청),48,0,2239,401,2498,2411,5896,5439,9036,20018,5518,10174,5186,7312,5661,8008,6630,9168,7871,10025,7965,9888,8286,9757,9275,10293,11364,12134,16488,18541,10890,15380,9235,7977,10072,6323,8377,5715,4160,3815,702,2275,0,346,0,0,0,0,175400,149366
2017,2,5호선,마장,0,0,2124,395,5080,3506,14249,6639,21113,17870,11723,10596,8520,7404,8563,7243,10452,8076,9750,7729,9381,7317,9237,7644,9475,8432,10532,10210,13858,15732,9120,14732,6370,8704,5567,7909,4350,7809,1776,5091,237,1543,0,26,0,0,0,0,164607,173494
2017,2,5호선,답십리,8,0,8785,893,16774,7787,52524,13967,73158,36442,35420,17983,22919,13412,20923,14244,21766,16053,22579,18666,20286,20146,20221,20262,23184,22670,28071,29546,37694,48058,22833,46228,13909,27583,12119,25417,9149,25759,4278,17003,591,4998,1,54,0,0,0,0,427171,469201
2017,2,5호선,장한평,4,1,5494,825,15249,9237,46124,21526,64651,73296,33109,33953,23891,22036,20515,21937,22886,21502,24007,26416,22929,23720,25492,22984,31134,25279,39165,31771,64879,49088,42281,48759,18713,30021,15665,25674,12208,24482,5734,16120,673,5379,0,51,0,0,0,0,534057,536816
2017,2,5호선,아차산(어린이대공원후문),0,0,6729,910,14038,5571,40084,10209,61354,26630,31119,18148,20513,17280,19176,14903,21907,16527,25995,18288,24310,17544,22123,19645,22760,22223,25203,27613,25430,41775,17722,41706,11602,26601,10772,23663,8045,22479,3686,14728,483,4518,0,0,0,0,0,0,390961,415068
2017,2,5호선,군자(능동),40,1,5468,732,10219,6712,31757,9006,49262,26209,21355,18566,13823,12809,12790,12310,14264,14166,14985,16223,13575,18509,12692,19654,14709,22074,18088,30257,24164,47452,16814,46678,11721,26141,12678,23369,11346,22681,5867,15240,990,6919,0,1270,0,0,0,0,396978,318584
2017,2,1호선,시청,43,0,2037,3895,3232,18744,6603,68238,8635,169610,11427,73424,15245,42257,19909,42379,22674,44408,30536,71494,40338,79173,58566,52739,65708,42170,80331,38115,154160,36202,97079,21008,68764,10333,65684,7935,41888,6042,14871,3586,1188,1273,3,23,0,0,0,0,833048,810895
2017,2,1호선,종각,64,1,3900,4491,4621,23650,7808,106762,12689,271333,15549,144124,22319,77934,34355,72170,43009,69715,60547,76897,68756,66976,81653,59125,90619,60440,123554,69337,238482,92678,150703,65326,127015,24845,145491,14103,119260,9288,56836,5781,5048,1675,0,12,0,0,0,0,1316663,1414231
2017,2,1호선,종로3가,158,6,4526,2050,3940,10988,6345,29081,10491,86662,13970,97074,23401,80471,37925,86245,53410,89250,69020,91864,78894,80988,86910,66914,96387,57718,100022,55046,125713,61984,101871,42971,73627,16969,78626,11699,64484,8532,27497,5860,3015,2712,0,20,0,0,0,0,985104,1062091
2017,2,1호선,종로5가,48,2,2080,2882,3022,12983,4993,40175,8964,121373,12478,81000,19362,55669,28783,62144,39102,62407,53153,59341,61726,55388,66646,48519,68013,44318,80655,40103,123725,40458,77930,26611,49877,12545,41757,8905,31904,6024,12853,4353,925,1261,1,2,0,0,0,0,786463,789966
2017,2,1호선,동대문,528,2,13743,1950,10408,7263,15126,14335,22942,32241,21973,30122,20142,29932,21550,34401,26222,36173,29998,36084,31792,34727,35044,32732,32548,29966,34317,30221,34154,32289,24751,32916,19567,25152,16793,19534,14436,17226,8049,15112,1038,4511,2,72,0,0,0,0,496961,436612
2017,2,1호선,신설동,218,5,7352,1942,9710,6679,19652,23812,26142,69638,20433,38820,18471,24295,21728,22573,23338,22001,27148,23609,26544,21884,27947,22031,29931,21194,37257,26177,64019,28195,32335,24358,18904,16147,17473,15076,12231,14773,5934,10008,439,2342,1,0,1,1,0,0,435560,449007
2017,2,1호선,제기동,181,7,3533,2133,7523,7940,21304,17913,30282,46646,21780,32604,23241,36223,30635,46940,37869,53384,45344,56717,53352,52222,59031,44337,57500,34408,47360,27701,46532,27098,24392,22713,13723,14137,11305,12714,8558,11983,3570,8447,218,1935,0,0,1,0,0,0,558202,549070
2017,2,1호선,청량리(서울시립대입구),1211,51,11594,3233,17089,11592,42464,20921,61384,42187,42293,35908,35686,38312,41468,49784,47688,58388,52166,69413,56200,68586,64404,59857,72863,53919,67356,54282,58700,66617,40746,56664,31604,36085,24888,32985,17312,34151,7630,21749,521,6992,2,2,0,1,0,0,821679,796075
