year,month,line,station,04-05 (on),04-05 (off),05-06 (on),05-06 (off),06-07 (on),06-07 (off),07-08 (on),07-08 (off),08-09 (on),08-09 (off),09-10 (on),09-10 (off),10-11 (on),10-11 (off),11-12 (on),11-12 (off),12-13 (on),12-13 (off),13-14 (on),13-14 (off),14-15 (on),14-15 (off),15-16 (on),15-16 (off),16-17 (on),16-17 (off),17-18 (on),17-18 (off),18-19 (on),18-19 (off),19-20 (on),19-20 (off),20-21 (on),20-21 (off),21-22 (on),21-22 (off),22-23 (on),22-23 (off),23-24 (on),23-24 (off),00-01 (on),00-01 (off),01-02 (on),01-02 (off),02-03 (on),02-03 (off),03-04 (on),03-04 (off),Total(on),Total(off),X(WGS),Y(WGS)
2015,4,2호선,시청,48,1,1312,2031,3096,24544,6509,115076,10543,221546,13934,84925,19463,34826,27302,33098,27141,30666,34417,36342,38281,33709,43865,30552,50538,27281,77030,27979,166071,32402,99631,23568,62374,11304,63405,9065,44018,8335,20010,5505,2699,1887,0,119,0,1,0,0,794762,813654,37.564718,126.977108
2015,4,2호선,시청,48,1,1312,2031,3096,24544,6509,115076,10543,221546,13934,84925,19463,34826,27302,33098,27141,30666,34417,36342,38281,33709,43865,30552,50538,27281,77030,27979,166071,32402,99631,23568,62374,11304,63405,9065,44018,8335,20010,5505,2699,1887,0,119,0,1,0,0,794762,813654,37.564718,126.977108
2015,4,2호선,시청,48,1,1312,2031,3096,24544,6509,115076,10543,221546,13934,84925,19463,34826,27302,33098,27141,30666,34417,36342,38281,33709,43865,30552,50538,27281,77030,27979,166071,32402,99631,23568,62374,11304,63405,9065,44018,8335,20010,5505,2699,1887,0,119,0,1,0,0,794762,813654,37.564718,126.977108
2015,4,2호선,시청,48,1,1312,2031,3096,24544,6509,115076,10543,221546,13934,84925,19463,34826,27302,33098,27141,30666,34417,36342,38281,33709,43865,30552,50538,27281,77030,27979,166071,32402,99631,23568,62374,11304,63405,9065,44018,8335,20010,5505,2699,1887,0,119,0,1,0,0,794762,813654,37.564718,126.977108
2015,4,1호선,시청,69,2,2458,5032,4009,26326,8170,88017,10541,185800,13791,80676,17369,45308,24086,43006,25854,38908,31945,41944,38595,40197,47844,35533,55766,29825,71411,30410,136875,35717,85552,24591,66651,11745,69485,9098,49573,7313,18879,4412,1429,1482,1,34,0,0,0,0,785376,782299,37.564718,126.977108
2015,4,1호선,시청,69,2,2458,5032,4009,26326,8170,88017,10541,185800,13791,80676,17369,45308,24086,43006,25854,38908,31945,41944,38595,40197,47844,35533,55766,29825,71411,30410,136875,35717,85552,24591,66651,11745,69485,9098,49573,7313,18879,4412,1429,1482,1,34,0,0,0,0,785376,782299,37.564718,126.977108
2015,4,1호선,시청,69,2,2458,5032,4009,26326,8170,88017,10541,185800,13791,80676,17369,45308,24086,43006,25854,38908,31945,41944,38595,40197,47844,35533,55766,29825,71411,30410,136875,35717,85552,24591,66651,11745,69485,9098,49573,7313,18879,4412,1429,1482,1,34,0,0,0,0,785376,782299,37.564718,126.977108
2015,4,1호선,시청,69,2,2458,5032,4009,26326,8170,88017,10541,185800,13791,80676,17369,45308,24086,43006,25854,38908,31945,41944,38595,40197,47844,35533,55766,29825,71411,30410,136875,35717,85552,24591,66651,11745,69485,9098,49573,7313,18879,4412,1429,1482,1,34,0,0,0,0,785376,782299,37.564718,126.977108
2015,4,1호선,종각,153,1,4472,5255,5853,30986,10496,133149,16540,286013,20340,158122,26720,78717,38496,73840,46854,66741,64395,72686,71086,61851,80119,54665,90411,52607,123544,64100,240065,91050,151770,71038,120273,28774,143458,16511,132396,11439,64931,6878,5825,1904,0,1,0,1,0,0,1366329,1460059,37.570161,126.982923
2015,4,1호선,종로3가,133,4,5157,2065,4979,13826,8524,35579,14697,98423,19519,106690,29405,85578,43961,85686,56017,86087,71990,90827,80968,80545,90121,68351,99174,58378,106228,58088,131303,70822,110526,52145,78298,21000,85831,14291,77455,11344,34641,7761,3856,3328,2,58,0,0,0,0,1050876,1154667,37.571607,126.99180600000001
2015,4,1호선,종로3가,133,4,5157,2065,4979,13826,8524,35579,14697,98423,19519,106690,29405,85578,43961,85686,56017,86087,71990,90827,80968,80545,90121,68351,99174,58378,106228,58088,131303,70822,110526,52145,78298,21000,85831,14291,77455,11344,34641,7761,3856,3328,2,58,0,0,0,0,1050876,1154667,37.571607,126.99180600000001
2015,4,1호선,종로3가,133,4,5157,2065,4979,13826,8524,35579,14697,98423,19519,106690,29405,85578,43961,85686,56017,86087,71990,90827,80968,80545,90121,68351,99174,58378,106228,58088,131303,70822,110526,52145,78298,21000,85831,14291,77455,11344,34641,7761,3856,3328,2,58,0,0,0,0,1050876,1154667,37.571607,126.99180600000001
2015,4,1호선,종로3가,133,4,5157,2065,4979,13826,8524,35579,14697,98423,19519,106690,29405,85578,43961,85686,56017,86087,71990,90827,80968,80545,90121,68351,99174,58378,106228,58088,131303,70822,110526,52145,78298,21000,85831,14291,77455,11344,34641,7761,3856,3328,2,58,0,0,0,0,1050876,1154667,37.571607,126.99180600000001
2015,4,1호선,종로3가,133,4,5157,2065,4979,13826,8524,35579,14697,98423,19519,106690,29405,85578,43961,85686,56017,86087,71990,90827,80968,80545,90121,68351,99174,58378,106228,58088,131303,70822,110526,52145,78298,21000,85831,14291,77455,11344,34641,7761,3856,3328,2,58,0,0,0,0,1050876,1154667,37.571607,126.99180600000001
2015,4,1호선,종로3가,133,4,5157,2065,4979,13826,8524,35579,14697,98423,19519,106690,29405,85578,43961,85686,56017,86087,71990,90827,80968,80545,90121,68351,99174,58378,106228,58088,131303,70822,110526,52145,78298,21000,85831,14291,77455,11344,34641,7761,3856,3328,2,58,0,0,0,0,1050876,1154667,37.571607,126.99180600000001
2015,4,1호선,종로3가,133,4,5157,2065,4979,13826,8524,35579,14697,98423,19519,106690,29405,85578,43961,85686,56017,86087,71990,90827,80968,80545,90121,68351,99174,58378,106228,58088,131303,70822,110526,52145,78298,21000,85831,14291,77455,11344,34641,7761,3856,3328,2,58,0,0,0,0,1050876,1154667,37.571607,126.99180600000001
2015,4,1호선,종로3가,133,4,5157,2065,4979,13826,8524,35579,14697,98423,19519,106690,29405,85578,43961,85686,56017,86087,71990,90827,80968,80545,90121,68351,99174,58378,106228,58088,131303,70822,110526,52145,78298,21000,85831,14291,77455,11344,34641,7761,3856,3328,2,58,0,0,0,0,1050876,1154667,37.571607,126.99180600000001
2015,4,1호선,종로3가,133,4,5157,2065,4979,13826,8524,35579,14697,98423,19519,106690,29405,85578,43961,85686,56017,86087,71990,90827,80968,80545,90121,68351,99174,58378,106228,58088,131303,70822,110526,52145,78298,21000,85831,14291,77455,11344,34641,7761,3856,3328,2,58,0,0,0,0,1050876,1154667,37.571607,126.99180600000001
2015,4,3호선,종로3가,15,1,859,700,1384,3944,2040,14156,3136,49323,5004,47154,7192,33012,9061,24853,10378,25413,13098,29089,15501,26241,19193,20831,23806,17729,28652,16819,41123,17886,40431,12766,19502,6509,18176,5013,12609,4242,5846,2852,917,1044,1,12,0,1,0,0,359590,279924,37.571607,126.99180600000001
2015,4,3호선,종로3가,15,1,859,700,1384,3944,2040,14156,3136,49323,5004,47154,7192,33012,9061,24853,10378,25413,13098,29089,15501,26241,19193,20831,23806,17729,28652,16819,41123,17886,40431,12766,19502,6509,18176,5013,12609,4242,5846,2852,917,1044,1,12,0,1,0,0,359590,279924,37.571607,126.99180600000001
2015,4,3호선,종로3가,15,1,859,700,1384,3944,2040,14156,3136,49323,5004,47154,7192,33012,9061,24853,10378,25413,13098,29089,15501,26241,19193,20831,23806,17729,28652,16819,41123,17886,40431,12766,19502,6509,18176,5013,12609,4242,5846,2852,917,1044,1,12,0,1,0,0,359590,279924,37.571607,126.99180600000001
2015,4,3호선,종로3가,15,1,859,700,1384,3944,2040,14156,3136,49323,5004,47154,7192,33012,9061,24853,10378,25413,13098,29089,15501,26241,19193,20831,23806,17729,28652,16819,41123,17886,40431,12766,19502,6509,18176,5013,12609,4242,5846,2852,917,1044,1,12,0,1,0,0,359590,279924,37.571607,126.99180600000001
2015,4,3호선,종로3가,15,1,859,700,1384,3944,2040,14156,3136,49323,5004,47154,7192,33012,9061,24853,10378,25413,13098,29089,15501,26241,19193,20831,23806,17729,28652,16819,41123,17886,40431,12766,19502,6509,18176,5013,12609,4242,5846,2852,917,1044,1,12,0,1,0,0,359590,279924,37.571607,126.99180600000001
2015,4,3호선,종로3가,15,1,859,700,1384,3944,2040,14156,3136,49323,5004,47154,7192,33012,9061,24853,10378,25413,13098,29089,15501,26241,19193,20831,23806,17729,28652,16819,41123,17886,40431,12766,19502,6509,18176,5013,12609,4242,5846,2852,917,1044,1,12,0,1,0,0,359590,279924,37.571607,126.99180600000001
2015,4,3호선,종로3가,15,1,859,700,1384,3944,2040,14156,3136,49323,5004,47154,7192,33012,9061,24853,10378,25413,13098,29089,15501,26241,19193,20831,23806,17729,28652,16819,41123,17886,40431,12766,19502,6509,18176,5013,12609,4242,5846,2852,917,1044,1,12,0,1,0,0,359590,279924,37.571607,126.99180600000001
2015,4,3호선,종로3가,15,1,859,700,1384,3944,2040,14156,3136,49323,5004,47154,7192,33012,9061,24853,10378,25413,13098,29089,15501,26241,19193,20831,23806,17729,28652,16819,41123,17886,40431,12766,19502,6509,18176,5013,12609,4242,5846,2852,917,1044,1,12,0,1,0,0,359590,279924,37.571607,126.99180600000001
2015,4,3호선,종로3가,15,1,859,700,1384,3944,2040,14156,3136,49323,5004,47154,7192,33012,9061,24853,10378,25413,13098,29089,15501,26241,19193,20831,23806,17729,28652,16819,41123,17886,40431,12766,19502,6509,18176,5013,12609,4242,5846,2852,917,1044,1,12,0,1,0,0,359590,279924,37.571607,126.99180600000001
2015,4,5호선,종로3가,11,1,1747,308,2583,6121,4178,18040,6535,54451,7800,43431,10004,32336,13374,31376,19158,31986,22899,31495,25575,28931,28260,24797,34029,22756,40331,22990,58288,27254,46305,19945,31857,9920,31527,8111,26107,6934,13775,4913,1739,1565,0,12,0,0,0,0,427673,428086,37.571607,126.99180600000001
2015,4,5호선,종로3가,11,1,1747,308,2583,6121,4178,18040,6535,54451,7800,43431,10004,32336,13374,31376,19158,31986,22899,31495,25575,28931,28260,24797,34029,22756,40331,22990,58288,27254,46305,19945,31857,9920,31527,8111,26107,6934,13775,4913,1739,1565,0,12,0,0,0,0,427673,428086,37.571607,126.99180600000001
2015,4,5호선,종로3가,11,1,1747,308,2583,6121,4178,18040,6535,54451,7800,43431,10004,32336,13374,31376,19158,31986,22899,31495,25575,28931,28260,24797,34029,22756,40331,22990,58288,27254,46305,19945,31857,9920,31527,8111,26107,6934,13775,4913,1739,1565,0,12,0,0,0,0,427673,428086,37.571607,126.99180600000001
2015,4,5호선,종로3가,11,1,1747,308,2583,6121,4178,18040,6535,54451,7800,43431,10004,32336,13374,31376,19158,31986,22899,31495,25575,28931,28260,24797,34029,22756,40331,22990,58288,27254,46305,19945,31857,9920,31527,8111,26107,6934,13775,4913,1739,1565,0,12,0,0,0,0,427673,428086,37.571607,126.99180600000001
2015,4,5호선,종로3가,11,1,1747,308,2583,6121,4178,18040,6535,54451,7800,43431,10004,32336,13374,31376,19158,31986,22899,31495,25575,28931,28260,24797,34029,22756,40331,22990,58288,27254,46305,19945,31857,9920,31527,8111,26107,6934,13775,4913,1739,1565,0,12,0,0,0,0,427673,428086,37.571607,126.99180600000001
