year,month,line,station,04-05 (on),04-05 (off),05-06 (on),05-06 (off),06-07 (on),06-07 (off),07-08 (on),07-08 (off),08-09 (on),08-09 (off),09-10 (on),09-10 (off),10-11 (on),10-11 (off),11-12 (on),11-12 (off),12-13 (on),12-13 (off),13-14 (on),13-14 (off),14-15 (on),14-15 (off),15-16 (on),15-16 (off),16-17 (on),16-17 (off),17-18 (on),17-18 (off),18-19 (on),18-19 (off),19-20 (on),19-20 (off),20-21 (on),20-21 (off),21-22 (on),21-22 (off),22-23 (on),22-23 (off),23-24 (on),23-24 (off),00-01 (on),00-01 (off),01-02 (on),01-02 (off),02-03 (on),02-03 (off),03-04 (on),03-04 (off),total(on),total(off)
2015,5,분당선,강남구청,25,0,1153,595,2736,4361,7645,12930,11716,43120,10026,35384,9066,18989,10112,14315,10800,14803,13524,16218,14064,15698,16243,15409,15471,16638,19400,16489,38574,19010,24552,16197,15350,9591,14420,7841,11709,7941,5188,5020,161,1268,0,0,0,0,0,0,291817,253925
2015,5,3호선,지축,1,0,318,100,1658,1350,5217,1815,6293,3074,4311,2614,3327,2419,2862,2339,2517,1998,2772,2398,2832,2404,3307,2886,2854,3304,2812,3331,2690,4779,1489,4101,966,3357,473,2839,200,2241,117,1208,21,208,1,0,1,1,0,0,48766,49053
2015,5,분당선,선정릉,22,0,1079,803,2593,5827,5447,12567,7790,52657,7115,36111,6474,17577,7985,12484,10422,12400,11593,12114,11784,11810,12627,9752,13691,10274,18507,11162,39173,12862,23718,10427,14769,6288,14173,4940,11084,5123,4696,3680,140,743,0,0,0,0,0,0,249601,226875
2015,5,분당선,가천대,16,2,4758,1134,7090,3743,18569,6683,26953,43252,15717,49640,10903,44381,12236,19613,18140,27227,16663,20052,22441,16217,26560,13369,38024,16730,35423,19016,25429,24447,19901,23647,17513,18215,17061,18306,13990,20601,7302,14110,406,2505,0,0,0,0,0,0,402890,357094
2015,5,분당선,태평,132,14,13633,2477,23616,6502,51936,8716,74272,15624,54048,13713,29875,12307,24880,14542,24723,15750,23756,17495,20790,19041,18563,25472,19356,29554,20316,34574,21289,48344,14489,46545,11386,35398,9642,37064,7190,40878,3047,22227,241,3628,0,0,0,0,0,0,449865,469063
2015,5,분당선,모란,233,26,14469,3718,25668,13690,66770,26366,93969,38470,68698,33188,47275,33301,44518,34785,47201,35863,46027,38850,41570,39442,40722,46574,43696,51088,48537,55361,51527,70141,37355,65861,25889,50379,22978,49374,18924,46467,9782,29192,758,3860,0,0,0,0,0,0,765996,798348
2015,5,분당선,야탑,227,6,7796,4000,19412,16882,55428,39891,68232,88710,53002,56654,44870,41726,44462,41939,48144,46167,48601,47890,47967,53568,48979,50979,56002,58316,61666,61375,87049,81407,56303,73805,43620,52143,42108,43484,35646,39744,15268,26870,977,5848,0,0,0,0,0,0,931404,887547
2015,5,분당선,서현,431,21,5221,3027,12943,10848,33683,30281,43059,80275,33775,80085,32564,46779,35236,45311,38286,45443,42434,51517,45940,49834,51611,50150,56156,52970,63806,59102,88459,69508,67055,63624,65757,38652,53146,30883,43417,27260,19083,16896,1317,2872,0,0,0,0,0,0,855338,834963
2015,5,3호선,구파발,102,1,9073,1410,31043,9354,85935,19530,80820,27506,48623,27721,34524,23051,30460,17605,29601,16445,28602,17236,26060,18198,28541,20790,31817,24997,29188,27961,26705,41895,17361,45972,11359,32883,8729,31760,6218,32365,3045,25238,402,8016,3,227,0,1,0,0,470162,570124
2015,5,분당선,정자,391,1,3976,987,10663,10840,31338,25311,37696,61671,27186,43986,22765,23008,23530,22902,24574,22438,26157,24185,25675,23404,26516,26080,29324,27090,35795,33678,49242,45267,34066,44618,25455,30225,26154,25909,25813,25723,10275,16223,1125,5134,0,0,0,0,0,0,538680,499340
2015,5,분당선,미금,664,6,6370,799,17983,14324,50609,23366,60317,50720,44564,44928,38161,29292,41231,31551,40432,33589,43012,37614,40051,37300,42414,43198,43300,43590,49601,51021,53137,64067,34911,65286,26952,44636,27279,41434,25701,38165,8143,25987,249,6267,0,0,0,0,0,0,727140,696432
2015,5,분당선,오리,631,6,5621,401,17708,8579,45754,19206,52086,36936,36756,24911,30501,17626,27575,17418,26907,19131,26100,19638,25228,22312,26347,21573,27085,25663,32554,25469,39086,35563,23033,36149,17812,26270,19935,23015,15445,22922,5997,15218,307,5002,0,0,0,0,0,0,423008,503852
2015,5,분당선,이매,84,0,2406,929,5363,2858,14234,9123,16929,13926,11847,8582,9867,6498,8975,6458,10190,8151,8896,8419,8889,8883,8280,9090,10511,9165,12354,11095,13926,14040,7176,13767,5124,8783,6322,7953,7027,8909,1444,6184,88,1308,0,0,0,0,0,0,164121,171863
2015,5,분당선,보정,35,0,1002,102,3794,1182,11371,3311,12340,6551,8226,2822,7197,2016,5429,2305,4863,2609,4362,2979,3924,3193,4414,4439,4065,5306,5499,5449,5118,6767,3044,6513,2244,5076,2317,4919,1601,4577,623,3078,62,924,0,0,0,0,0,0,74118,93510
2015,5,분당선,죽전,1562,7,6515,722,24063,11224,69188,22209,76808,42163,52360,33873,43134,36940,38033,32517,37729,37633,36398,39282,35487,40746,37719,44876,42664,49951,49612,60234,51349,71954,40264,78551,34881,57128,31697,50843,32382,50247,9244,37016,205,18121,0,0,0,0,0,0,816237,751747
2015,5,분당선,구성,71,1,2374,412,8429,3270,24684,5820,26261,6868,17494,4154,12377,3869,9848,4355,8408,4996,7678,5705,6832,7437,6386,9023,6807,10758,8761,13696,8370,19115,5168,18992,3714,13308,3168,12452,2195,13245,761,8932,39,2198,0,0,0,0,0,0,168606,171769
2015,5,분당선,신갈,40,0,2608,224,6882,1291,18654,2675,20892,5520,12529,3949,9779,3938,8667,4168,8203,4734,7837,5516,6639,7035,6139,7892,6769,8212,6896,11276,6641,13891,3974,13587,2694,10908,2410,9926,1897,10607,924,8518,127,1952,0,0,0,0,0,0,135819,143176
2015,5,분당선,기흥,103,1,3492,568,8008,4084,25648,8849,30950,19812,18657,12284,13833,10357,13440,10616,13857,10581,12322,9980,12841,11313,12772,11268,15324,12694,20342,16389,18112,21986,12752,22391,9852,17937,8895,15922,8975,16910,4201,13599,306,3363,0,0,0,0,0,0,250904,266594
2015,5,분당선,상갈,34,0,2630,492,7693,2218,18314,5052,22426,11733,14374,6048,11107,4351,9150,5039,9003,6063,8455,6546,7498,6881,8668,7699,9082,9714,11241,12446,11536,14717,6951,14063,4182,12052,3083,11745,2306,12239,901,8927,85,1987,0,0,0,0,0,0,160012,170700
2015,5,분당선,청명,14,0,1563,751,5973,1987,17062,4942,18459,9305,10123,4459,7149,3496,7053,3602,6676,4858,6506,5517,5859,5212,6045,5541,6816,8943,8854,9452,10087,11567,6039,12648,4369,9153,3743,9292,3066,9025,1278,6240,164,1929,0,0,0,0,0,0,127919,138899
2015,5,분당선,영통,83,1,2468,1002,6350,4000,16267,9839,18136,30086,13134,21008,11880,14933,13007,14319,14678,13975,14906,16378,15004,14152,16335,14758,19337,17790,24267,19846,29175,25070,18895,22054,15377,18117,16150,15519,16901,15104,8393,9980,1219,3130,0,0,0,0,0,0,301061,293894
2015,5,분당선,망포,63,0,3147,2042,13843,7378,37009,18987,40047,36353,22854,12911,16459,8302,16477,9254,16636,10079,15443,10496,13849,12236,13955,14011,16872,17234,26549,21067,37871,29708,22238,32486,17094,25414,14774,22832,12182,23725,4821,14181,480,4639,0,0,0,0,0,0,333335,364615
