year,month,line,station,04-05 (on),04-05 (off),05-06 (on),05-06 (off),06-07 (on),06-07 (off),07-08 (on),07-08 (off),08-09 (on),08-09 (off),09-10 (on),09-10 (off),10-11 (on),10-11 (off),11-12 (on),11-12 (off),12-13 (on),12-13 (off),13-14 (on),13-14 (off),14-15 (on),14-15 (off),15-16 (on),15-16 (off),16-17 (on),16-17 (off),17-18 (on),17-18 (off),18-19 (on),18-19 (off),19-20 (on),19-20 (off),20-21 (on),20-21 (off),21-22 (on),21-22 (off),22-23 (on),22-23 (off),23-24 (on),23-24 (off),00-01 (on),00-01 (off),01-02 (on),01-02 (off),02-03 (on),02-03 (off),03-04 (on),03-04 (off),Total(on),Total(off),X(WGS),Y(WGS)
2015,10,1호선,시청,108,3,2690,5007,3818,27751,7970,85972,10574,189634,13922,83214,17526,50309,23997,48983,26959,46188,33762,48393,42981,44480,54632,37601,61420,33479,76934,32744,142673,33469,86123,20428,68657,10145,69533,8337,47008,6646,17002,3840,1171,1352,0,33,0,0,0,0,818008,811367,37.564718,126.977108
2015,10,1호선,시청,108,3,2690,5007,3818,27751,7970,85972,10574,189634,13922,83214,17526,50309,23997,48983,26959,46188,33762,48393,42981,44480,54632,37601,61420,33479,76934,32744,142673,33469,86123,20428,68657,10145,69533,8337,47008,6646,17002,3840,1171,1352,0,33,0,0,0,0,818008,811367,37.564718,126.977108
2015,10,1호선,시청,108,3,2690,5007,3818,27751,7970,85972,10574,189634,13922,83214,17526,50309,23997,48983,26959,46188,33762,48393,42981,44480,54632,37601,61420,33479,76934,32744,142673,33469,86123,20428,68657,10145,69533,8337,47008,6646,17002,3840,1171,1352,0,33,0,0,0,0,818008,811367,37.564718,126.977108
2015,10,1호선,시청,108,3,2690,5007,3818,27751,7970,85972,10574,189634,13922,83214,17526,50309,23997,48983,26959,46188,33762,48393,42981,44480,54632,37601,61420,33479,76934,32744,142673,33469,86123,20428,68657,10145,69533,8337,47008,6646,17002,3840,1171,1352,0,33,0,0,0,0,818008,811367,37.564718,126.977108
2015,10,2호선,시청,40,1,1585,1908,3080,24297,6027,110758,10860,217448,14166,85449,18802,36822,25868,35503,26802,33772,34363,37886,38722,35242,46062,31590,52102,29656,80461,29394,171298,30580,96010,19079,62368,9668,61650,8107,40177,7482,16713,5399,2290,1877,4,89,0,0,0,0,792007,811425,37.564718,126.977108
2015,10,2호선,시청,40,1,1585,1908,3080,24297,6027,110758,10860,217448,14166,85449,18802,36822,25868,35503,26802,33772,34363,37886,38722,35242,46062,31590,52102,29656,80461,29394,171298,30580,96010,19079,62368,9668,61650,8107,40177,7482,16713,5399,2290,1877,4,89,0,0,0,0,792007,811425,37.564718,126.977108
2015,10,2호선,시청,40,1,1585,1908,3080,24297,6027,110758,10860,217448,14166,85449,18802,36822,25868,35503,26802,33772,34363,37886,38722,35242,46062,31590,52102,29656,80461,29394,171298,30580,96010,19079,62368,9668,61650,8107,40177,7482,16713,5399,2290,1877,4,89,0,0,0,0,792007,811425,37.564718,126.977108
2015,10,2호선,시청,40,1,1585,1908,3080,24297,6027,110758,10860,217448,14166,85449,18802,36822,25868,35503,26802,33772,34363,37886,38722,35242,46062,31590,52102,29656,80461,29394,171298,30580,96010,19079,62368,9668,61650,8107,40177,7482,16713,5399,2290,1877,4,89,0,0,0,0,792007,811425,37.564718,126.977108
2015,10,1호선,종각,166,4,4738,5072,5644,34101,10402,122507,16227,263267,18978,147595,25323,79697,36949,74854,46533,70174,61879,72850,71623,65682,83962,56067,94932,57307,128689,65115,227188,90243,140522,65928,115955,25801,134332,16095,120494,10640,55248,6312,4528,1700,1,1,1,0,0,0,1331012,1406163,37.570161,126.982923
2015,10,1호선,종로3가,137,3,5821,2547,5444,14863,8649,34136,14325,96097,18433,104343,29256,85900,43123,88480,55401,88577,71596,91671,83828,85274,93256,71001,105602,62721,109523,58734,134168,69077,107152,48372,76227,19254,81827,13817,71778,10696,31317,6761,3177,3057,2,31,1,0,0,0,1055412,1151921,37.571607,126.99180600000001
2015,10,1호선,종로3가,137,3,5821,2547,5444,14863,8649,34136,14325,96097,18433,104343,29256,85900,43123,88480,55401,88577,71596,91671,83828,85274,93256,71001,105602,62721,109523,58734,134168,69077,107152,48372,76227,19254,81827,13817,71778,10696,31317,6761,3177,3057,2,31,1,0,0,0,1055412,1151921,37.571607,126.99180600000001
2015,10,1호선,종로3가,137,3,5821,2547,5444,14863,8649,34136,14325,96097,18433,104343,29256,85900,43123,88480,55401,88577,71596,91671,83828,85274,93256,71001,105602,62721,109523,58734,134168,69077,107152,48372,76227,19254,81827,13817,71778,10696,31317,6761,3177,3057,2,31,1,0,0,0,1055412,1151921,37.571607,126.99180600000001
2015,10,1호선,종로3가,137,3,5821,2547,5444,14863,8649,34136,14325,96097,18433,104343,29256,85900,43123,88480,55401,88577,71596,91671,83828,85274,93256,71001,105602,62721,109523,58734,134168,69077,107152,48372,76227,19254,81827,13817,71778,10696,31317,6761,3177,3057,2,31,1,0,0,0,1055412,1151921,37.571607,126.99180600000001
2015,10,1호선,종로3가,137,3,5821,2547,5444,14863,8649,34136,14325,96097,18433,104343,29256,85900,43123,88480,55401,88577,71596,91671,83828,85274,93256,71001,105602,62721,109523,58734,134168,69077,107152,48372,76227,19254,81827,13817,71778,10696,31317,6761,3177,3057,2,31,1,0,0,0,1055412,1151921,37.571607,126.99180600000001
2015,10,1호선,종로3가,137,3,5821,2547,5444,14863,8649,34136,14325,96097,18433,104343,29256,85900,43123,88480,55401,88577,71596,91671,83828,85274,93256,71001,105602,62721,109523,58734,134168,69077,107152,48372,76227,19254,81827,13817,71778,10696,31317,6761,3177,3057,2,31,1,0,0,0,1055412,1151921,37.571607,126.99180600000001
2015,10,1호선,종로3가,137,3,5821,2547,5444,14863,8649,34136,14325,96097,18433,104343,29256,85900,43123,88480,55401,88577,71596,91671,83828,85274,93256,71001,105602,62721,109523,58734,134168,69077,107152,48372,76227,19254,81827,13817,71778,10696,31317,6761,3177,3057,2,31,1,0,0,0,1055412,1151921,37.571607,126.99180600000001
2015,10,1호선,종로3가,137,3,5821,2547,5444,14863,8649,34136,14325,96097,18433,104343,29256,85900,43123,88480,55401,88577,71596,91671,83828,85274,93256,71001,105602,62721,109523,58734,134168,69077,107152,48372,76227,19254,81827,13817,71778,10696,31317,6761,3177,3057,2,31,1,0,0,0,1055412,1151921,37.571607,126.99180600000001
2015,10,1호선,종로3가,137,3,5821,2547,5444,14863,8649,34136,14325,96097,18433,104343,29256,85900,43123,88480,55401,88577,71596,91671,83828,85274,93256,71001,105602,62721,109523,58734,134168,69077,107152,48372,76227,19254,81827,13817,71778,10696,31317,6761,3177,3057,2,31,1,0,0,0,1055412,1151921,37.571607,126.99180600000001
2015,10,3호선,종로3가,24,0,896,788,1456,4505,1970,13221,2952,46820,4643,46095,6814,33315,8768,25853,10553,26947,12729,30678,15294,29044,20226,22741,25982,19252,30175,17457,42304,17942,37072,11726,18204,6100,16250,4825,11182,4082,5863,2683,762,939,0,3,1,2,0,0,365018,276111,37.571607,126.99180600000001
2015,10,3호선,종로3가,24,0,896,788,1456,4505,1970,13221,2952,46820,4643,46095,6814,33315,8768,25853,10553,26947,12729,30678,15294,29044,20226,22741,25982,19252,30175,17457,42304,17942,37072,11726,18204,6100,16250,4825,11182,4082,5863,2683,762,939,0,3,1,2,0,0,365018,276111,37.571607,126.99180600000001
2015,10,3호선,종로3가,24,0,896,788,1456,4505,1970,13221,2952,46820,4643,46095,6814,33315,8768,25853,10553,26947,12729,30678,15294,29044,20226,22741,25982,19252,30175,17457,42304,17942,37072,11726,18204,6100,16250,4825,11182,4082,5863,2683,762,939,0,3,1,2,0,0,365018,276111,37.571607,126.99180600000001
2015,10,3호선,종로3가,24,0,896,788,1456,4505,1970,13221,2952,46820,4643,46095,6814,33315,8768,25853,10553,26947,12729,30678,15294,29044,20226,22741,25982,19252,30175,17457,42304,17942,37072,11726,18204,6100,16250,4825,11182,4082,5863,2683,762,939,0,3,1,2,0,0,365018,276111,37.571607,126.99180600000001
2015,10,3호선,종로3가,24,0,896,788,1456,4505,1970,13221,2952,46820,4643,46095,6814,33315,8768,25853,10553,26947,12729,30678,15294,29044,20226,22741,25982,19252,30175,17457,42304,17942,37072,11726,18204,6100,16250,4825,11182,4082,5863,2683,762,939,0,3,1,2,0,0,365018,276111,37.571607,126.99180600000001
