year,month,line,station,04-05 (on),04-05 (off),05-06 (on),05-06 (off),06-07 (on),06-07 (off),07-08 (on),07-08 (off),08-09 (on),08-09 (off),09-10 (on),09-10 (off),10-11 (on),10-11 (off),11-12 (on),11-12 (off),12-13 (on),12-13 (off),13-14 (on),13-14 (off),14-15 (on),14-15 (off),15-16 (on),15-16 (off),16-17 (on),16-17 (off),17-18 (on),17-18 (off),18-19 (on),18-19 (off),19-20 (on),19-20 (off),20-21 (on),20-21 (off),21-22 (on),21-22 (off),22-23 (on),22-23 (off),23-24 (on),23-24 (off),00-01 (on),00-01 (off),01-02 (on),01-02 (off),02-03 (on),02-03 (off),03-04 (on),03-04 (off),total(on),total(off),X(WGS),Y(WGS)
2015,2,1호선,시청,48,2,1866,3568,3110,17464,5860,60726,7699,145216,10328,62433,14405,36004,20018,35299,22118,34496,26778,36308,32726,33684,40704,28939,44805,25049,56231,23796,103663,23958,67045,15523,51264,8415,52899,7184,37043,5911,13862,3534,1032,1198,6,47,0,0,0,0,608754,615477,37.564718,126.977108
2015,2,1호선,시청,48,2,1866,3568,3110,17464,5860,60726,7699,145216,10328,62433,14405,36004,20018,35299,22118,34496,26778,36308,32726,33684,40704,28939,44805,25049,56231,23796,103663,23958,67045,15523,51264,8415,52899,7184,37043,5911,13862,3534,1032,1198,6,47,0,0,0,0,608754,615477,37.564718,126.977108
2015,2,1호선,시청,48,2,1866,3568,3110,17464,5860,60726,7699,145216,10328,62433,14405,36004,20018,35299,22118,34496,26778,36308,32726,33684,40704,28939,44805,25049,56231,23796,103663,23958,67045,15523,51264,8415,52899,7184,37043,5911,13862,3534,1032,1198,6,47,0,0,0,0,608754,615477,37.564718,126.977108
2015,2,1호선,시청,48,2,1866,3568,3110,17464,5860,60726,7699,145216,10328,62433,14405,36004,20018,35299,22118,34496,26778,36308,32726,33684,40704,28939,44805,25049,56231,23796,103663,23958,67045,15523,51264,8415,52899,7184,37043,5911,13862,3534,1032,1198,6,47,0,0,0,0,608754,615477,37.564718,126.977108
2015,2,2호선,시청,42,2,1291,1478,2438,15177,4906,82507,8100,175858,11497,64821,16498,28479,22006,26682,22562,25525,27931,30117,32158,28177,37796,25382,41526,22848,59723,22324,128222,23730,78719,16274,48908,8583,49709,7216,34892,6315,15422,4651,2234,1504,7,89,0,11,0,0,617750,648560,37.564718,126.977108
2015,2,2호선,시청,42,2,1291,1478,2438,15177,4906,82507,8100,175858,11497,64821,16498,28479,22006,26682,22562,25525,27931,30117,32158,28177,37796,25382,41526,22848,59723,22324,128222,23730,78719,16274,48908,8583,49709,7216,34892,6315,15422,4651,2234,1504,7,89,0,11,0,0,617750,648560,37.564718,126.977108
2015,2,2호선,시청,42,2,1291,1478,2438,15177,4906,82507,8100,175858,11497,64821,16498,28479,22006,26682,22562,25525,27931,30117,32158,28177,37796,25382,41526,22848,59723,22324,128222,23730,78719,16274,48908,8583,49709,7216,34892,6315,15422,4651,2234,1504,7,89,0,11,0,0,617750,648560,37.564718,126.977108
2015,2,2호선,시청,42,2,1291,1478,2438,15177,4906,82507,8100,175858,11497,64821,16498,28479,22006,26682,22562,25525,27931,30117,32158,28177,37796,25382,41526,22848,59723,22324,128222,23730,78719,16274,48908,8583,49709,7216,34892,6315,15422,4651,2234,1504,7,89,0,11,0,0,617750,648560,37.564718,126.977108
2015,2,1호선,종각,142,14,4508,4088,4956,21763,7610,101334,12231,225277,15231,131836,21587,70759,33193,68411,43994,67874,58888,73371,65728,63413,77744,56023,87749,54701,109855,63486,190698,80085,129665,61791,106621,24735,125566,13983,115204,9634,55388,5290,4638,1510,37,27,3,3,0,0,1199408,1273109,37.570161,126.982923
2015,2,1호선,종로3가,141,2,4041,1574,3736,10003,6221,26068,10623,81422,14365,91486,24746,79788,40010,82374,52691,86055,69849,92938,75267,82543,87128,67968,95632,56768,98902,52963,114305,59331,92624,43158,67393,17341,71800,11757,65815,9452,28043,6173,2966,2935,37,104,0,0,0,0,962203,1028209,37.571607,126.99180600000001
