stopNo,x,y
01594,126.9641432573,37.5736332076
01595,127.0142453819,37.5726943506
01596,126.9874384317,37.5705445369
01597,126.9578303612,37.6020037175
01598,126.9993659265,37.5833082555
01599,126.977317218,37.5719018726
01607,126.9707007997,37.6134063548
01667,126.9646261961,37.5746470811
01682,127.0117218002,37.5720494465
01683,126.9850714936,37.5703393522
01684,126.9571553655,37.601989057
01685,126.9724733176,37.5770722054
01686,127.0007449647,37.5761256624
01697,126.998853007,37.5832668015
01698,126.9718458037,37.6139004282
01699,126.9653175119,37.5755600915
01702,127.0061400046,37.571176058
01714,126.956715418,37.6009238115
01720,126.9796650539,37.5765879752
01721,126.9710277184,37.5794930902
01722,126.9972179386,37.5850311082
01723,126.9741212409,37.6145722576
01724,126.9653293849,37.5768126115
01725,127.0020898456,37.5714192458
01727,126.983296967,37.5719470235
01728,126.9802007494,37.580191528
01729,126.9697392663,37.5794684375
01732,126.9757438761,37.6163963984
01733,126.9974492169,37.5765581609
01762,126.9738331615,37.5703260433
01763,126.9804546746,37.5703561602
01764,126.9808260992,37.569954334
01766,126.9855751378,37.5699685262
01767,126.9899070495,37.5704877661
01768,126.9909932186,37.5701024255
01769,126.9968799905,37.5704208133
01771,127.0032060634,37.5707920608
01776,126.9671251598,37.5764842271
01777,126.9715056448,37.5761780936
01778,126.971315603,37.5757554359
01779,126.9852772375,37.5765590725
01780,126.9855059829,37.5763185096
01781,126.9889000511,37.5774767793
01782,126.9997033431,37.5835875947
01790,126.9877503526,37.5738011149
01791,126.9557163281,37.6012424257
01792,126.9813258198,37.58164517
01793,126.9687504797,37.5803350289
01794,127.0000249058,37.570671358
01795,126.9770474423,37.6172373713
01796,126.9676775367,37.5767673222
01797,127.0025801998,37.5759841652
01798,126.9869813803,37.5752716136
01799,126.9569583018,37.6000210109
01800,126.9822105151,37.5846846831
01801,126.9668944502,37.5810265604
01802,126.9783685436,37.616304998
01803,126.9689039095,37.5762206893
01804,127.005404874,37.5749766498
01805,126.9861183272,37.5771728174
01807,126.981847891,37.5858776706
01809,126.9798729651,37.6159439291
01810,126.96585932,37.5741644592
01812,126.9853617134,37.578791085
01813,126.9622528507,37.597810653
01814,126.9817444742,37.5874185176
01815,127.0022812884,37.5753200672
01816,126.9794938432,37.6146490046
01817,126.9616893251,37.5726178078
01818,127.0157921305,37.5740286703
01819,126.9866353642,37.5792417814
01820,126.9612800199,37.5721522968
01821,126.9637682263,37.5929353403
01823,126.9816861503,37.6128643152
01824,126.962337459,37.5714943551
01825,127.0157200961,37.5760372123
01826,126.9851293823,37.5799426497
01827,126.9879589184,37.5792554401
01829,126.9638602023,37.5947600723
01830,126.9793481616,37.6130468496
01831,126.9639860521,37.571188468
01832,127.0155607478,37.5774150014
01833,126.9851687446,37.5812807738
01835,126.9629663842,37.5976847268
01836,126.9782816235,37.6152615256
01837,126.9658057546,37.569988785
01838,127.0155054665,37.5783593519
01839,126.9852205387,37.5827432497
01840,126.9594704955,37.5995632468
01841,127.0010032298,37.5859196111
01842,126.9781122953,37.6132637884
01843,126.9668249505,37.5692429716
01844,127.0155692785,37.5803228198
01845,126.9852486243,37.583863308
01846,126.9574023475,37.5998544708
01847,126.9999909413,37.5873892922
01848,126.9778558349,37.6110083234
01849,126.9683376852,37.5685315243
01850,127.0171508787,37.5797846496
01851,126.9855618026,37.5862656518
01852,126.9993137839,37.5896275957
01853,126.9733337071,37.6089952635
01855,127.0162353711,37.5818978359
01856,126.9861073451,37.5875308468
01858,126.9971407875,37.5890742944
01860,126.989734001,37.5891522774
01861,126.9568173576,37.600904926
01862,126.9965690016,37.5878406881
01863,126.9579482257,37.6018640911
01864,126.9952305162,37.5887246101
01865,126.9576665157,37.6033399708
01866,126.9937685575,37.5897680031
01868,126.9574633677,37.6040715802
01869,126.9934084203,37.5902545716
01870,126.9575782035,37.6052835831
01872,126.9579809335,37.6061334517
01873,126.958756466,37.6066987064
01874,126.9607859545,37.6048873133
01875,126.965686732,37.604859104
01876,127.0014561074,37.5834632357
01877,127.0019926794,37.5786973612
01878,126.9978748922,37.5773060748
01879,127.0022087811,37.5736413355
01881,126.9900035953,37.5884638684
01882,126.9594077577,37.5732838531
01883,126.9977741191,37.5776016307
01886,127.0020084833,37.5769483437
01887,126.9981567653,37.5789514712
01888,126.9832427053,37.5715937879
01889,126.9831199261,37.5738654222
01890,126.984082977,37.5757100898
01893,126.983156342,37.5730319178
01894,126.9765653997,37.5722306242
02001,126.9875299251,37.5649848069
02002,126.9878515151,37.5643504711
02003,126.9723557945,37.5550251461
02004,126.9725027692,37.5554748264
02005,126.9727617448,37.5553876977
02006,126.9728547738,37.5554794133
02007,126.9731162301,37.5554839786
02008,126.9737783904,37.5586388574
02101,126.9626582054,37.551787064
02102,126.9662339013,37.5544459527
02103,126.9679392973,37.5565519034
02104,126.9693762438,37.5563255909
02105,126.9692772863,37.556997907
02106,126.9691354395,37.5583836266
02107,126.964480544,37.5595131906
02108,126.967766091,37.5604386551
02109,126.9681135141,37.5606234736
02110,126.9691267228,37.5630494858
02111,127.0067839769,37.5624042727
02113,126.9677868059,37.5649062803
02116,126.9733602844,37.5598597457
02117,126.9731028443,37.558086335
02118,126.9737375955,37.5587713091
02120,126.9760823693,37.5533418143
02121,126.9744042993,37.5587327085
02122,126.97402,37.558487
02123,126.973698264,37.557960316
02124,126.9762051934,37.5586132397
02125,126.9756720863,37.5585581643
02126,126.9800597585,37.561191081
02127,126.97792,37.561175
02128,126.9765581213,37.5623244458
02131,126.9759075283,37.5620517519
02132,126.9761427477,37.5627627622
02133,126.9748872517,37.5632067407
02134,126.9753398851,37.5636754044
02137,126.9773647051,37.5683632936
02139,126.9829289124,37.5675190047
02140,126.982205,37.56451
02141,126.9815478394,37.5628907847
02142,126.982008,37.562885
02144,126.981512142,37.5607641991
02145,126.9777650546,37.5582675237
02146,126.9784645011,37.5584920257
02147,126.982669512,37.558455773
02148,126.9827190831,37.5594623018
02149,126.9852407503,37.5606538896
02150,126.9844913623,37.5608934844
02151,126.9917289172,37.5612168046
02152,126.9924839556,37.5608717364
02153,126.9949175906,37.5612232926
02154,126.9965577393,37.5619180947
02155,126.9931119513,37.5633461766
02156,126.9853902774,37.5658757422
02157,126.9811712097,37.5661382638
02158,126.9865233528,37.566246226
02159,126.9888281722,37.5660094793
02160,126.9903755882,37.5663556351
02161,126.9913276421,37.5661205237
02162,126.9962179152,37.5666470197
02163,126.9968473297,37.5664010399
02164,126.9981401348,37.5647745951
02165,126.999258524,37.5668182855
02166,127.0011150411,37.5666200422
02167,127.0024044565,37.5679608485
02168,127.0025945654,37.5658243542
02169,127.006377762,37.5660747142
02170,127.0072096931,37.5650528273
02171,127.0079579375,37.5649951093
02172,127.0058434821,37.5664631128
02173,127.0083555318,37.5673541422
02174,127.0090234611,37.5676036956
02177,127.0140458533,37.5651927824
02178,127.0147408667,37.5650178857
02179,127.0157558376,37.5683481924
02180,127.0161294881,37.5686950625
02181,127.0187426545,37.5657282804
02182,127.0194795301,37.5654920748
02183,127.022057125,37.5655637088
02184,127.0225482999,37.5651806516
02187,127.0150958594,37.5627660096
02188,127.0151908517,37.5623100443
02189,127.0132161263,37.5589483023
02190,127.0130316796,37.559257398
02191,127.0111465614,37.5559812136
02192,127.0113796895,37.5557496102
02193,127.012012,37.553399
02194,127.0118693353,37.55292373
02195,127.0099566945,37.5538646495
02196,127.0092978444,37.5528509718
02197,127.0077186988,37.5502676468
02198,127.0073984027,37.550227118
02199,127.0096865168,37.556408461
02201,127.0077840642,37.5584811178
02202,127.0078281581,37.5580017329
02203,127.0059098097,37.5606213237
02204,127.0056290943,37.5606663921
02205,127.0039664281,37.5633219814
02206,127.0032725375,37.5635049245
02207,126.9999660413,37.5623804057
02208,126.9998890677,37.5626876784
02209,127.0003678294,37.5508545113
02210,127.0009473128,37.5516853176
02211,127.014656108,37.5599600605
02212,127.014219181,37.5599303778
02213,127.0183371082,37.5599370188
02214,127.0182736903,37.5598126778
02215,126.980093,37.555737
02218,126.9737449241,37.5540144353
02219,126.978580386,37.5609394169
02220,126.9839798009,37.5552651842
02221,126.9875026883,37.5586203825
02222,127.0053855469,37.5581343304
02223,127.009322,37.556256
02224,126.9836249076,37.5684616458
02225,126.9885301722,37.5678404706
02226,126.9971755363,37.5684843738
02227,127.0006713113,37.5691385986
02228,127.0044818377,37.5693746016
02229,127.0138508174,37.5695135434
02230,127.018825398,37.5706509342
02233,126.975585201,37.5611965482
02235,127.0091092289,37.5654113309
02236,127.0060242348,37.5478041512
02237,127.0058182349,37.5474977891
02240,126.9938077118,37.5682058077
02241,127.0090361408,37.5694851752
02242,126.9933464247,37.5616007726
02246,126.9824738253,37.567557685
02252,127.0247418084,37.5649390497
02253,126.9825866082,37.5645020967
02254,126.9988218165,37.5506986166
02255,127.0187298806,37.5585545048
02256,127.0191882415,37.5579233138
02257,127.0234023516,37.5668556166
02258,127.0238272352,37.564476647
02259,127.0241443772,37.5615426236
02260,127.0243472269,37.5622544456
02261,127.0241667675,37.5642774365
02262,126.9675115679,37.5652819605
02269,126.9803184727,37.5544851841
02272,127.0019301271,37.5678058693
02273,127.0221630322,37.5715126997
02274,127.0086110484,37.5645499236
02275,127.0094396368,37.5643254882
02277,127.0232394785,37.5709448049
02278,126.9792899798,37.561408112
02279,127.0145727542,37.5678671611
02280,127.0119962039,37.567700749
02281,126.9678855112,37.5669222408
02282,126.97323173,37.555341632
02284,126.9766258827,37.5561983921
02285,126.976717,37.556568
02286,126.9768355729,37.5662122834
02288,127.0025921056,37.5601745008
02501,127.0121963673,37.5525416326
02502,126.9766061418,37.5686550996
02503,126.9767938672,37.565635576
02504,126.9760669915,37.5624960233
02505,126.9713291252,37.5582012576
02506,126.9762857869,37.5614634146
02507,126.9774317996,37.5673567863
02510,127.0215804936,37.5653655565
02513,126.9709923515,37.5597519575
02514,126.969120688,37.558472831
02515,126.969248154,37.5558357207
02516,126.9679526472,37.5609334062
02517,127.0172165788,37.5553289935
02518,127.0170566338,37.5537755301
02519,127.012409789,37.5495860191
02520,127.0122830052,37.5494256375
02521,127.0124984104,37.5516450117
02522,127.0121192688,37.5517045235
02523,127.010785999,37.5516046313
02524,127.0120186912,37.5526524854
02605,126.9788338327,37.5613170207
02639,126.9803053067,37.5658047183
02640,126.979685306,37.5642485497
02641,126.9787630365,37.5652072923
02643,126.9767760218,37.5684226513
02649,126.9746302112,37.5634526841
02652,127.0026102024,37.5597717116
02661,126.9767623328,37.568758756
02662,126.97677807,37.565471574
02664,126.9676372948,37.5651089852
02665,126.9728595843,37.5578195556
02669,126.9865842732,37.5610964868
02679,126.9955605031,37.5617180187
02680,126.9787309255,37.560967378
02681,126.982612619,37.5646093306
02682,126.9692683016,37.5628476779
02685,126.9713325533,37.5581165556
02686,127.0034786985,37.5665506121
02687,127.0053974501,37.5662333554
02688,127.0089472544,37.5645913489
02692,127.0098978294,37.5537889625
02693,126.9759752961,37.5554665731
02694,126.9720456834,37.5580158041
02695,126.9720684843,37.5606109591
02698,127.0451213206,37.5104190338
02699,126.9779059345,37.564156195
02706,126.9773647244,37.568299316
02707,126.9762665716,37.5613760047
02708,126.9755365701,37.5610667807
02709,127.009245066,37.5653851887
02710,127.0073975525,37.5645247753
02711,127.0094145732,37.5681390561
02712,127.0026364414,37.5649993215
03001,126.9631917349,37.5240898013
03002,126.9631848403,37.5243060629
03003,126.966207,37.527293
03004,126.9666192358,37.527920489
03005,126.9702350163,37.5314970129
03006,126.9705640624,37.5320503694
03007,126.9740117531,37.5352698987
03008,126.9741608708,37.5359845015
03009,126.9725377982,37.543295633
03010,126.9722320769,37.5437560216
03011,126.9722373211,37.5509755993
03012,126.9717081909,37.5495337218
03110,126.9719271804,37.542006922
03111,126.9716794679,37.5416932813
03119,126.9670860345,37.5286118013
03122,126.9639344725,37.5252902941
03124,126.9693404702,37.5524743044
03125,126.969221961,37.5516704971
03126,126.9701330652,37.5488115567
03127,126.9698626298,37.548679027
03128,126.9707772395,37.5453812474
03129,126.9702634348,37.5454135586
03130,126.971032,37.540813
03131,126.9706761392,37.5405702704
03132,126.9660271002,37.5337792589
03133,126.9654965792,37.5334231716
03134,126.9619640523,37.5332725045
03135,126.9622629103,37.5329995678
03136,126.9585777029,37.5327640474
03137,126.9582528287,37.5329991195
03138,126.9560108274,37.5318800435
03139,126.9691858135,37.5405032098
03140,126.9690615428,37.5399994643
03141,126.9669290534,37.5386139009
03142,126.9653759615,37.5373338982
03143,126.9636632444,37.5363187485
03144,126.9629911361,37.536237441
03145,126.9610704217,37.5349338369
03146,126.9581798302,37.5340407624
03147,126.9583248022,37.5337957151
03148,126.9886572147,37.543763247
03149,126.987449262,37.5397253123
03150,126.9871086322,37.5398054732
03151,126.9864583325,37.5377076472
03152,126.9870570383,37.5371418254
03153,126.9912039368,37.5302839538
03154,126.9911055786,37.5296117273
03155,126.9922521773,37.525474865
03156,126.9924287738,37.5245025908
03157,126.9894776223,37.5200094838
03158,127.002202,37.545795
03159,127.00204,37.544437
03160,127.0035397782,37.5415776794
03161,127.0031776354,37.5411748997
03162,127.0057302453,37.5364422432
03163,127.0062993526,37.5356114027
03164,127.0054993584,37.5357934643
03165,127.0057290409,37.5354906847
03166,127.0083381045,37.5328656324
03167,126.980835,37.552282
03168,126.9811340112,37.5520442521
03169,126.98432,37.54869
03170,126.9841668777,37.548395263
03171,126.9858399758,37.5463968458
03172,126.9856317665,37.5462598541
03173,126.9927901963,37.5427038827
03174,126.992916961,37.5425047481
03175,126.9962350228,37.5416209251
03176,126.9974210125,37.5408216845
03177,126.9584647114,37.5406368923
03178,126.9585520334,37.5402999129
03179,126.9620345918,37.5392080537
03180,126.9624982594,37.5388068257
03181,126.9649997667,37.5384268178
03182,126.964648,37.538295
03183,126.9670845367,37.5375803863
03184,126.9768577525,37.5347586674
03185,126.9773364922,37.5344334641
03186,126.9853329261,37.5350537818
03187,126.9853046955,37.5347582183
03188,126.9906003503,37.5343631768
03189,126.9899056291,37.534063054
03190,126.9929957924,37.5345183319
03191,126.9931542295,37.5342768471
03192,126.9966370647,37.5347500738
03193,126.9971949215,37.5345410337
03194,127.0003213662,37.5368442711
03195,127.0006042579,37.5367073033
03196,127.001669577,37.5407264564
03197,127.0021070988,37.5408748585
03198,126.973780169,37.5535629948
03199,126.9765772255,37.5525408404
03200,126.9770644706,37.5506891863
03201,126.9775446282,37.5497467332
03202,126.9780966281,37.5469110901
03203,126.978350169,37.54679039
03204,126.9809588102,37.5466989277
03205,126.977563,37.54574
03206,126.976752502,37.5457484198
03207,126.9750573355,37.5453624049
03208,126.973235384,37.5451241168
03209,126.9735080526,37.5453224193
03210,127.0122607528,37.5379429734
03211,127.0126714787,37.5377041394
03212,127.0084445845,37.5339127002
03213,127.0087002913,37.5337549896
03214,126.9661231869,37.5214756887
03215,126.9677862417,37.5215067914
03216,126.9683361998,37.5212059729
03217,126.9718842721,37.520656299
03218,126.9728630793,37.5200771209
03219,126.9745986221,37.5197783418
03220,126.9761068945,37.5190514691
03221,126.9776115957,37.5188201813
03222,126.9783561291,37.5183400338
03223,126.9808043144,37.5180656216
03224,126.9811234284,37.517704332
03225,126.9851948708,37.5179148687
03226,126.985371435,37.5174859672
03227,126.9629710339,37.5517155592
03228,126.9664230215,37.5542153265
03229,126.9708398554,37.5444252003
03230,126.9709244565,37.5422202391
03231,126.9672216718,37.5448468654
03232,126.9664464653,37.5448412411
03233,126.9641094647,37.5449594985
03234,126.9643096929,37.5451307674
03235,126.9632082782,37.5459093844
03236,126.9625026885,37.5467620916
03237,126.9591928852,37.5458806239
03238,126.9576924158,37.5435687851
03239,126.9617671315,37.5422095196
03240,126.9622336676,37.5416239572
03241,126.9619135936,37.5412679213
03242,126.9610378658,37.5387860159
03243,126.9573923997,37.5398075015
03244,126.9572103137,37.5396254142
03245,126.9599474139,37.5380179166
03246,126.959972398,37.5378512222
03247,126.9607153628,37.5366232765
03248,126.9613595571,37.5359792047
03249,126.9622225151,37.5345701678
03250,126.9620268068,37.5344763909
03251,126.9639636846,37.5327703191
03252,126.9638381932,37.5325504129
03253,126.9676784797,37.5300338589
03255,126.9654774441,37.5286706489
03256,126.9644200412,37.527252133
03257,126.9646779694,37.527330606
03258,126.9653975717,37.5283424787
03259,126.9660149714,37.5255972846
03260,126.9672404588,37.5251858288
03261,126.969325126,37.5236283885
03262,126.970154424,37.5236213922
03263,126.9739086458,37.5226689183
03264,126.9739562906,37.5223012804
03265,126.978370088,37.5209306979
03266,126.9797989863,37.5208282256
03267,126.9900918723,37.5204258449
03268,126.9908893645,37.5211711184
03269,126.9912554861,37.5248611471
03270,126.9905758027,37.5226191604
03272,126.9934202794,37.5198043185
03273,126.9947800822,37.5203261231
03274,126.9965437932,37.5207461002
03275,126.9968594154,37.5211822412
03276,127.0020297105,37.5247380028
03277,127.0015149467,37.5256237907
03278,127.0005046107,37.5264591178
03279,126.9994127849,37.5278738421
03280,126.9988968458,37.5281820141
03281,126.9965252457,37.5303662302
03282,126.9964449019,37.5305599639
03283,126.9941047683,37.5336208994
03284,126.9942801537,37.5336290179
03285,127.006795706,37.5312239311
03286,127.007769858,37.5306687947
03287,126.9530904093,37.5301163722
03288,126.9546065451,37.5301710306
03289,126.954351091,37.529747416
03290,126.9550639882,37.5277364382
03291,126.9546791793,37.5279372361
03292,126.9563230524,37.5261753068
03293,126.9561658719,37.5260292706
03294,126.9596959751,37.5237192095
03295,126.9597809746,37.5234462055
03296,126.949513,37.532707
03297,126.9482434807,37.5346144292
03298,126.9493177472,37.5339679073
03299,126.9505415559,37.5330177683
03300,126.9508277689,37.5331088986
03301,126.9535055884,37.5320520946
03302,126.9545135613,37.5323687724
03303,126.9560000473,37.5328955766
03304,126.9509503798,37.5342145962
03305,126.9511923413,37.5345003443
03306,126.9540093495,37.5353394953
03307,126.9538044543,37.5354772833
03308,126.9550705356,37.5356832219
03309,126.9549471079,37.5358300537
03310,126.9579803627,37.5366250384
03311,126.9582801256,37.5368089685
03312,126.9595337638,37.5370716239
03313,126.9594182807,37.5371869247
03319,127.0067505734,37.5326305473
03320,126.9904341348,37.5511379693
03321,126.9505603371,37.5337062146
03322,126.9503849242,37.5337466904
03323,126.9909910111,37.5226137862
03324,127.0055474264,37.5278439771
03325,126.9892332591,37.5200013519
03326,126.971060418,37.5388699959
03327,126.971590598,37.5462609153
03328,126.974548,37.536204
03330,126.9705229419,37.5445305498
03331,126.9557526978,37.5321313533
03332,126.970673645,37.5382706712
03334,127.0069961164,37.532694511
03335,126.9696434774,37.5448844577
03336,126.9906099662,37.5208412941
03338,126.9608161519,37.5213307725
03339,126.9614644652,37.5212192495
03340,126.958488,37.51745
03341,126.959153,37.5175
03342,126.990733,37.544673
03343,126.990917,37.544895
03344,126.9638368968,37.5446070869
03345,126.9688467509,37.5530779085
03346,126.9672402984,37.538486933
03500,126.9969932623,37.5406603781
03501,126.9866957386,37.5389827262
03502,127.0048157354,37.5332487951
03503,126.9869183825,37.540596615
03504,127.0066566991,37.5330901125
03505,126.9936040739,37.5401952774
03506,126.987435288,37.5420771725
03508,126.9608920893,37.5470688427
03509,126.9916260429,37.5398031767
03510,126.9877949646,37.5432315144
03511,126.9563539086,37.5392376293
03512,126.9895541036,37.5394506828
03513,126.9866471968,37.5446713415
03514,127.001884905,37.5252245986
03515,126.9584869002,37.5455190385
03516,126.9885515774,37.5389225472
03517,126.9851474983,37.54572995
03518,127.0000973012,37.5261473387
03519,126.9575314571,37.5440291874
03520,126.9564942876,37.539134956
03521,126.9833867831,37.5447457188
03522,126.9963285842,37.5259832818
03523,126.9585663043,37.5431401733
03524,126.9857368842,37.535070051
