year,month,line,station,04-05 (on),04-05 (off),05-06 (on),05-06 (off),06-07 (on),06-07 (off),07-08 (on),07-08 (off),08-09 (on),08-09 (off),09-10 (on),09-10 (off),10-11 (on),10-11 (off),11-12 (on),11-12 (off),12-13 (on),12-13 (off),13-14 (on),13-14 (off),14-15 (on),14-15 (off),15-16 (on),15-16 (off),16-17 (on),16-17 (off),17-18 (on),17-18 (off),18-19 (on),18-19 (off),19-20 (on),19-20 (off),20-21 (on),20-21 (off),21-22 (on),21-22 (off),22-23 (on),22-23 (off),23-24 (on),23-24 (off),00-01 (on),00-01 (off),01-02 (on),01-02 (off),02-03 (on),02-03 (off),03-04 (on),03-04 (off),Total(on),Total(off),X(WGS),Y(WGS)
2018,10,2호선,신림,387,12,47268,5810,87794,25138,251489,40323,363572,72352,213770,61158,120309,55612,101279,61599,107433,67974,104480,76549,93411,83778,90170,102248,97757,123602,107657,164297,116244,268612,81993,279568,64086,176692,62477,169008,56055,166430,32334,112012,5635,37908,14,790,1,2,0,0,2151474,2207246,37.484201,126.92971499999999
2018,10,분당선,보정,16,0,1188,122,3917,1579,11288,2897,12770,7684,8513,2986,7054,1898,5510,2145,4729,2565,4201,2800,3684,3243,4284,4436,4636,5147,6131,6078,4286,7176,2300,6707,1622,4932,1455,4380,1246,3991,438,3035,57,629,0,0,0,0,0,0,74430,91327,37.312752,127.10819599999999
2018,10,9호선,신논현,30,0,6172,1482,14912,15878,35376,45845,46861,97125,33009,88211,27303,46555,29990,41226,35792,41069,41427,45378,43588,43300,47690,44259,55084,46191,72249,62710,110766,97527,77667,81810,59212,39083,65927,33470,64187,28395,33072,18733,5753,5159,4,322,0,0,0,0,923728,908059,37.504598,127.02506000000001
2018,10,경춘선,평내호평,619,3,5735,1138,10599,2535,33040,4749,23927,10386,14492,7476,11692,6143,9393,5214,10419,7259,8587,7063,7521,9395,8340,9129,8536,10376,10198,19099,10311,19310,5943,24355,4959,13802,4350,11322,4393,9392,1690,8106,50,2840,0,0,0,0,0,0,189092,196193,37.653225,127.24449299999999
2018,10,3호선,잠원,8,0,1731,737,6595,6119,20557,8747,28579,12205,18189,9158,12559,7314,12054,7190,11404,9149,11346,10336,10222,10473,10818,11863,12764,13154,14963,15251,14221,20843,8540,17926,5745,11576,5030,11317,3970,13035,1148,6935,187,2073,0,1,0,0,0,0,205402,212640,37.512759,127.01122
2018,10,9호선,선유도,0,0,2377,1315,5837,4331,20353,11012,21231,39487,10993,15691,8390,8283,8663,7491,9635,6959,9150,8477,8838,8185,9889,9008,12072,10854,17210,11236,35889,18415,13524,16978,7838,9598,7150,8689,5244,8791,2267,5640,393,1711,0,83,0,0,0,0,212234,218961,37.53802,126.893525
2018,10,경의선,곡산,1,0,294,155,847,517,1848,1407,1939,2627,1306,946,876,791,716,852,822,861,919,823,1027,962,1180,856,1280,1013,1806,1025,2209,1712,721,1284,460,910,453,772,288,801,140,477,4,138,0,0,0,0,0,0,18929,21153,37.645676,126.80176200000001
2018,10,5호선,신길,48,2,2530,608,3505,3050,10974,5571,17189,18037,6696,7455,4027,3562,3788,3205,4186,3446,4558,4269,3746,3875,3935,4092,5014,5442,7493,8396,13000,14150,5322,9467,3269,6699,3436,7312,2444,7553,1389,4794,224,1248,0,0,1,1,0,0,122234,108744,37.517122,126.917169
2018,10,5호선,신길,48,2,2530,608,3505,3050,10974,5571,17189,18037,6696,7455,4027,3562,3788,3205,4186,3446,4558,4269,3746,3875,3935,4092,5014,5442,7493,8396,13000,14150,5322,9467,3269,6699,3436,7312,2444,7553,1389,4794,224,1248,0,0,1,1,0,0,122234,108744,37.517122,126.917169
2018,10,5호선,신길,48,2,2530,608,3505,3050,10974,5571,17189,18037,6696,7455,4027,3562,3788,3205,4186,3446,4558,4269,3746,3875,3935,4092,5014,5442,7493,8396,13000,14150,5322,9467,3269,6699,3436,7312,2444,7553,1389,4794,224,1248,0,0,1,1,0,0,122234,108744,37.517122,126.917169
