year,month,line,station,04-05 (on),04-05 (off),05-06 (on),05-06 (off),06-07 (on),06-07 (off),07-08 (on),07-08 (off),08-09 (on),08-09 (off),09-10 (on),09-10 (off),10-11 (on),10-11 (off),11-12 (on),11-12 (off),12-13 (on),12-13 (off),13-14 (on),13-14 (off),14-15 (on),14-15 (off),15-16 (on),15-16 (off),16-17 (on),16-17 (off),17-18 (on),17-18 (off),18-19 (on),18-19 (off),19-20 (on),19-20 (off),20-21 (on),20-21 (off),21-22 (on),21-22 (off),22-23 (on),22-23 (off),23-24 (on),23-24 (off),00-01 (on),00-01 (off),01-02 (on),01-02 (off),02-03 (on),02-03 (off),03-04 (on),03-04 (off),Total(on),Total(off),X(WGS),Y(WGS)
2017,8,1호선,시청,60,3,2481,4282,3731,22726,7635,74073,9704,177330,12578,75743,16220,42146,21162,39111,23506,37650,29217,38674,34411,34806,42388,30064,49442,26678,66276,25439,141999,28095,72691,17712,54940,9045,57265,7706,37647,6173,14582,3996,1122,1355,1,19,2,1,0,0,702827,701017,37.564718,126.977108
2017,8,1호선,시청,60,3,2481,4282,3731,22726,7635,74073,9704,177330,12578,75743,16220,42146,21162,39111,23506,37650,29217,38674,34411,34806,42388,30064,49442,26678,66276,25439,141999,28095,72691,17712,54940,9045,57265,7706,37647,6173,14582,3996,1122,1355,1,19,2,1,0,0,702827,701017,37.564718,126.977108
2017,8,1호선,시청,60,3,2481,4282,3731,22726,7635,74073,9704,177330,12578,75743,16220,42146,21162,39111,23506,37650,29217,38674,34411,34806,42388,30064,49442,26678,66276,25439,141999,28095,72691,17712,54940,9045,57265,7706,37647,6173,14582,3996,1122,1355,1,19,2,1,0,0,702827,701017,37.564718,126.977108
2017,8,1호선,시청,60,3,2481,4282,3731,22726,7635,74073,9704,177330,12578,75743,16220,42146,21162,39111,23506,37650,29217,38674,34411,34806,42388,30064,49442,26678,66276,25439,141999,28095,72691,17712,54940,9045,57265,7706,37647,6173,14582,3996,1122,1355,1,19,2,1,0,0,702827,701017,37.564718,126.977108
2017,8,2호선,시청,64,2,1638,1685,2496,19298,5577,81124,8908,204599,12076,78859,17534,29801,23076,28187,24620,27038,30404,30084,34051,27668,39112,25400,44812,23061,69891,22476,170186,24936,77087,16150,48729,8716,46072,7546,30725,7070,13556,4996,1982,1723,2,117,0,0,0,0,670536,704551,37.564718,126.977108
2017,8,2호선,시청,64,2,1638,1685,2496,19298,5577,81124,8908,204599,12076,78859,17534,29801,23076,28187,24620,27038,30404,30084,34051,27668,39112,25400,44812,23061,69891,22476,170186,24936,77087,16150,48729,8716,46072,7546,30725,7070,13556,4996,1982,1723,2,117,0,0,0,0,670536,704551,37.564718,126.977108
2017,8,2호선,시청,64,2,1638,1685,2496,19298,5577,81124,8908,204599,12076,78859,17534,29801,23076,28187,24620,27038,30404,30084,34051,27668,39112,25400,44812,23061,69891,22476,170186,24936,77087,16150,48729,8716,46072,7546,30725,7070,13556,4996,1982,1723,2,117,0,0,0,0,670536,704551,37.564718,126.977108
2017,8,2호선,시청,64,2,1638,1685,2496,19298,5577,81124,8908,204599,12076,78859,17534,29801,23076,28187,24620,27038,30404,30084,34051,27668,39112,25400,44812,23061,69891,22476,170186,24936,77087,16150,48729,8716,46072,7546,30725,7070,13556,4996,1982,1723,2,117,0,0,0,0,670536,704551,37.564718,126.977108
2017,8,1호선,종각,100,5,4428,5600,5569,30233,8396,108865,13855,282935,17364,151786,24411,78703,35690,73580,46337,69277,61612,74870,68029,62487,79153,54867,89901,54912,123750,61107,248476,82965,136607,56872,109432,21918,127268,13463,104424,9130,49643,5979,4164,1620,1,1,0,0,0,0,1301175,1360527,37.570161,126.982923
2017,8,1호선,종로3가,171,5,5869,2709,4810,14526,7757,32132,12542,89846,16375,97991,28086,85451,42657,87051,55740,86192,69627,88616,72232,77841,82060,63506,90548,54587,99333,51352,123003,57636,96899,40515,69070,16546,72799,11470,62010,8624,26876,6106,2972,2798,0,43,0,0,0,0,975543,1043282,37.571607,126.99180600000001
2017,8,1호선,종로3가,171,5,5869,2709,4810,14526,7757,32132,12542,89846,16375,97991,28086,85451,42657,87051,55740,86192,69627,88616,72232,77841,82060,63506,90548,54587,99333,51352,123003,57636,96899,40515,69070,16546,72799,11470,62010,8624,26876,6106,2972,2798,0,43,0,0,0,0,975543,1043282,37.571607,126.99180600000001
2017,8,1호선,종로3가,171,5,5869,2709,4810,14526,7757,32132,12542,89846,16375,97991,28086,85451,42657,87051,55740,86192,69627,88616,72232,77841,82060,63506,90548,54587,99333,51352,123003,57636,96899,40515,69070,16546,72799,11470,62010,8624,26876,6106,2972,2798,0,43,0,0,0,0,975543,1043282,37.571607,126.99180600000001
2017,8,1호선,종로3가,171,5,5869,2709,4810,14526,7757,32132,12542,89846,16375,97991,28086,85451,42657,87051,55740,86192,69627,88616,72232,77841,82060,63506,90548,54587,99333,51352,123003,57636,96899,40515,69070,16546,72799,11470,62010,8624,26876,6106,2972,2798,0,43,0,0,0,0,975543,1043282,37.571607,126.99180600000001
2017,8,1호선,종로3가,171,5,5869,2709,4810,14526,7757,32132,12542,89846,16375,97991,28086,85451,42657,87051,55740,86192,69627,88616,72232,77841,82060,63506,90548,54587,99333,51352,123003,57636,96899,40515,69070,16546,72799,11470,62010,8624,26876,6106,2972,2798,0,43,0,0,0,0,975543,1043282,37.571607,126.99180600000001
