year,month,line,station,04-05 (on),04-05 (off),05-06 (on),05-06 (off),06-07 (on),06-07 (off),07-08 (on),07-08 (off),08-09 (on),08-09 (off),09-10 (on),09-10 (off),10-11 (on),10-11 (off),11-12 (on),11-12 (off),12-13 (on),12-13 (off),13-14 (on),13-14 (off),14-15 (on),14-15 (off),15-16 (on),15-16 (off),16-17 (on),16-17 (off),17-18 (on),17-18 (off),18-19 (on),18-19 (off),19-20 (on),19-20 (off),20-21 (on),20-21 (off),21-22 (on),21-22 (off),22-23 (on),22-23 (off),23-24 (on),23-24 (off),00-01 (on),00-01 (off),01-02 (on),01-02 (off),02-03 (on),02-03 (off),03-04 (on),03-04 (off),total(on),total(off)
2017,4,경인선,부평,5315,29,26272,6677,45272,17098,115298,27170,105181,38282,60690,46931,49399,42115,50559,49900,56669,57118,57880,68533,57203,70238,58673,73446,64855,90424,72992,110351,73112,154835,62767,152021,58293,96545,60603,73122,54615,63177,30573,44315,4645,13093,0,1,0,0,0,0,1295421,1167568
2017,4,경인선,백운,86,2,8854,2014,18117,4056,40157,7163,38753,16497,22980,10784,18066,8087,16871,8523,16262,10647,14692,12708,12967,12463,11867,14309,12587,18971,14325,22205,13319,29106,9476,30876,6921,21740,7753,20048,5522,17822,2608,14160,319,4169,0,0,0,0,0,0,286350,294433
2017,4,경인선,동암,361,3,23283,5471,38873,12705,89210,21280,82558,23816,49683,20037,36261,17860,34222,19128,34581,22926,32454,23287,27476,26900,26351,32128,27911,38729,33043,53646,34084,66148,23754,73733,19106,53917,17565,45782,12717,45278,6455,33024,461,8761,0,0,0,0,0,0,644559,652065
2017,4,경인선,주안,1195,57,17976,4309,34382,13180,84820,30349,79982,50364,47346,40094,38832,31594,39496,27780,45527,32549,44153,30640,39857,32838,41722,30944,46314,43022,54461,54400,55862,69432,39788,76809,34845,56122,33284,48643,28929,45553,16897,33139,1122,9798,0,13,0,0,0,0,761629,827612
2017,4,경인선,제물포,537,7,6997,2191,14323,6017,38160,17289,34659,48837,20537,25455,16064,14640,16478,11547,19120,12864,19366,14903,16415,13568,22226,13101,30334,17744,31572,21611,30146,26623,16545,26348,11543,19682,11097,16728,8090,17660,3680,12607,108,4495,0,15,0,0,0,0,343932,369477
2017,4,경인선,동인천,2882,14,10509,1977,23121,12225,56942,31023,45039,44127,30422,25041,26958,25709,26510,28292,29092,26923,30752,30797,29891,28920,35884,27849,39209,32464,45917,36332,56493,41989,34344,44747,21976,32690,19506,26837,12200,27188,4590,19881,15,7050,0,18,0,0,0,0,552093,581387
2017,4,경인선,인천,187,3,1414,802,3260,3581,7165,8031,6464,10123,4839,8653,4159,10245,5642,15933,8571,14884,10872,13304,14117,12735,17019,9399,18253,7114,19051,6246,18254,5670,9726,3908,7470,2729,5336,2631,2707,2021,806,1596,12,1489,0,15,0,0,0,0,141112,167154
2017,4,경인선,구일,215,4,3526,1339,10456,3610,30931,10723,25916,22235,14360,14129,10872,9681,10178,7619,11722,11798,10779,16862,10280,11824,11540,12458,18263,15299,21079,18389,17634,27577,10116,25815,12840,14454,12589,12831,10045,12406,2935,8211,100,1337,0,0,0,0,0,0,258601,258178
2017,4,경인선,소사,376,18,19893,3816,21383,12426,49053,15493,47257,26308,31141,17403,24940,20040,22585,18082,23431,18950,22597,18736,20881,18714,21880,20059,23593,23332,26680,29279,24376,37693,15872,38024,12214,29200,10339,25534,7532,26741,3275,18146,259,4139,0,0,0,0,0,0,422133,431198
2017,4,경인선,부개,1453,3,10277,2737,19908,4004,53588,6762,45637,15283,26907,8806,19249,7433,17046,8839,16942,10732,15926,11491,12832,12667,11771,15195,13207,19808,13750,23349,14509,34301,10092,34829,7454,23743,6452,22877,4710,21484,2509,14590,302,4293,0,0,0,0,0,0,303226,325085
2017,4,경인선,간석,362,3,5938,1297,13246,2772,31647,4691,27001,10816,15554,6729,11334,5639,10791,5570,11061,7095,10500,7950,8920,8722,7980,9707,9682,13221,9760,16138,10936,20478,7336,21624,5677,15436,5190,13376,4025,13532,2086,9054,190,3552,0,0,0,0,0,0,197402,210871
2017,4,경인선,도원,595,23,2902,1314,4330,2408,9180,10926,8338,36828,6218,5132,5524,5478,5973,4750,9940,5458,9052,6696,5809,7413,8297,6334,16502,7459,16726,7551,11271,8035,6600,6868,4206,5149,4734,4692,1846,4100,625,3034,27,1893,0,2,0,0,0,0,141543,140117
2017,4,경인선,온수(성공회대입구),138,4,5181,1308,8637,5103,24447,12815,23225,18798,16132,12316,11727,8842,11968,8106,14411,8529,12760,9264,11001,9198,11681,10195,15729,12328,17001,14341,15859,21083,8920,21555,6957,14319,7702,13045,6153,12786,3619,8718,340,2005,0,0,0,0,0,0,224658,235467
2017,4,경인선,중동,765,4,11742,1735,20332,4228,50281,7793,42294,17753,24094,11532,18583,8393,16586,9585,16722,11438,16036,11808,12727,12554,12167,14498,13107,18150,15628,22027,15369,30611,10346,34398,7850,22781,7260,20881,5778,19344,2207,15000,201,3733,0,0,0,0,0,0,298246,321327
2017,4,경인선,도화,281,2,4007,1299,6708,2720,16735,5129,15763,11587,9050,3822,7361,3961,6663,3836,7144,4692,6607,5165,5286,5612,6212,6505,9444,7942,8126,8568,6964,9273,4506,9106,3037,7283,2306,7389,1445,6092,839,5152,41,1973,0,2,0,0,0,0,117110,130261
2017,4,경춘선,갈매,6,0,1130,851,2803,3893,11023,3833,6534,3844,4395,1195,2898,953,2232,1013,2337,1279,2399,1210,1725,1464,1877,2217,4221,2019,4718,3115,3278,4418,1414,5378,842,3911,642,3069,414,2958,137,1435,0,431,0,0,0,0,0,0,48486,57036
2017,4,경춘선,별내,20,0,966,479,2588,1333,10175,2793,7824,7913,5289,4362,4298,3052,3538,3219,3568,3157,3585,3217,3432,3446,3952,4246,4376,4407,5492,6002,5958,7156,3426,7162,2713,4679,2930,3070,2456,3235,1156,2031,149,267,0,0,0,0,0,0,75226,79888
2017,4,경춘선,퇴계원,1,0,2471,753,5638,1464,22080,4002,14618,5168,10513,2447,7218,3138,5705,2889,5566,3158,5125,3742,3964,4043,4117,5502,4769,6382,4954,7872,6053,13603,3506,12428,2363,8157,2244,6734,1458,5709,817,4268,44,816,0,0,0,0,0,0,102275,115240
2017,4,경춘선,사릉,7,0,2048,685,5828,2481,22170,5821,19062,7697,10593,3462,6606,3516,5363,3004,5268,2879,5141,3760,3999,3645,4269,4431,4369,7383,6343,8335,7874,13304,3658,13507,2360,9276,2024,7014,1354,7057,542,4283,30,810,0,0,0,0,0,0,112350,120918
2017,4,경춘선,금곡,9,0,1389,357,2492,1008,5805,2178,6716,4624,4285,2301,3373,1964,2719,1811,2691,1976,2678,2477,2184,2150,2651,2185,2327,3356,2866,3581,3501,4376,1817,4557,1153,2407,827,1989,564,1889,243,1919,7,462,0,0,0,0,0,0,47567,52305
2017,4,경춘선,평내호평,395,2,6041,1038,9649,1946,29847,4919,26382,10087,14554,8238,12062,6135,9757,5155,10773,7088,9145,6473,7795,8926,7424,8587,8036,10716,8819,18235,9400,18792,6299,22341,4745,13696,4520,11649,3795,9554,2008,9676,41,3152,0,0,0,0,0,0,186405,193109
2017,4,경춘선,천마산,14,2,1032,365,2861,771,7957,1546,5959,1469,4723,1255,3453,1709,2748,1379,2714,1821,2213,1676,1914,2401,1796,2531,1877,2867,2113,3835,2124,4790,1084,4343,826,3627,610,2735,372,2321,204,1906,4,351,0,0,0,0,0,0,43700,48601
2017,4,경춘선,대성리,0,0,1202,58,6867,619,3665,932,2717,1722,3346,1358,5485,2109,8395,1645,3967,2784,2016,5323,1854,5942,2046,5077,2629,3664,2329,3595,2180,3440,1120,3074,703,2061,540,778,371,831,168,481,11,18,0,0,0,0,0,0,45511,53628
2017,4,경춘선,청평,3,0,1064,163,2839,988,6093,2794,6105,5562,4544,4777,5284,5065,6118,4263,4744,4399,4119,4356,4761,4944,5148,4251,6323,5657,6696,5904,7262,5440,3378,4545,1642,2642,1578,2541,902,2179,344,1697,10,88,0,0,0,0,0,0,72255,80971
2017,4,경춘선,상천,0,0,135,68,594,204,785,585,1044,1219,794,2121,818,2709,1249,2078,876,1444,1311,790,1906,1011,2526,832,2698,798,2173,723,1358,710,633,682,238,459,117,434,68,276,21,199,0,55,0,0,0,0,0,0,17397,21361
2017,4,경춘선,신내,17,0,407,198,1257,977,2318,4010,2788,2116,1573,1278,1394,856,1201,879,1081,1185,984,900,1073,1206,1079,1293,1794,1467,1542,2353,1788,2243,1145,1774,863,1396,753,903,674,694,324,431,4,171,0,0,0,0,0,0,26330,26059
2017,4,경춘선,굴봉산,0,0,39,4,62,67,249,320,285,562,307,1099,433,1259,701,1202,473,582,760,516,1034,528,1203,487,996,322,866,301,446,256,218,217,104,188,65,142,95,114,38,85,2,12,0,0,0,0,0,0,8263,10393
