year,month,line,station,04-05 (on),04-05 (off),05-06 (on),05-06 (off),06-07 (on),06-07 (off),07-08 (on),07-08 (off),08-09 (on),08-09 (off),09-10 (on),09-10 (off),10-11 (on),10-11 (off),11-12 (on),11-12 (off),12-13 (on),12-13 (off),13-14 (on),13-14 (off),14-15 (on),14-15 (off),15-16 (on),15-16 (off),16-17 (on),16-17 (off),17-18 (on),17-18 (off),18-19 (on),18-19 (off),19-20 (on),19-20 (off),20-21 (on),20-21 (off),21-22 (on),21-22 (off),22-23 (on),22-23 (off),23-24 (on),23-24 (off),00-01 (on),00-01 (off),01-02 (on),01-02 (off),02-03 (on),02-03 (off),03-04 (on),03-04 (off),total(on),total(off)
2017,11,7호선,천왕,2,0,6736,920,13037,5063,40259,7990,48280,14692,24277,7950,14832,6285,12059,6900,12864,8668,12271,9812,10515,10632,11091,12867,13609,15187,14042,18368,13429,30191,8288,29524,5171,18191,4323,16904,3609,15470,1611,11021,228,3347,1,65,0,0,0,0,250047,272549
2017,11,7호선,온수(성공회대입구),117,8,7375,1115,16225,5726,52923,14028,62171,24979,27054,16160,15006,9720,13027,8376,14947,9989,13466,10684,11491,11165,13380,12252,18358,15353,20278,20809,18094,38907,9455,39190,7041,22789,6810,21640,5347,18995,2861,12566,507,6828,1,1043,0,0,0,0,322322,337834
2017,11,7호선,까치울,2,0,3589,791,9404,3234,32529,5066,40487,9351,18599,5440,10691,4945,9193,5629,9619,6764,9564,7136,8633,7738,8370,8891,9302,11377,10628,16730,10630,24986,6818,26206,4726,16149,4434,14186,3553,13831,1381,8087,187,2280,0,0,0,0,0,0,198817,214354
2017,11,7호선,부천종합운동장,2,1,3431,746,8042,2994,25157,5535,27258,10257,13545,5036,8001,4014,7293,3676,7585,3901,6660,4779,5652,4963,5693,5873,6574,7244,8632,10088,10167,16679,5120,16817,4066,11188,3280,9570,2242,9263,1013,6227,142,2254,0,0,0,0,0,0,141105,161570
2017,11,7호선,춘의,0,0,4223,2070,9453,7723,26508,29114,27920,54476,15607,15220,10352,7986,9707,6042,10487,6741,9915,8334,9390,7921,9533,8300,12309,10215,24399,13146,40498,20446,19270,18732,14499,14214,11763,12559,5238,11277,2211,7519,298,2649,0,0,0,0,0,0,264684,275597
2017,11,7호선,신중동,9,0,5541,1690,17708,5200,52109,15097,47660,43865,26016,27018,20075,15849,18855,14402,19844,15541,19427,17684,18914,17936,20371,19352,22944,22444,27626,30012,42104,45036,22143,47730,22501,28829,15981,22824,12379,20668,6049,16007,910,5837,0,1,0,0,0,0,433022,441174
2017,11,7호선,부천시청,7,0,5142,1505,15560,5053,45586,15599,41799,29592,21164,21912,15178,13442,15637,14129,17549,16165,16952,18803,16842,18876,18884,20312,21500,22893,26731,29740,31550,41522,21265,46741,21766,25682,17925,19552,14389,16824,5766,12840,991,4293,0,90,0,0,0,0,395565,394193
2017,11,7호선,상동,30,2,4932,1741,15959,6543,47753,13268,41101,30709,22648,30846,17083,20214,17106,20996,19378,23550,21408,23911,22972,24705,25670,24507,27440,26456,31155,34314,34409,46181,24341,49338,20346,27252,22757,21118,20974,18065,9124,13814,1658,4586,0,284,0,0,0,0,462400,450231
2017,11,7호선,삼산체육관,0,0,2986,333,9723,1532,28372,3188,25890,7001,13006,4170,8333,3405,7800,3945,8094,5175,7674,6110,6533,7373,7515,6964,8893,9150,8578,11129,7671,17522,4719,17913,3062,12409,3221,10454,2168,9664,995,6868,182,2643,0,563,0,0,0,0,147511,167432
2017,11,7호선,굴포천,3,0,6132,408,14864,3016,43558,5502,44393,12755,22345,10779,14351,7275,13027,8259,13836,9417,13230,10605,11716,11483,10924,13244,12557,16353,14112,22235,16137,38461,9691,40670,7410,26569,7369,22214,6103,20261,3227,11900,486,5429,0,953,0,1,0,0,297789,287485
2017,11,7호선,부평구청,79,5,8211,986,25896,6170,69886,13296,57002,13544,28989,7973,18556,6157,16345,6185,16295,7459,14869,9166,12527,10512,12300,11771,13681,14708,21367,19491,17710,31615,11036,39217,8299,28657,7207,23177,5541,21166,2482,14084,334,6685,1,1825,0,0,0,0,293849,370551
2017,11,8호선,암사,6,0,13024,1139,27008,7148,90355,9509,114361,21185,57223,16037,31457,11576,26487,13187,26402,15576,25334,18902,21798,20320,19961,26623,22163,31363,25181,41331,26933,66864,16078,63218,11376,39492,9410,36993,6624,34016,2970,22443,535,5528,1,929,0,0,0,0,503379,576698
2017,11,8호선,천호(풍납토성),42,1,12091,1757,20450,14371,56473,21973,80362,37068,43882,31763,27141,22664,25027,23287,26247,24539,27816,29424,25735,30192,26774,35167,30198,39715,37448,54532,44781,80567,28120,72270,23487,38301,19363,34701,15596,31479,7865,19444,1612,6586,0,281,0,0,0,0,650082,582485
2017,11,8호선,강동구청,3,0,4470,969,11713,5484,37489,14431,50384,40905,27221,16682,17716,11717,15566,10247,15519,12256,16822,13701,14799,15071,14491,16187,16891,20899,20819,24505,33335,37585,13828,34414,9306,20106,8509,18244,6002,18095,2407,10069,359,3389,0,16,0,0,0,0,344972,339663
2017,11,8호선,몽촌토성(평화의문),1,0,1674,1265,4605,6057,13144,10054,19023,35043,11932,19054,8890,10678,9243,10992,10140,11426,11241,11188,11788,11114,12946,11015,15228,12170,17555,14530,29041,18453,13169,15107,8687,8812,8995,7831,6543,8098,2742,4210,390,1599,0,2,0,0,0,0,228698,218993
2017,11,8호선,잠실(송파구청),12,2,1393,1702,3543,8788,8397,29251,13689,67764,11009,42200,10006,24398,11777,30434,14764,28090,18554,31877,22676,28870,27824,29897,31690,29651,39871,34647,58772,42809,40471,28000,36626,13142,34595,9728,27775,7828,9473,4232,1435,1688,0,45,0,0,0,0,495043,426357
2017,11,8호선,석촌,0,0,3948,658,7771,6037,24116,9599,35000,28859,19122,20962,12836,13148,12240,10156,13172,11281,14114,12866,12548,13761,13601,13835,15379,16523,19624,19022,26032,29964,13061,24901,9163,15095,9206,13616,6663,11501,2962,8439,424,2275,0,122,0,0,0,0,282620,272999
2017,11,8호선,송파,4,0,1802,1968,4881,12975,12259,13508,18075,22902,10586,9843,7931,6967,7141,5592,9377,6016,8739,6654,8427,7442,9365,7541,16007,9049,18218,10130,17840,14749,8023,12045,5078,7290,4360,7213,4281,5783,1522,4073,191,1022,0,89,0,0,0,0,172851,176120
2017,11,8호선,가락시장,28,0,2553,2406,4248,6015,10040,12782,13729,41395,11009,19161,10079,11809,10660,11503,10974,11727,11893,12124,12694,12173,13795,12845,14651,13549,17040,16767,28718,24192,14464,18641,11085,12243,11489,10059,10155,9049,4985,5595,911,2398,8,550,0,0,0,0,266983,227197
2017,11,8호선,문정,2,0,1674,2467,5723,18058,20023,28729,26843,140871,17706,64592,14408,20648,14859,15546,14930,12781,17094,17762,18712,15696,22705,16793,28876,15811,43640,19005,105304,23260,37407,20980,23058,11724,22528,10273,16034,10381,5535,6151,722,2192,0,0,0,0,0,0,473720,459798
2017,11,8호선,장지,2,0,4870,2061,16377,8917,53703,22043,64464,57997,36109,37630,22746,21770,20283,23564,21860,25603,24265,25304,22309,24230,26697,26402,33865,30540,39058,39555,57362,53974,35662,48695,24336,27069,28097,23246,20526,23748,5691,14707,849,4915,0,0,0,0,0,0,541970,561146
2017,11,8호선,복정,1,0,3927,2119,12722,10016,42980,12480,50910,23827,29784,22202,16871,13864,14877,9209,17001,11295,16231,11443,16123,11355,17556,12295,23507,14961,29095,20500,31047,31144,17662,31366,12134,19318,9412,17444,8073,16188,3108,8035,375,1649,0,0,0,1,0,0,300711,375412
2017,11,8호선,산성,9,0,5631,840,8742,2280,22618,3966,30410,11043,16427,8435,9604,7611,8382,6097,9513,5819,9147,6437,8956,7175,8958,8782,10547,10939,10699,13726,8323,20841,4760,18991,3401,12380,2973,12165,1981,12235,834,6846,170,2121,0,6,0,0,0,0,178735,184093
2017,11,8호선,남한산성입구(성남법원.검찰청),34,0,10667,1306,22341,4753,59737,13007,75472,40138,38456,33951,23636,22034,20733,13376,23216,14911,21400,19762,19704,15004,22011,19360,26212,22637,29342,28437,32046,45084,15439,42930,10511,26276,8490,26885,6084,26045,2568,16906,365,4906,0,1,0,0,0,0,437709,470447
2017,11,8호선,단대오거리,13,2,9070,1607,16257,4936,43052,11726,53084,24418,28115,14063,17983,10185,17005,8303,18035,11039,17458,11219,15310,13119,16552,15069,18672,21079,21449,23914,25592,39165,14564,36490,10299,24590,8470,21718,6456,20968,2921,14060,514,4032,0,101,0,0,0,0,331803,362875
2017,11,8호선,신흥,3,0,3904,440,6544,2081,13978,3138,18157,5649,11027,5218,7420,4798,7223,5237,7102,6712,7140,8672,6996,9073,7733,9544,8576,11127,9810,12707,8063,17244,5343,15575,4194,9989,3892,8978,2831,7654,1388,5320,245,1720,0,258,0,0,0,0,151134,143583
2017,11,8호선,수진,0,0,3703,599,6020,2528,14875,4635,20231,13694,11886,8006,8888,5628,8492,6648,8806,5670,8591,8794,8498,8627,8638,8592,10498,8876,11684,10490,10029,14775,6174,13466,4472,8224,4701,7181,3105,7348,1344,4452,172,1467,0,146,0,0,0,0,149846,162824
2017,11,8호선,모란,9,0,2260,387,2653,3093,9460,5193,12946,10771,7077,6049,5994,5616,7091,6417,8516,6129,10214,6985,9498,6314,10270,6866,12059,7111,11851,7850,11780,9382,7139,7381,4778,4412,4617,4173,4098,3781,2243,2379,563,1260,3,414,0,0,0,0,111963,147127
2017,11,9호선,개화,13,2,3158,229,14975,3228,45148,4968,36778,7678,17683,3969,12748,3256,9691,3675,8088,3649,7097,4455,6171,5581,6554,6851,8111,7591,11502,10226,12589,16293,5567,22004,3242,13398,2188,9607,1272,9284,709,6099,174,1761,2,119,0,0,0,0,143923,215464
2017,11,9호선,김포공항,8,1,2698,2514,5340,14757,15105,18410,17339,20257,13535,19369,9422,19753,12794,20458,13974,23048,15822,23879,16211,24777,18606,21757,18372,25454,21838,32046,26840,36469,22284,27063,19140,11584,16372,7627,19816,6120,6254,3813,261,2074,0,286,0,2,0,0,361518,294040
2017,11,9호선,공항시장,1,0,3103,446,4996,1438,10260,1667,10431,4880,6493,3491,4822,3358,4494,3321,5069,3977,4725,4381,4395,4822,5116,5136,4725,6713,4637,8291,5066,11283,3270,11081,3440,7242,2229,6200,1737,6952,929,5147,145,1910,1,60,0,0,0,0,101796,92100
2017,11,9호선,신방화,1,0,5693,647,15042,3129,39440,6066,37543,15175,20693,7754,14166,6023,13247,6135,12848,8020,12552,8614,10492,10382,11915,12296,14003,15025,11352,17949,12239,29397,7169,31609,5843,19837,4967,16925,4003,16963,1757,12954,318,4244,1,37,0,0,0,0,249181,257300
2017,11,9호선,마곡나루,2,0,2522,602,7386,10088,22457,8600,21585,19550,10972,11328,7306,6011,7276,5044,8104,5789,8159,5968,7545,6244,8257,6891,11643,7802,20567,9338,20995,15484,10327,18721,7291,12481,6505,11207,6708,11914,2726,8340,508,2987,1,32,0,0,0,0,184421,200857
2017,11,9호선,가양,179,0,15502,1615,29986,9557,87998,28482,81567,44927,48067,27777,35025,20463,33045,18166,34058,20728,33369,24920,29531,26772,29818,30499,32591,34459,40952,42041,47405,60707,24538,72074,17384,45026,15732,39786,11618,40625,5398,28028,846,9769,2,989,0,0,0,0,627410,656449
2017,11,9호선,증미,1,0,2389,594,7360,2833,23164,7174,21694,38306,11930,14301,9596,7579,9424,7714,9779,8131,10330,9012,9591,10225,10282,11023,10997,12247,13473,12920,33375,18929,12915,20799,7387,11854,6654,9787,4146,9868,1967,6639,367,2160,0,22,0,0,0,0,222117,218837
2017,11,9호선,등촌,8,0,5183,960,12550,5125,43367,8508,45437,19896,23418,14859,17486,11571,17227,11306,17550,12158,17403,14067,16115,15207,16495,18277,18701,20851,19048,23577,20451,35328,10899,38093,8162,21973,6879,18320,5995,17590,3113,11954,719,3895,1,27,0,0,0,0,323542,328216
2017,11,9호선,염창,46,0,11348,875,27675,6753,77433,8948,85314,22257,46144,13324,29014,10434,25028,10942,24462,13614,23575,15422,19054,17598,17983,21707,19870,26739,22598,33218,26999,61125,14513,66406,10157,42948,9215,37266,7710,38846,3927,26311,744,7889,2,133,0,0,0,0,482755,504782
2017,11,9호선,신목동,4,0,1774,348,6584,1637,20582,3731,21059,5927,10173,3824,7175,2734,5833,3075,5685,3818,5483,4829,4781,5106,5033,5607,6209,6567,7211,8134,7583,13388,3675,13528,2905,8237,2528,7936,2221,7518,950,5719,264,1942,0,11,0,0,0,0,113616,129725
2017,11,9호선,선유도,1,0,2475,941,6061,4417,18851,9929,20997,41976,10763,18712,7742,7895,7856,6588,8031,7115,8720,7871,8648,8104,9418,8642,10976,9427,16197,10507,35654,16984,15103,16023,8117,9393,6781,8414,5187,8114,2426,4781,395,1739,0,16,0,1,0,0,207589,212415
2017,11,9호선,당산,18,0,7336,1460,18952,6129,52802,15740,62462,40092,37844,24882,28394,15977,28308,17110,28876,18852,28874,22186,25603,21542,25427,24429,28073,28559,35916,35819,48432,57106,28003,56691,20717,34923,19743,33662,16813,34507,9130,22574,1641,7841,5,390,0,2,0,0,520473,555368
2017,11,9호선,국회의사당,2,0,1299,1813,2437,13209,3903,45987,6978,167674,8100,67756,10742,28937,15423,24607,19895,22186,22735,28275,25446,20566,29950,16390,35359,15231,60839,16754,138229,19687,50940,12187,31097,5503,30958,4353,22650,3859,8087,2808,1275,1060,1,9,0,0,0,0,518851,528360
2017,11,9호선,여의도,6,0,2484,2333,4389,18796,8941,95439,11527,146403,12482,56139,13394,24583,18662,23743,18646,22596,24371,26794,25440,21489,29987,20421,37011,19666,70501,21209,147085,26955,65221,20589,42231,11033,39953,8749,28036,8074,10883,5264,1756,1786,4,22,0,0,0,0,582083,615021
2017,11,9호선,샛강,11,0,951,957,1991,4601,5295,15272,6157,28298,5250,15780,5206,8707,6035,7910,6516,7360,7751,7511,8258,7526,9217,7733,10533,8450,15563,9865,28354,13123,12649,10569,9704,5026,9195,4029,6811,3876,3634,2304,731,1078,1,205,0,0,0,0,170180,161819
2017,11,9호선,노량진,134,5,14065,2743,23645,19767,64057,53129,94174,85598,52203,49669,32727,34610,32378,34254,37951,42204,46397,48043,40025,38989,39289,42095,43119,46511,52748,65611,75632,102479,42305,83208,40897,48329,50919,44329,72120,45116,24371,28415,2490,7711,1,184,0,0,0,0,922999,883530
2017,11,9호선,노들,36,1,3509,274,6355,1326,19610,2437,22345,5665,12887,5098,8706,4828,7654,3795,7710,4356,8121,5166,6738,5857,6488,7179,6328,7919,7090,10140,7640,15671,4221,14608,3100,8856,3327,7941,2713,8719,1194,5331,210,1524,1,26,0,0,0,0,126717,147964
2017,11,9호선,흑석(중앙대입구),5,0,3955,1687,6663,8494,18744,12756,23700,32625,16054,24143,13085,23665,14392,15581,16663,16729,17642,17422,17889,16737,21975,14935,25562,16339,33205,22096,30169,31281,16721,24771,14058,15763,14709,14369,12619,15192,7729,10065,1591,3401,2,167,0,0,0,0,338218,329144
2017,11,9호선,동작(현충원),8,0,1060,263,1911,1492,5116,1839,6640,4072,4160,3065,3080,3275,3415,2723,4613,2376,4134,2708,3633,2664,4235,2323,3976,2196,4152,2666,4166,3840,2293,3495,1691,2024,1603,1902,1148,2077,638,1374,126,979,0,157,0,0,0,0,47510,63807
2017,11,9호선,구반포,0,0,534,362,1779,1608,5518,5209,6597,7268,4871,6158,4167,6598,4490,6095,5391,6980,6996,7113,7268,6407,7162,7166,7217,7548,8334,8259,11569,10007,7018,9100,5122,4332,5092,3666,4736,3706,1240,2227,136,618,0,16,0,0,0,0,110443,107254
2017,11,9호선,신반포,0,0,696,354,2461,2386,8590,8108,11725,10761,8796,7460,5624,5097,5579,4722,6092,4527,6420,6096,5550,5393,6319,6320,7887,6855,9401,7932,10324,9805,6174,9344,4272,5120,3598,4503,2530,4727,866,2893,131,908,0,7,0,0,0,0,113318,115052
2017,11,9호선,고속터미널,1,0,2250,1882,4967,14681,16655,20241,22311,30381,17841,32789,14568,33567,16418,38013,19593,38220,23017,39308,24519,42420,28298,44944,31029,46521,33682,51188,35462,58489,31284,44912,29356,26019,24671,20475,18890,19574,6826,10947,973,2809,2,18,0,0,0,0,617398,404629
2017,11,9호선,사평,0,0,657,343,2221,3295,7773,4872,9873,5274,6360,3454,4415,2682,3982,2391,4331,3010,4357,4090,3765,4073,4841,4097,7020,4869,8083,5673,6249,8098,4046,7337,2722,4096,1863,4041,1551,4082,539,2496,146,870,0,12,0,0,0,0,79155,86811
2017,11,9호선,신논현,57,0,5690,1683,14219,18626,35535,46855,45381,95838,32325,85087,25846,44909,27833,39348,33310,39481,39580,44771,41797,42026,45206,42349,54876,46303,71717,61167,107563,96643,80328,87135,60105,39248,67563,29039,66293,25045,35249,15983,6191,4733,5,495,0,2,0,0,906766,898629
2017,11,9호선2단계,언주,13,0,1603,616,2982,5736,7023,13575,9640,43742,8583,41850,8161,17504,9968,12508,11317,10593,11862,12980,13558,12494,15001,11244,17947,11049,25647,11960,46164,15349,26736,13099,14327,7693,13846,6997,9883,6229,4388,4548,594,1835,0,7,0,0,0,0,261608,261247
2017,11,9호선2단계,선정릉,5,0,1161,834,3399,3705,8465,10362,9083,35906,6999,32325,6107,15350,7162,10875,8356,9765,9632,11209,10484,10908,11429,10043,13074,9672,17798,10391,38594,13362,22756,11624,12719,7121,12247,6602,9931,6386,4060,4439,730,1831,0,17,0,0,0,0,222727,216203
2017,11,9호선2단계,삼성중앙,12,0,832,309,2163,2552,5434,8353,6395,29364,5546,22172,4717,9573,5449,6176,6129,5872,6850,6217,7049,6671,7594,5998,9168,6845,12038,8024,28977,10812,16959,9505,8609,5131,7500,4298,5887,4435,2583,2922,422,909,0,9,0,0,0,0,156147,152318
2017,11,9호선,양천향교,0,0,4500,867,10850,6614,32506,8293,30611,25973,17368,13291,12054,8383,11802,7409,12485,8243,12053,9118,10723,9077,10898,10479,13596,12941,16911,15437,24325,22679,11180,27555,7260,18228,6235,15673,5164,16074,2277,11762,416,4304,2,45,0,1,0,0,252446,255233
2017,11,9호선2단계,봉은사,4,0,1550,1002,4845,7702,9772,23885,10164,71597,9104,56522,8996,30568,13012,26814,16674,24924,20181,25150,23000,22288,27763,19089,33215,18223,43528,20867,79018,23313,44164,18668,28831,9246,28553,7618,20267,6626,6488,4264,864,1363,1,13,0,0,0,0,419742,432007
2017,11,9호선2단계,종합운동장,12,0,2701,621,8016,2428,23940,4717,24314,10713,14109,9028,8205,5305,8271,4497,7983,4965,8366,5938,7520,6003,7872,6629,9215,7887,13114,10887,16199,18891,10243,19399,7380,11525,8126,10795,7037,11377,3746,7800,625,2436,0,97,0,0,0,0,161938,198999
2017,11,경강선,판교,4,1,498,8,1259,2527,4350,7530,3834,20610,2464,14485,2233,6048,2386,5475,2391,4118,2997,4272,3747,3851,4652,3727,5372,4145,7917,5977,16477,5139,11901,3682,11091,1462,7798,1399,4897,1054,1582,699,5,264,0,0,0,0,0,0,96473,99868
2017,11,경강선,이매,6,0,570,40,2111,621,5728,2248,5482,4254,3051,1926,2401,1251,2238,1005,2430,1219,2122,1487,2253,1469,2156,1496,2809,1884,3175,2761,3625,3330,2380,3193,1744,1559,2086,1449,1783,1135,542,521,23,187,0,0,0,0,0,0,33035,50726
2017,11,경강선,삼동,0,0,515,57,2561,676,10184,1489,12412,2014,5053,810,2661,697,2001,898,2106,1003,1823,1042,1563,1639,1573,1575,1801,2644,2639,3360,2519,5443,1206,6308,710,3629,523,3351,382,2969,157,1613,4,30,0,0,0,0,0,0,41247,54410
2017,11,경강선,경기광주,0,0,1244,160,8248,1793,29257,5123,33871,10289,17558,4356,11686,3741,10022,3966,9249,4641,8586,5818,7277,6654,7052,8641,8101,11163,10337,16078,9678,26060,4392,25821,2903,16263,2281,13780,1669,9376,657,7328,0,78,0,0,0,0,0,0,181129,186085
2017,11,경강선,초월,0,0,656,52,3525,893,10324,3275,11486,5127,6302,1912,3954,1387,3460,1426,3299,1552,3029,1975,2622,2312,2766,2853,3962,4053,4279,5097,4693,8277,2407,7335,1573,6425,1279,4592,597,5155,268,3557,0,0,0,0,0,0,0,0,67255,72498
2017,11,경강선,곤지암,0,0,519,113,1828,1151,6186,4791,6016,7997,4478,6853,3232,5001,3453,3732,3464,3309,4090,2847,3882,2770,5209,3025,7464,3673,10828,4313,8981,5577,3004,5311,1884,3428,1314,3694,544,2682,215,2060,0,0,0,0,0,0,0,0,72327,78608
2017,11,경강선,신둔도예촌,0,0,456,21,1357,324,3798,1695,3642,3983,2429,3501,1791,1668,1850,1815,2379,1679,2438,1076,2352,1224,2484,1324,3884,1674,4848,2250,3291,2464,1274,2928,884,2121,662,2233,380,1707,105,1440,0,1,0,0,0,0,0,0,35128,42321
2017,11,경강선,이천,9,0,720,11,2081,863,6780,4996,6276,7589,5139,4463,4555,2819,3980,3597,3973,3280,4252,3522,3852,3951,4132,4215,5313,4809,5814,5993,7307,7248,3879,6924,2828,5380,2562,3140,1380,4219,537,2744,0,18,2,1,0,0,0,0,79782,77379
