time,pop
male_Feb_15,5250686
male_Feb_16,5251207
male_Feb_17,5248418
male_Feb_18,5230303
male_Feb_19,5181802
male_Feb_20,5142027
male_Feb_21,5102576
male_Feb_22,5057136
male_Feb_23,5003250
female_Feb_0,5484677
female_Feb_1,5482930
female_Feb_2,5479342
female_Feb_3,5476915
female_Feb_4,5476717
female_Feb_5,5478686
female_Feb_6,5488144
female_Feb_7,5541080
female_Feb_8,5628221
female_Feb_9,5690401
female_Feb_10,5735642
female_Feb_11,5765440
female_Feb_12,5791998
female_Feb_13,5816155
female_Feb_14,5826074
female_Feb_15,5824595
female_Feb_16,5811071
female_Feb_17,5789215
female_Feb_18,5749377
female_Feb_19,5686696
female_Feb_20,5641839
female_Feb_21,5597957
female_Feb_22,5551395
female_Feb_23,5496360
total_Feb_avg,10750216.83
male_Feb_avg,10750216.83
female_Feb_avg,10750216.83
total_Jan_0,10620269
total_Jan_1,10609966
total_Jan_2,10602518
total_Jan_3,10597648
total_Jan_4,10598193
total_Jan_5,10608328
total_Jan_6,10640206
total_Jan_7,10749912
total_Jan_8,10915528
total_Jan_9,11036498
total_Jan_10,11113394
total_Jan_11,11166187
total_Jan_12,11210767
total_Jan_13,11248237
total_Jan_14,11265779
total_Jan_15,11263951
total_Jan_16,11248107
total_Jan_17,11223588
total_Jan_18,11160990
total_Jan_19,11039633
total_Jan_20,10947944
total_Jan_21,10865866
total_Jan_22,10773669
total_Jan_23,10660112
male_Jan_0,5050900
male_Jan_1,5044137
male_Jan_2,5039407
male_Jan_3,5036607
male_Jan_4,5036732
male_Jan_5,5043426
male_Jan_6,5062969
male_Jan_7,5118745
male_Jan_8,5187971
male_Jan_9,5238483
male_Jan_10,5268933
male_Jan_11,5288224
male_Jan_12,5306301
male_Jan_13,5322614
male_Jan_14,5331628
male_Jan_15,5333990
male_Jan_16,5334523
male_Jan_17,5332649
male_Jan_18,5313118
male_Jan_19,5258971
male_Jan_20,5215068
male_Jan_21,5175605
male_Jan_22,5129871
male_Jan_23,5071195
female_Jan_0,5569141
female_Jan_1,5565614
female_Jan_2,5562905
female_Jan_3,5560846
female_Jan_4,5561246
female_Jan_5,5564701
female_Jan_6,5577020
female_Jan_7,5630945
female_Jan_8,5727331
female_Jan_9,5797799
female_Jan_10,5844238
female_Jan_11,5877755
female_Jan_12,5904273
female_Jan_13,5925422
female_Jan_14,5933938
female_Jan_15,5929763
female_Jan_16,5913377
female_Jan_17,5890731
female_Jan_18,5847642
female_Jan_19,5780431
female_Jan_20,5732657
female_Jan_21,5690058
female_Jan_22,5643589
female_Jan_23,5588716
total_Jan_avg,10923637.08
male_Jan_avg,10923637.08
female_Jan_avg,10923637.08
total_Jul_0,10513540
total_Jul_1,10500522
total_Jul_2,10492978
total_Jul_3,10487977
total_Jul_4,10487536
total_Jul_5,10492454
total_Jul_6,10524536
total_Jul_7,10642773
total_Jul_8,10802667
total_Jul_9,10917730
total_Jul_10,10979200
total_Jul_11,11014011
total_Jul_12,11044285
total_Jul_13,11074477
total_Jul_14,11090027
total_Jul_15,11090758
total_Jul_16,11079606
total_Jul_17,11061104
total_Jul_18,10996955
total_Jul_19,10887355
total_Jul_20,10811338
total_Jul_21,10745710
total_Jul_22,10658098
total_Jul_23,10544083
male_Jul_0,4990625
male_Jul_1,4982598
male_Jul_2,4977831
male_Jul_3,4974750
male_Jul_4,4973840
male_Jul_5,4976547
male_Jul_6,4995166
male_Jul_7,5054166
male_Jul_8,5120435
male_Jul_9,5167198
male_Jul_10,5189263
male_Jul_11,5199057
male_Jul_12,5210033
male_Jul_13,5223906
male_Jul_14,5232886
male_Jul_15,5237340
male_Jul_16,5239531
male_Jul_17,5239789
male_Jul_18,5218437
male_Jul_19,5170840
male_Jul_20,5136395
male_Jul_21,5107052
male_Jul_22,5065130
male_Jul_23,5007635
female_Jul_0,5522702
female_Jul_1,5517716
female_Jul_2,5514939
female_Jul_3,5513036
female_Jul_4,5513469
female_Jul_5,5515701
female_Jul_6,5529174
female_Jul_7,5588408
female_Jul_8,5682016
female_Jul_9,5750315
female_Jul_10,5789717
female_Jul_11,5814746
female_Jul_12,5834046
female_Jul_13,5850377
female_Jul_14,5856934
female_Jul_15,5853200
female_Jul_16,5839860
female_Jul_17,5821115
female_Jul_18,5778311
female_Jul_19,5716325
female_Jul_20,5674721
female_Jul_21,5638448
female_Jul_22,5592745
female_Jul_23,5536236
total_Jul_avg,10789155
male_Jul_avg,10789155
female_Jul_avg,10789155
total_Jun_0,10588290
total_Jun_1,10575824
total_Jun_2,10567719
total_Jun_3,10562671
total_Jun_4,10561937
total_Jun_5,10564152
total_Jun_6,10589873
total_Jun_7,10693270
total_Jun_8,10831859
total_Jun_9,10935070
total_Jun_10,10990391
total_Jun_11,11026577
total_Jun_12,11056751
total_Jun_13,11086310
total_Jun_14,11104898
total_Jun_15,11108329
total_Jun_16,11101750
total_Jun_17,11091635
total_Jun_18,11040761
total_Jun_19,10947898
total_Jun_20,10880826
total_Jun_21,10815963
total_Jun_22,10731799
total_Jun_23,10618784
male_Jun_0,5021288
male_Jun_1,5013201
male_Jun_2,5008014
male_Jun_3,5004972
male_Jun_4,5004100
male_Jun_5,5004647
male_Jun_6,5018847
male_Jun_7,5070627
male_Jun_8,5126941
male_Jun_9,5167527
male_Jun_10,5185483
male_Jun_11,5195726
male_Jun_12,5207441
male_Jun_13,5221285
male_Jun_14,5232177
male_Jun_15,5238085
male_Jun_16,5243138
male_Jun_17,5247733
male_Jun_18,5233088
male_Jun_19,5193441
male_Jun_20,5164297
male_Jun_21,5136307
male_Jun_22,5097377
male_Jun_23,5040724
female_Jun_0,5566789
female_Jun_1,5562429
female_Jun_2,5559505
female_Jun_3,5557467
female_Jun_4,5557636
female_Jun_5,5559284
female_Jun_6,5570792
female_Jun_7,5622434
female_Jun_8,5704718
female_Jun_9,5767342
female_Jun_10,5804700
female_Jun_11,5830636
female_Jun_12,5849090
female_Jun_13,5864826
female_Jun_14,5872519
female_Jun_15,5870041
female_Jun_16,5858423
female_Jun_17,5843710
female_Jun_18,5807476
female_Jun_19,5754241
female_Jun_20,5716333
female_Jun_21,5679432
female_Jun_22,5634222
female_Jun_23,5577842
total_Jun_avg,10836389.04
male_Jun_avg,10836389.04
female_Jun_avg,10836389.04
total_Mar_0,10669719
total_Mar_1,10656644
total_Mar_2,10649708
total_Mar_3,10644765
total_Mar_4,10647252
total_Mar_5,10656234
total_Mar_6,10687515
total_Mar_7,10800474
total_Mar_8,10947605
total_Mar_9,11062052
total_Mar_10,11131180
total_Mar_11,11179370
total_Mar_12,11218036
total_Mar_13,11252710
total_Mar_14,11268943
total_Mar_15,11268388
total_Mar_16,11255827
total_Mar_17,11241411
total_Mar_18,11184359
total_Mar_19,11077061
total_Mar_20,10994818
total_Mar_21,10915982
total_Mar_22,10818889
total_Mar_23,10698305
male_Mar_0,5061346
male_Mar_1,5052866
male_Mar_2,5048435
male_Mar_3,5045473
male_Mar_4,5046712
male_Mar_5,5051896
male_Mar_6,5069287
male_Mar_7,5126375
male_Mar_8,5187164
male_Mar_9,5232880
male_Mar_10,5257241
male_Mar_11,5273036
male_Mar_12,5288816
male_Mar_13,5304945
male_Mar_14,5314612
male_Mar_15,5319263
male_Mar_16,5322183
male_Mar_17,5325364
male_Mar_18,5308655
male_Mar_19,5262203
male_Mar_20,5224344
male_Mar_21,5187899
male_Mar_22,5141014
male_Mar_23,5079366
female_Mar_0,5608164
female_Mar_1,5603559
female_Mar_2,5601068
female_Mar_3,5599076
female_Mar_4,5600334
female_Mar_5,5604124
female_Mar_6,5618026
female_Mar_7,5673883
female_Mar_8,5760251
female_Mar_9,5828957
female_Mar_10,5873720
female_Mar_11,5906135
female_Mar_12,5929021
female_Mar_13,5947542
female_Mar_14,5954125
female_Mar_15,5948927
female_Mar_16,5933426
female_Mar_17,5915852
female_Mar_18,5875487
female_Mar_19,5814670
female_Mar_20,5770255
female_Mar_21,5727871
female_Mar_22,5677657
female_Mar_23,5618739
total_Mar_avg,10955301.96
male_Mar_avg,10955301.96
female_Mar_avg,10955301.96
total_May_0,10591110
total_May_1,10573994
total_May_2,10565123
total_May_3,10558210
total_May_4,10554595
total_May_5,10548723
total_May_6,10566579
total_May_7,10659141
total_May_8,10794285
total_May_9,10898950
total_May_10,10952643
total_May_11,10986089
total_May_12,11016897
total_May_13,11050808
total_May_14,11072935
total_May_15,11079314
total_May_16,11073949
total_May_17,11068885
total_May_18,11020392
total_May_19,10929110
total_May_20,10860995
total_May_21,10793156
total_May_22,10702706
total_May_23,10580299
male_May_0,5026958
male_May_1,5016942
male_May_2,5011306
male_May_3,5007211
male_May_4,5005175
male_May_5,5001101
male_May_6,5010785
male_May_7,5056899
male_May_8,5111834
male_May_9,5153693
male_May_10,5172061
male_May_11,5181674
male_May_12,5193239
male_May_13,5209147
male_May_14,5220933
male_May_15,5227186
male_May_16,5230843
male_May_17,5236852
male_May_18,5222775
male_May_19,5184241
male_May_20,5154844
male_May_21,5125827
male_May_22,5083567
male_May_23,5022419
female_May_0,5563941
female_May_1,5556842
female_May_2,5553616
female_May_3,5550792
female_May_4,5549236
female_May_5,5547400
female_May_6,5555595
female_May_7,5602023
female_May_8,5682260
female_May_9,5745049
female_May_10,5780362
female_May_11,5804201
female_May_12,5823465
female_May_13,5841437
female_May_14,5851789
female_May_15,5851929
female_May_16,5842910
female_May_17,5831810
female_May_18,5797401
female_May_19,5744679
female_May_20,5705939
female_May_21,5667116
female_May_22,5618931
female_May_23,5557685
total_May_avg,10812453.67
male_May_avg,10812453.67
female_May_avg,10812453.67
total_Nov_0,10608252
total_Nov_1,10585374
total_Nov_2,10575780
total_Nov_3,10570317
total_Nov_4,10571398
total_Nov_5,10577336
total_Nov_6,10601078
total_Nov_7,10706771
total_Nov_8,10861113
total_Nov_9,10978101
total_Nov_10,11050578
total_Nov_11,11106074
total_Nov_12,11144545
total_Nov_13,11178975
total_Nov_14,11195026
total_Nov_15,11196172
total_Nov_16,11183837
total_Nov_17,11165144
total_Nov_18,11100239
total_Nov_19,10986902
total_Nov_20,10904858
total_Nov_21,10825370
total_Nov_22,10728638
total_Nov_23,10606102
male_Nov_0,5021191
male_Nov_1,5008536
male_Nov_2,5002793
male_Nov_3,4999532
male_Nov_4,4999989
male_Nov_5,5002884
male_Nov_6,5015540
male_Nov_7,5068253
male_Nov_8,5132834
male_Nov_9,5179931
male_Nov_10,5207292
male_Nov_11,5227935
male_Nov_12,5244310
male_Nov_13,5261386
male_Nov_14,5271723
male_Nov_15,5276805
male_Nov_16,5278968
male_Nov_17,5278787
male_Nov_18,5256633
male_Nov_19,5206984
male_Nov_20,5169258
male_Nov_21,5132001
male_Nov_22,5085294
male_Nov_23,5022627
female_Nov_0,5231013
female_Nov_1,5221246
female_Nov_2,5217392
female_Nov_3,5215286
female_Nov_4,5215846
female_Nov_5,5218963
female_Nov_6,5230208
female_Nov_7,5283192
female_Nov_8,5372888
female_Nov_9,5441145
female_Nov_10,5484928
female_Nov_11,5518538
female_Nov_12,5540079
female_Nov_13,5557053
female_Nov_14,5563024
female_Nov_15,5559625
female_Nov_16,5546087
female_Nov_17,5528807
female_Nov_18,5486980
female_Nov_19,5424337
female_Nov_20,5380557
female_Nov_21,5338780
female_Nov_22,5288166
female_Nov_23,5228751
total_Nov_avg,10875332.5
male_Nov_avg,10875332.5
female_Nov_avg,10875332.5
total_Oct_0,10584871
total_Oct_1,10572329
total_Oct_2,10564050
total_Oct_3,10559492
total_Oct_4,10559089
total_Oct_5,10565764
total_Oct_6,10594342
total_Oct_7,10698644
total_Oct_8,10841932
total_Oct_9,10950793
total_Oct_10,11011345
total_Oct_11,11049402
total_Oct_12,11084241
total_Oct_13,11115843
total_Oct_14,11134499
total_Oct_15,11136565
total_Oct_16,11130369
total_Oct_17,11118681
total_Oct_18,11067795
total_Oct_19,10971805
total_Oct_20,10899424
total_Oct_21,10826162
total_Oct_22,10733890
total_Oct_23,10609491
male_Oct_0,5020095
male_Oct_1,5012252
male_Oct_2,5007101
male_Oct_3,5004388
male_Oct_4,5004043
male_Oct_5,5007087
male_Oct_6,5022415
male_Oct_7,5075178
male_Oct_8,5135200
male_Oct_9,5179091
male_Oct_10,5201310
male_Oct_11,5214155
male_Oct_12,5228254
male_Oct_13,5243099
male_Oct_14,5253805
male_Oct_15,5257582
male_Oct_16,5260567
male_Oct_17,5262152
male_Oct_18,5246567
male_Oct_19,5205657
male_Oct_20,5173513
male_Oct_21,5140459
male_Oct_22,5096556
male_Oct_23,5033619
female_Oct_0,5564578
female_Oct_1,5559837
female_Oct_2,5556738
female_Oct_3,5554889
female_Oct_4,5554829
female_Oct_5,5558463
female_Oct_6,5571744
female_Oct_7,5623274
female_Oct_8,5706539
female_Oct_9,5771483
female_Oct_10,5809820
female_Oct_11,5835027
female_Oct_12,5855791
female_Oct_13,5872547
female_Oct_14,5880493
female_Oct_15,5878783
female_Oct_16,5869592
female_Oct_17,5856310
female_Oct_18,5821011
female_Oct_19,5765951
female_Oct_20,5725698
female_Oct_21,5685521
female_Oct_22,5637114
female_Oct_23,5575648
total_Oct_avg,10849200.75
male_Oct_avg,10849200.75
female_Oct_avg,10849200.75
total_Sept_0,10422569
total_Sept_1,10410633
total_Sept_2,10403176
total_Sept_3,10398682
total_Sept_4,10392723
total_Sept_5,10392756
total_Sept_6,10410987
total_Sept_7,10500375
total_Sept_8,10626906
total_Sept_9,10718109
total_Sept_10,10771883
total_Sept_11,10810302
total_Sept_12,10843791
total_Sept_13,10875729
total_Sept_14,10895423
total_Sept_15,10902137
total_Sept_16,10899830
total_Sept_17,10892887
total_Sept_18,10847735
total_Sept_19,10766588
total_Sept_20,10704636
total_Sept_21,10637165
total_Sept_22,10555614
total_Sept_23,10452177
male_Sept_0,4948219
male_Sept_1,4940744
male_Sept_2,4936035
male_Sept_3,4933271
male_Sept_4,4929763
male_Sept_5,4928838
male_Sept_6,4938352
male_Sept_7,4981646
male_Sept_8,5032331
male_Sept_9,5066798
male_Sept_10,5085240
male_Sept_11,5098187
male_Sept_12,5112287
male_Sept_13,5127841
male_Sept_14,5140042
male_Sept_15,5147076
male_Sept_16,5153589
male_Sept_17,5158017
male_Sept_18,5145417
male_Sept_19,5111424
male_Sept_20,5084648
male_Sept_21,5054543
male_Sept_22,5016444
male_Sept_23,4964576
female_Sept_0,5474147
female_Sept_1,5469675
female_Sept_2,5466930
female_Sept_3,5465187
female_Sept_4,5462724
female_Sept_5,5463707
female_Sept_6,5472416
female_Sept_7,5518523
female_Sept_8,5594381
female_Sept_9,5651124
female_Sept_10,5686436
female_Sept_11,5711905
female_Sept_12,5731319
female_Sept_13,5747669
female_Sept_14,5755175
female_Sept_15,5754852
female_Sept_16,5746033
female_Sept_17,5734661
female_Sept_18,5702122
female_Sept_19,5654946
female_Sept_20,5619782
female_Sept_21,5582421
female_Sept_22,5538970
female_Sept_23,5487399
total_Sept_avg,10647200.54
male_Sept_avg,10647200.54
female_Sept_avg,10647200.54
lat,15695.31325
lng,53083.29337
total_avg_0,10549643.92
male_avg_0,5259890.25
female_avg_0,5512587.917
total_avg_1,10536457
male_avg_1,5253314.292
female_avg_1,5507663.083
total_avg_2,10528432.75
male_avg_2,5249305.667
female_avg_2,5504680.333
total_avg_3,10523328.75
male_avg_3,5246755.292
female_avg_3,5502632.167
total_avg_4,10523189.75
male_avg_4,5246682.667
female_avg_4,5502757.5
total_avg_5,10528350.25
male_avg_5,5249265.208
female_avg_5,5505112.667
total_avg_6,10555518.17
male_avg_6,5262858.708
female_avg_6,5516870.583
total_avg_7,10661348.42
male_avg_7,5315774.542
female_avg_7,5569507.667
total_avg_8,10809296.42
male_avg_8,5389745.708
female_avg_8,5655934.833
total_avg_9,10919430.08
male_avg_9,5444743.333
female_avg_9,5721487.583
total_avg_10,10984275.25
male_avg_10,5477108.667
female_avg_10,5762546.333
total_avg_11,11027092.08
male_avg_11,5498466.125
female_avg_11,5791036.083
total_avg_12,11063394.67
male_avg_12,5516597.583
female_avg_12,5812862.25
total_avg_13,11097562
male_avg_13,5533663.167
female_avg_13,5831150.5
total_avg_14,11116024.75
male_avg_14,5542906.708
female_avg_14,5839242.5
total_avg_15,11118682.67
male_avg_15,5544257.667
female_avg_15,5836928.583
total_avg_16,11108823.58
male_avg_16,5539366.75
female_avg_16,5824380.667
total_avg_17,11093487.42
male_avg_17,5531752.417
female_avg_17,5807643.917
total_avg_18,11036113.17
male_avg_18,5503101.583
female_avg_18,5768293.5
total_avg_19,10932528.67
male_avg_19,5451353.625
female_avg_19,5709697.333
total_avg_20,10855941.33
male_avg_20,5413080.875
female_avg_20,5667869.25
total_avg_21,10782128.92
male_avg_21,5376193.167
female_avg_21,5627780.083
total_avg_22,10691155.92
male_avg_22,5330681.917
female_avg_22,5580260.5
total_avg_23,10574848.75
male_avg_23,5272548.625
female_avg_23,5522920.833
total_avg_avg,10817377.28
male_avg_avg,10817377.28
female_avg_avg,10817377.28
