ID,Neighborhood_ID,Avg,City,Sigungu,Neighborhood_name
101,11260590,27008.01175,서울특별시,중랑구,상봉2동
102,11260600,14717.76776,서울특별시,중랑구,중화1동
103,11260610,24303.97088,서울특별시,중랑구,중화2동
104,11260620,24495.87918,서울특별시,중랑구,묵1동
105,11260630,16578.6264,서울특별시,중랑구,묵2동
106,11260655,32786.09327,서울특별시,중랑구,망우본동
107,11260660,10699.19447,서울특별시,중랑구,망우3동
108,11260680,30384.26645,서울특별시,중랑구,신내1동
109,11260690,16850.93934,서울특별시,중랑구,신내2동
110,11290525,21014.55928,서울특별시,성북구,성북동
111,11290555,29176.50166,서울특별시,성북구,삼선동
112,11290575,27876.01907,서울특별시,성북구,동선동
113,11290580,13753.35929,서울특별시,성북구,돈암1동
114,11290590,9995.333518,서울특별시,성북구,돈암2동
115,11290600,34157.42147,서울특별시,성북구,안암동
116,11290610,16640.40317,서울특별시,성북구,보문동
117,11290620,13083.83613,서울특별시,성북구,정릉1동
118,11290630,18259.87347,서울특별시,성북구,정릉2동
119,11290640,19750.15147,서울특별시,성북구,정릉3동
120,11290650,16999.97157,서울특별시,성북구,정릉4동
121,11290660,27473.7656,서울특별시,성북구,길음1동
122,11290685,17868.33325,서울특별시,성북구,길음2동
123,11290705,33753.76153,서울특별시,성북구,종암동
124,11290715,20315.6265,서울특별시,성북구,월곡1동
125,11290725,26774.29714,서울특별시,성북구,월곡2동
126,11290760,14759.37603,서울특별시,성북구,장위1동
127,11290770,13628.64131,서울특별시,성북구,장위2동
128,11290780,7675.77127,서울특별시,성북구,장위3동
129,11290810,25314.91887,서울특별시,성북구,석관동
130,11305534,21229.98557,서울특별시,강북구,삼양동
131,11305535,22211.68711,서울특별시,강북구,미아동
132,11305545,32003.87632,서울특별시,강북구,송중동
133,11305555,27222.10713,서울특별시,강북구,송천동
134,11305575,19465.70262,서울특별시,강북구,삼각산동
135,11305590,19706.5246,서울특별시,강북구,번1동
136,11305600,10680.96898,서울특별시,강북구,번2동
137,11305606,13022.84114,서울특별시,강북구,번3동
138,11305610,17639.19478,서울특별시,강북구,수유1동
139,11305620,18499.14332,서울특별시,강북구,수유2동
140,11305630,29427.82229,서울특별시,강북구,수유3동
141,11305645,16539.67698,서울특별시,강북구,우이동
142,11305660,25898.81221,서울특별시,강북구,인수동
143,11320511,21459.88596,서울특별시,도봉구,창1동
144,11320512,22439.86165,서울특별시,도봉구,창2동
145,11320513,11462.23612,서울특별시,도봉구,창3동
146,11320514,28665.52236,서울특별시,도봉구,창4동
147,11320515,24667.16786,서울특별시,도봉구,창5동
148,11320521,17477.34833,서울특별시,도봉구,도봉1동
149,11320522,18064.70334,서울특별시,도봉구,도봉2동
150,11320660,17567.02866,서울특별시,도봉구,쌍문1동
151,11320670,17373.26931,서울특별시,도봉구,쌍문2동
152,11320680,14992.84693,서울특별시,도봉구,쌍문3동
153,11320681,12139.85001,서울특별시,도봉구,쌍문4동
154,11320690,24537.27523,서울특별시,도봉구,방학1동
155,11320700,12851.5209,서울특별시,도봉구,방학2동
