year,month,line,station,04-05 (on),04-05 (off),05-06 (on),05-06 (off),06-07 (on),06-07 (off),07-08 (on),07-08 (off),08-09 (on),08-09 (off),09-10 (on),09-10 (off),10-11 (on),10-11 (off),11-12 (on),11-12 (off),12-13 (on),12-13 (off),13-14 (on),13-14 (off),14-15 (on),14-15 (off),15-16 (on),15-16 (off),16-17 (on),16-17 (off),17-18 (on),17-18 (off),18-19 (on),18-19 (off),19-20 (on),19-20 (off),20-21 (on),20-21 (off),21-22 (on),21-22 (off),22-23 (on),22-23 (off),23-24 (on),23-24 (off),00-01 (on),00-01 (off),01-02 (on),01-02 (off),02-03 (on),02-03 (off),03-04 (on),03-04 (off),Total(on),Total(off),X(WGS),Y(WGS)
2018,9,2호선,신림,331,20,41054,5346,76727,23180,210324,35739,302026,62376,184995,54831,107101,51834,94125,60088,99545,64328,97869,73180,88298,79936,85182,95091,92470,114000,100451,146958,106266,229653,77340,239702,62058,154554,57900,149218,51892,149823,30324,102627,4605,31815,87,747,0,0,0,0,1925046,1972657,37.484201,126.92971499999999
2018,9,분당선,보정,17,0,971,74,3354,1313,8914,2500,10773,6574,7657,2613,6337,1754,4682,2000,4268,2317,3856,2823,3518,3093,3846,4171,4252,4692,5618,5316,4256,6083,2134,5926,1563,4139,1380,3834,1162,3799,394,2542,46,692,1,2,0,0,0,0,66257,81000,37.312752,127.10819599999999
2018,9,9호선,신논현,22,0,5736,1344,13593,14610,30831,37036,38087,82102,28255,74243,23856,41760,27226,38883,32694,38510,38364,42271,40012,39408,44709,40163,50829,44971,65984,56547,95116,85739,67802,69899,52442,35597,57617,28955,56573,25971,30346,17427,4819,5200,27,597,1,2,0,0,821235,806937,37.504598,127.02506000000001
2018,9,경춘선,평내호평,531,5,5102,949,8931,2356,28069,4524,20065,8532,12409,6885,10615,5999,8758,5295,9563,6865,7921,6874,7577,8492,8313,8420,7878,9683,9355,16921,9505,16124,5943,21021,4764,12602,4450,10398,4462,8370,1832,7597,53,2755,0,0,0,0,0,0,170667,177583,37.653225,127.24449299999999
2018,9,3호선,잠원,3,0,1566,661,5623,5137,17671,7634,23510,10372,14808,7979,10684,6116,10912,6211,10130,7625,10084,8608,8940,8411,9419,9473,10799,10913,12375,12887,12127,18160,7708,15307,5150,9898,4660,9814,3727,11168,1254,6059,151,1734,6,19,0,3,0,0,174189,183322,37.512759,127.01122
2018,9,9호선,선유도,0,0,2129,946,5144,3861,16963,9063,18048,34039,9566,12265,7068,6742,7452,6213,8178,6437,7982,7243,7873,7759,8713,8656,10538,8910,15296,10250,28931,16555,12000,13878,6682,8320,5864,7739,4567,7718,2118,4356,323,1438,1,14,0,0,0,0,182402,187454,37.53802,126.893525
2018,9,경의선,곡산,4,1,261,172,651,537,1548,1257,1532,2084,1097,843,842,671,721,762,688,726,817,687,921,834,1083,721,1143,882,1446,900,1817,1574,740,1175,494,842,413,699,308,642,109,407,16,121,0,0,0,0,0,0,16537,18665,37.645676,126.80176200000001
2018,9,5호선,신길,22,3,2157,509,3066,2266,9294,4754,13864,14554,5762,6012,3579,2974,3457,2856,3790,3213,3961,3675,3349,3430,3528,3860,4323,4685,6240,7257,10390,11320,4610,7827,2964,5876,2801,5973,2094,6456,1116,4508,177,1018,2,5,0,0,0,0,103031,92542,37.517122,126.917169
2018,9,5호선,신길,22,3,2157,509,3066,2266,9294,4754,13864,14554,5762,6012,3579,2974,3457,2856,3790,3213,3961,3675,3349,3430,3528,3860,4323,4685,6240,7257,10390,11320,4610,7827,2964,5876,2801,5973,2094,6456,1116,4508,177,1018,2,5,0,0,0,0,103031,92542,37.517122,126.917169
2018,9,5호선,신길,22,3,2157,509,3066,2266,9294,4754,13864,14554,5762,6012,3579,2974,3457,2856,3790,3213,3961,3675,3349,3430,3528,3860,4323,4685,6240,7257,10390,11320,4610,7827,2964,5876,2801,5973,2094,6456,1116,4508,177,1018,2,5,0,0,0,0,103031,92542,37.517122,126.917169
2018,9,5호선,신길,22,3,2157,509,3066,2266,9294,4754,13864,14554,5762,6012,3579,2974,3457,2856,3790,3213,3961,3675,3349,3430,3528,3860,4323,4685,6240,7257,10390,11320,4610,7827,2964,5876,2801,5973,2094,6456,1116,4508,177,1018,2,5,0,0,0,0,103031,92542,37.517122,126.917169
2018,9,경부선,신길,758,6,12543,2403,11049,5781,24381,15501,31998,27498,20803,10670,14168,7433,12686,7501,14721,7954,13209,9133,11672,9156,12664,10767,15578,12822,18510,17960,30118,21969,13647,18593,9234,13505,8881,13719,6371,12977,2991,8382,205,2449,0,22,0,2,0,0,236203,287447,37.517122,126.917169
2018,9,경부선,신길,758,6,12543,2403,11049,5781,24381,15501,31998,27498,20803,10670,14168,7433,12686,7501,14721,7954,13209,9133,11672,9156,12664,10767,15578,12822,18510,17960,30118,21969,13647,18593,9234,13505,8881,13719,6371,12977,2991,8382,205,2449,0,22,0,2,0,0,236203,287447,37.517122,126.917169
2018,9,경부선,신길,758,6,12543,2403,11049,5781,24381,15501,31998,27498,20803,10670,14168,7433,12686,7501,14721,7954,13209,9133,11672,9156,12664,10767,15578,12822,18510,17960,30118,21969,13647,18593,9234,13505,8881,13719,6371,12977,2991,8382,205,2449,0,22,0,2,0,0,236203,287447,37.517122,126.917169
2018,9,경부선,신길,758,6,12543,2403,11049,5781,24381,15501,31998,27498,20803,10670,14168,7433,12686,7501,14721,7954,13209,9133,11672,9156,12664,10767,15578,12822,18510,17960,30118,21969,13647,18593,9234,13505,8881,13719,6371,12977,2991,8382,205,2449,0,22,0,2,0,0,236203,287447,37.517122,126.917169
2018,9,분당선,기흥,96,2,4285,731,10806,4619,32506,9014,34370,23134,20316,9209,14863,7788,14110,10294,14590,8904,13626,10783,13202,11724,13655,12249,17346,14149,19745,19612,18219,28187,11251,28389,8507,20461,7503,17147,6876,16416,2925,13927,345,3071,1,8,0,0,0,0,269818,281065,37.275619,127.115936
2018,9,분당선,기흥,96,2,4285,731,10806,4619,32506,9014,34370,23134,20316,9209,14863,7788,14110,10294,14590,8904,13626,10783,13202,11724,13655,12249,17346,14149,19745,19612,18219,28187,11251,28389,8507,20461,7503,17147,6876,16416,2925,13927,345,3071,1,8,0,0,0,0,269818,281065,37.275619,127.115936
2018,9,분당선,기흥,96,2,4285,731,10806,4619,32506,9014,34370,23134,20316,9209,14863,7788,14110,10294,14590,8904,13626,10783,13202,11724,13655,12249,17346,14149,19745,19612,18219,28187,11251,28389,8507,20461,7503,17147,6876,16416,2925,13927,345,3071,1,8,0,0,0,0,269818,281065,37.275619,127.115936
2018,9,분당선,기흥,96,2,4285,731,10806,4619,32506,9014,34370,23134,20316,9209,14863,7788,14110,10294,14590,8904,13626,10783,13202,11724,13655,12249,17346,14149,19745,19612,18219,28187,11251,28389,8507,20461,7503,17147,6876,16416,2925,13927,345,3071,1,8,0,0,0,0,269818,281065,37.275619,127.115936
2018,9,5호선,목동,1,0,7699,1362,19327,6684,60020,16208,70688,28580,36188,22040,27110,17088,25328,15756,26025,18491,25065,22167,22911,24550,23358,27165,26655,33369,28658,42487,32196,73777,19884,61812,15773,36132,15928,32794,19293,31493,6338,20451,818,6271,4,59,0,0,0,0,538736,511284,37.526065,126.864931
2018,9,7호선,청담,19,0,3177,3366,6904,20324,12277,54621,17522,142408,15284,92666,14760,37770,17594,27701,20243,24079,21380,25789,23983,23070,31797,21509,36175,22209,49249,24279,95201,26631,61442,20125,35844,12298,33350,11439,27933,8927,9469,5632,1101,3937,4,29,0,21,0,0,608830,536707,37.519365,127.05335
2018,9,8호선,석촌,0,0,3626,621,6893,4706,20590,9282,29707,22500,18129,18331,12543,12075,12201,10824,13418,11829,13889,13422,12364,13572,13484,14143,14508,16372,18429,18808,21155,27147,12179,22979,9048,13767,9369,12810,7452,10518,3114,7188,397,2179,9,129,0,0,0,0,263202,254522,37.505431,127.10697900000001
2018,9,2호선,사당,88,4,13727,3822,26559,30677,64281,52301,90531,75754,66633,60950,47711,48802,46397,57573,53499,58540,59673,59011,64639,57011,62015,65535,65047,84538,72723,115985,90284,166052,68492,135058,67387,80125,74762,75384,73215,75732,43806,50299,7425,15535,69,1068,0,22,0,0,1369778,1160893,37.47653,126.98168500000001
2018,9,2호선,사당,88,4,13727,3822,26559,30677,64281,52301,90531,75754,66633,60950,47711,48802,46397,57573,53499,58540,59673,59011,64639,57011,62015,65535,65047,84538,72723,115985,90284,166052,68492,135058,67387,80125,74762,75384,73215,75732,43806,50299,7425,15535,69,1068,0,22,0,0,1369778,1160893,37.47653,126.98168500000001
2018,9,2호선,사당,88,4,13727,3822,26559,30677,64281,52301,90531,75754,66633,60950,47711,48802,46397,57573,53499,58540,59673,59011,64639,57011,62015,65535,65047,84538,72723,115985,90284,166052,68492,135058,67387,80125,74762,75384,73215,75732,43806,50299,7425,15535,69,1068,0,22,0,0,1369778,1160893,37.47653,126.98168500000001
2018,9,2호선,사당,88,4,13727,3822,26559,30677,64281,52301,90531,75754,66633,60950,47711,48802,46397,57573,53499,58540,59673,59011,64639,57011,62015,65535,65047,84538,72723,115985,90284,166052,68492,135058,67387,80125,74762,75384,73215,75732,43806,50299,7425,15535,69,1068,0,22,0,0,1369778,1160893,37.47653,126.98168500000001
2018,9,4호선,사당,132,2,10708,1150,23529,16226,58299,27233,74821,40569,53748,33035,40317,26250,38154,31221,40241,33961,41932,31714,40444,29873,38417,34790,39776,44425,44540,61852,50169,91651,37301,71951,34575,40413,37847,37152,35622,34631,20068,24425,2490,8869,11,950,0,3,0,0,722346,765027,37.47653,126.98168500000001
2018,9,4호선,사당,132,2,10708,1150,23529,16226,58299,27233,74821,40569,53748,33035,40317,26250,38154,31221,40241,33961,41932,31714,40444,29873,38417,34790,39776,44425,44540,61852,50169,91651,37301,71951,34575,40413,37847,37152,35622,34631,20068,24425,2490,8869,11,950,0,3,0,0,722346,765027,37.47653,126.98168500000001
2018,9,4호선,사당,132,2,10708,1150,23529,16226,58299,27233,74821,40569,53748,33035,40317,26250,38154,31221,40241,33961,41932,31714,40444,29873,38417,34790,39776,44425,44540,61852,50169,91651,37301,71951,34575,40413,37847,37152,35622,34631,20068,24425,2490,8869,11,950,0,3,0,0,722346,765027,37.47653,126.98168500000001
2018,9,4호선,사당,132,2,10708,1150,23529,16226,58299,27233,74821,40569,53748,33035,40317,26250,38154,31221,40241,33961,41932,31714,40444,29873,38417,34790,39776,44425,44540,61852,50169,91651,37301,71951,34575,40413,37847,37152,35622,34631,20068,24425,2490,8869,11,950,0,3,0,0,722346,765027,37.47653,126.98168500000001
2018,9,경강선,신둔도예촌,0,0,470,58,1580,303,3585,1600,3586,3474,2568,2908,2241,1438,2002,1682,2572,1641,2451,1243,2349,1330,2444,1703,3110,1935,3984,2357,2991,2849,1456,2969,1011,2469,866,2434,439,1833,151,1724,0,0,0,0,0,0,0,0,35950,41874,37.317184999999995,127.40476000000001
2018,9,경강선,삼동,0,0,714,50,3170,749,10478,1537,12253,1941,6447,895,3461,765,2538,1015,2705,1096,2497,1380,1983,1996,1885,2080,2174,3133,2728,4541,2514,6573,1270,7173,830,4417,554,4192,366,3647,149,1718,4,51,0,0,0,0,0,0,48949,60738,37.409521999999996,127.20336
