year,month,line,station,04-05 (on),04-05 (off),05-06 (on),05-06 (off),06-07 (on),06-07 (off),07-08 (on),07-08 (off),08-09 (on),08-09 (off),09-10 (on),09-10 (off),10-11 (on),10-11 (off),11-12 (on),11-12 (off),12-13 (on),12-13 (off),13-14 (on),13-14 (off),14-15 (on),14-15 (off),15-16 (on),15-16 (off),16-17 (on),16-17 (off),17-18 (on),17-18 (off),18-19 (on),18-19 (off),19-20 (on),19-20 (off),20-21 (on),20-21 (off),21-22 (on),21-22 (off),22-23 (on),22-23 (off),23-24 (on),23-24 (off),00-01 (on),00-01 (off),01-02 (on),01-02 (off),02-03 (on),02-03 (off),03-04 (on),03-04 (off),total(on),total(off)
2018,12,2호선,신림,338,16,41280,5544,77878,23573,224885,37610,331476,66850,203338,60969,118115,56458,104581,66167,110411,73675,107913,83706,100432,88703,98150,106476,106425,127765,116500,168419,119308,255208,83182,260154,67357,166817,66470,163533,61987,163993,36428,121570,6401,39744,163,2100,2,31,0,0,2139081,2184700
2018,12,분당선,보정,38,1,1067,123,3291,1390,9514,2222,11463,7030,8093,2697,7077,1674,5963,2013,4803,2486,4645,2875,4016,3019,4576,4698,4555,5286,5786,5863,4278,6628,2133,6045,1572,4548,1624,4404,1222,4234,500,3251,54,822,0,0,0,0,0,0,71309,88250
2018,12,9호선,신논현,38,0,6923,1563,15069,15235,32382,41783,41982,95018,31654,86536,28177,52604,33668,48434,40485,51521,46648,54874,50651,53062,56892,55545,66213,58945,83670,77321,112837,116355,81362,92146,64426,42084,76579,36748,81744,31366,48538,21325,8973,6278,85,636,3,70,0,0,1039449,1010979
2018,12,경춘선,평내호평,462,4,4757,1017,8570,2501,26341,4073,21016,9191,12763,6443,10677,5626,9265,5718,10221,7335,8497,7226,8399,9441,8788,9171,8780,10143,9937,16984,9708,16651,5557,20544,4782,11739,4433,10564,4562,8549,1799,7979,44,3001,0,0,0,0,0,0,173900,180914
2018,12,3호선,잠원,6,0,1571,691,5562,5734,16312,8059,25606,11072,16755,8271,12032,6518,12150,6734,11667,8517,11302,9452,10367,9625,11202,10247,12939,11421,15351,14834,13061,18956,8112,15692,5080,10859,4980,11287,3876,12260,1192,7966,208,2460,16,42,0,2,0,0,190699,201359
2018,12,4호선,서울역,214,3,4533,900,6700,13926,12098,35109,18382,97256,16159,54914,15850,32260,18763,33700,20054,37349,20519,38189,19111,39532,22157,43220,25004,47516,39566,51382,74638,52285,30386,40938,20502,31093,19429,29284,16002,26771,8235,16611,1079,5986,28,642,0,33,0,0,728899,411213
2018,12,7호선,어린이대공원(세종대),11,0,3674,1219,7014,9483,16623,13836,31976,51452,22716,36188,14950,36322,18943,28532,19987,27291,23699,30936,25365,25641,28780,22464,36068,23641,45836,26280,42834,31454,25333,25304,23745,16120,26998,14996,23857,15912,13831,11671,2378,3915,19,144,0,0,0,0,452801,456644
2018,12,9호선,선유도,1,0,2209,1150,4746,4506,17093,9629,18846,34430,10241,14701,8333,7454,8592,7068,9823,6571,9530,7609,8941,7898,9668,7968,11621,10159,17805,11241,32449,17227,11961,14859,7387,9481,7017,8479,5163,9076,2476,6495,457,2073,16,201,0,3,0,0,198278,206392
2018,12,경의선,곡산,0,0,213,179,739,392,1392,1067,1496,2186,1073,671,749,588,707,644,715,724,779,649,913,784,1092,749,945,841,1430,832,1641,1437,608,1018,448,717,397,683,298,670,84,422,6,156,0,0,0,0,0,0,15409,17743
2018,12,2호선,교대(법원.검찰청),14,0,2798,6652,13826,24124,26416,46709,42404,148744,35174,144011,34452,77850,42971,75030,45353,68307,57496,71557,66997,67269,71826,63433,73132,64972,99962,82314,150234,102970,77909,64630,64352,35998,73352,33145,64153,31146,32244,18680,6462,6404,82,272,3,47,0,0,1234264,1083616
2018,12,경부선,신길,544,4,12019,2163,10821,6217,23940,14368,35325,29897,22426,11460,15156,8307,13938,8373,15325,8772,14382,9269,12633,9678,13713,11456,16960,13958,20078,18545,32204,23731,13702,18830,9166,13419,9535,14421,6870,14357,3079,9642,221,2977,23,141,0,2,0,0,249987,303534
2018,12,2호선,서울대입구(관악구청),4183,24,29393,3069,43829,17474,132593,31480,192994,69984,130398,72421,81240,61727,77326,58765,82156,66483,88031,75005,82439,75078,87163,83170,96255,93296,107437,117233,114386,170273,74295,167006,60190,103465,61387,102269,59797,105569,33180,76359,5399,27648,121,3962,2,400,0,0,1582160,1642029
2018,12,분당선,기흥,143,0,4777,889,11505,4394,34028,8949,38419,20347,23269,12191,17406,8733,16708,11170,16271,10700,16155,12646,15793,13598,16071,14576,19316,16540,21580,22240,20728,32079,12652,32110,9826,22556,9273,19406,8333,18452,3368,16260,365,3734,0,0,0,0,0,0,301570,317861
2018,12,5호선,목동,3,0,6814,1467,19523,6988,62253,11447,78215,29696,39121,23932,29973,18435,29298,18404,29417,20835,28035,25206,26123,27762,26810,30790,30372,36498,33495,45208,35163,77886,20478,65659,15996,38920,15605,37351,15825,35876,6779,24619,1016,7943,35,166,0,0,0,0,585088,552364
2018,12,7호선,청담,50,0,3333,3439,7321,21732,11819,55231,17833,159875,15502,104808,15590,43046,19956,31969,22243,27810,23680,30053,27188,27432,36528,24844,41427,25734,58023,28683,105765,31679,64559,21487,38194,13237,37773,12896,33309,10501,11244,6440,1578,4478,38,35,0,15,0,0,685424,594921
2018,12,8호선,석촌,0,0,3498,605,5961,3867,17858,8336,29351,23475,17307,18752,12337,14076,12288,12435,13768,13924,14365,15539,12960,16420,14274,16486,15285,19348,18519,21253,21588,31924,12437,25186,9552,16086,9746,15999,8590,14312,3732,9917,638,3222,26,264,0,0,0,0,301426,256098
2018,12,6호선,월드컵경기장(성산),0,0,987,1157,2552,2342,8154,5060,11339,11536,6629,9528,6235,9823,7588,11521,8732,13694,10640,17235,12654,14478,14621,14244,18745,12375,16400,11967,15895,14318,8655,12175,7429,6868,7031,6078,6996,5036,2339,3536,530,997,12,59,0,6,0,0,184033,176181
2018,12,2호선,사당,103,10,15271,3584,25085,28975,71609,49036,102099,73416,76475,62343,54451,52870,53529,67795,60620,69882,68891,64223,76783,64909,76125,77270,78071,102969,86500,140027,105339,198676,81128,156231,78259,85935,94494,82877,100179,83655,62884,58558,11176,20176,276,2140,7,100,0,0,1545657,1381269
2018,12,경강선,신둔도예촌,1,0,396,33,1490,311,3756,1618,3606,3052,2794,1676,2423,1014,2082,1218,2199,1297,1935,1099,1842,1224,2007,1604,2405,1868,3919,2626,2637,2798,1074,3105,763,2244,662,2398,336,1911,142,1826,0,1,0,0,0,0,0,0,32923,38486
2018,12,경강선,삼동,0,0,671,120,3083,879,10298,1740,13120,2067,7411,989,4144,752,3048,1203,3107,1165,2653,1344,2138,2051,2066,2359,2213,3487,3409,4640,2564,6791,1292,7572,766,4652,677,4547,431,4002,159,2292,5,46,0,0,0,0,0,0,52698,65273
2018,12,7호선,가산디지털단지,713,5,8047,4613,9866,19962,19481,87015,23832,383515,19932,200900,19569,59277,25145,45200,31854,42845,39617,44385,44704,42912,56407,40185,71703,39127,146116,39551,307695,40123,144188,30860,81446,16327,80669,13775,41521,12717,19465,8951,2445,3280,16,61,2,15,0,0,1175601,1195738
2018,12,경강선,경기광주,0,0,1557,196,10689,1624,29217,4160,36068,8444,20220,4301,14031,3795,11957,4670,11507,5445,10927,6671,8920,7683,8516,10147,9806,13141,10721,17911,9241,26816,4976,25474,3144,18302,2672,15365,1723,11039,714,9083,1,65,0,0,0,0,0,0,194332,208625
2018,12,3호선,녹번,32,3,7605,1697,17948,10164,52450,7573,64365,17647,38926,11918,25761,10392,23204,10897,22434,11524,21609,13467,19266,15112,18751,18562,22236,22482,25259,27767,21748,39643,10478,40995,7311,26106,6532,25510,5300,25395,2334,17016,354,5087,6,112,0,0,0,0,359069,415895
2018,12,4호선,총신대입구(이수),64,2,6587,1065,16850,9824,47214,18541,68328,47480,45478,38325,34763,30042,35967,30592,36704,34403,38473,37471,37850,40441,38418,45358,39523,53380,43562,63922,50359,90185,32861,67961,28930,38410,28527,36588,25709,33455,14644,22705,2188,6169,55,339,0,0,0,0,746658,675008
2018,12,9호선2~3단계,석촌,5,0,1758,211,5027,1172,12328,1908,14407,4076,9994,4009,7647,3904,7466,3979,8047,4524,8140,5232,7840,5037,7993,6000,9308,6292,10505,7686,10081,11368,6552,9979,5037,5985,5063,6649,4606,6646,2457,4377,490,1362,5,44,0,9,0,0,100449,146769
2018,12,분당선,구룡,2,0,416,395,1120,3145,2814,7959,3852,4618,3750,3059,3775,1588,3647,1659,3389,1676,2839,2185,2671,2057,3157,2518,7401,2457,5459,2836,3461,3117,1926,3000,932,1868,940,1957,546,1932,193,1820,21,211,0,0,0,0,0,0,50057,54327
2018,12,안산선,오이도,99,0,6369,124,15408,9108,34978,15382,30331,17921,20825,8479,17689,8866,16174,10948,17260,11761,17286,13643,14341,13407,15838,16311,18638,18062,24088,22570,21786,29473,13437,25522,9665,19630,8420,18313,6426,17436,2276,13266,162,6122,2,775,0,0,0,0,297119,313417
2018,12,6호선,고려대(종암),32,0,3146,959,6694,6630,20904,11080,28922,32938,17342,15923,13273,17180,13224,12847,14957,13366,17134,15038,14779,12976,17180,13704,22625,14945,27896,18143,26092,23789,14438,22294,10964,14054,12831,14115,11662,14825,7060,12541,940,3403,24,202,0,26,0,0,290978,304105
2018,12,경인선,백운,90,2,8001,1851,15163,3496,33053,5871,33329,14965,21568,10052,17597,7826,16579,8653,16379,10697,15334,11895,13944,12534,12981,14831,14020,17684,14940,21803,13826,28456,7586,27589,6235,18264,6986,17429,4930,15281,2609,12774,266,3927,0,9,0,0,0,0,265889,277344
2018,12,경원선,지행,19,1,4805,230,10951,2829,21691,5538,26822,12129,18455,7868,13156,6943,13977,7673,14306,8508,13148,10923,11180,10391,11401,13018,13104,14914,12542,21953,14075,21920,8067,22868,6825,17320,6119,11288,5278,12909,2611,11454,147,3378,0,0,0,0,0,0,224055,230678
2018,12,9호선,신목동,0,0,1941,362,5287,1509,17267,3119,17233,5033,9375,3163,7110,2887,6432,3190,6246,3618,6044,4665,5328,5181,5399,5302,6702,6511,7594,8181,7379,11662,3511,11403,2688,7211,2345,6968,2076,7927,991,6087,217,2015,25,181,0,5,0,0,106180,123208
2018,12,7호선,천왕,22,0,6008,931,11948,5025,36337,7169,44338,13383,24899,7658,16532,6668,14261,7249,14220,9565,13548,10508,12362,11343,12510,13529,15251,15668,14470,19001,13387,29748,8267,29171,5429,17995,4673,16506,3455,15708,1681,11583,290,3684,4,144,0,18,0,0,252254,275888
2018,12,9호선,양천향교,2,0,4279,1077,9127,7873,25173,8408,26629,26403,16483,12723,12571,8149,12997,8033,13874,9376,14036,9989,12990,11419,14015,12304,17480,12900,19890,16526,24018,22223,10830,23981,7131,15862,6428,15949,4956,16983,2452,11795,528,4116,14,173,0,11,0,0,256273,257919
2018,12,경의선,김포공항,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,3,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2029
2018,12,9호선2~3단계,중앙보훈병원,28,7,1233,94,4485,2890,16142,5750,16126,8489,10576,7316,10203,8625,10865,7650,11271,7624,9340,9202,11407,10130,12239,8899,12092,9032,13539,9222,8343,13887,4660,12081,3604,7695,3053,7978,2194,8346,889,5951,148,1769,1,226,0,3,0,0,152866,164428
2018,12,4호선,동대문역사문화공원,380,2,11619,1661,6951,11786,8748,27984,12799,79988,16788,46618,19892,38240,23054,36190,27792,36622,31145,39708,38882,38873,48474,36406,55291,34281,72067,36788,99793,40321,63521,49914,50059,30830,49521,22133,46444,18436,28953,12550,4582,3822,84,169,0,0,0,0,643322,718477
2018,12,우이신설선,삼양,1,0,980,229,2207,949,6104,1230,8114,3021,5464,2711,4182,2748,3746,2644,4157,2955,3955,3421,3600,3838,3126,4518,3525,5102,3346,5182,2958,7154,2026,6490,1425,4154,1090,3552,827,3142,359,1987,77,614,16,22,0,0,0,0,65663,63302
2018,12,우이신설선,가오리,9,1,2195,427,5231,1161,15868,2140,17339,4242,11508,3685,9094,3867,7871,4402,7501,5411,7568,5470,6381,6506,6048,7860,6148,9454,6179,9804,5140,12629,3276,13278,2159,8546,1653,7193,1199,6784,618,4693,146,1334,5,44,0,24,0,0,118955,125145
2018,12,9호선,당산,30,1,7057,1702,17057,7320,45874,14521,59174,38027,36915,22982,28765,16863,30163,18722,32289,20669,30899,22919,29001,24344,28181,27568,31369,31131,39255,42467,47721,60358,28991,52654,21292,36165,20994,36829,18942,37416,10747,25873,1914,7771,54,457,0,21,0,0,546780,568672
2018,12,5호선,고덕,1,0,3559,1319,11147,6963,32552,14632,31429,17259,18105,15201,16870,11110,17958,12420,21913,11537,17027,13784,16351,14900,19331,14682,22872,16891,22533,18529,17223,29382,9011,27387,7171,16436,6435,14704,5719,15121,2379,11204,297,3111,5,819,0,20,0,0,287411,301905
2018,12,경부선,오산,142,7,4644,1288,10616,9314,22209,17575,22036,21631,19640,14069,19791,11447,19242,12226,19864,13019,19330,14428,18871,15232,19855,18373,21754,21911,27575,25856,29507,24263,15302,29128,13472,17776,11076,17401,6948,15801,3126,9283,105,550,0,0,0,0,0,0,310578,326981
2018,12,7호선,태릉입구,119,1,5677,1272,7146,5432,20875,8772,26075,21462,17211,14345,13441,10779,13303,12547,15242,11000,15319,12039,15091,11738,16978,12318,18681,14650,21680,16231,22813,21770,13606,21239,9754,13814,8841,13536,7825,13699,3758,9703,690,4798,27,1616,0,14,0,0,252775,276051
