year,month,line,station,04-05 (on),04-05 (off),05-06 (on),05-06 (off),06-07 (on),06-07 (off),07-08 (on),07-08 (off),08-09 (on),08-09 (off),09-10 (on),09-10 (off),10-11 (on),10-11 (off),11-12 (on),11-12 (off),12-13 (on),12-13 (off),13-14 (on),13-14 (off),14-15 (on),14-15 (off),15-16 (on),15-16 (off),16-17 (on),16-17 (off),17-18 (on),17-18 (off),18-19 (on),18-19 (off),19-20 (on),19-20 (off),20-21 (on),20-21 (off),21-22 (on),21-22 (off),22-23 (on),22-23 (off),23-24 (on),23-24 (off),00-01 (on),00-01 (off),01-02 (on),01-02 (off),02-03 (on),02-03 (off),03-04 (on),03-04 (off),total(on),total(off)
2018,5,1호선,종로5가,62,3,2300,3931,3466,19048,5896,46000,10379,122741,15228,80128,23994,64708,36243,70456,48186,66835,59249,63707,68449,57405,72520,51464,73346,45265,84655,41058,117278,39026,74128,26012,50170,12574,42844,8747,31221,6174,12451,4089,914,1175,2,3,0,0,0,0,830549,834937
2018,5,1호선,동대문,704,9,16787,2688,13517,9714,20574,17069,27715,34492,25722,34798,23610,35207,24458,40670,31036,40002,32980,39691,35451,37848,35327,35702,35353,32301,36028,32048,35713,32518,25944,33961,20807,26760,19229,20783,17339,18276,9650,14895,1091,5122,1,44,0,0,0,0,544598,490350
2018,5,1호선,신설동,263,18,9717,2608,11693,8841,22949,31171,31356,75325,24259,44871,22711,27708,24579,25421,27010,23799,28855,25789,28719,23489,30343,24725,34385,24210,43629,29834,68114,31143,32800,26676,21614,17960,19707,17401,15269,17278,6911,12459,656,3292,0,1,0,1,0,0,494020,507294
2018,5,1호선,제기동,498,6,5503,2588,10658,10078,24597,21040,34444,53050,27359,45157,29962,45878,38732,56833,45906,63691,51231,66445,56902,59822,65069,51557,65057,40800,58185,34296,54588,31659,31145,25441,18578,15574,14198,13813,9913,13000,4519,9509,331,2121,0,0,0,0,0,0,662358,648895
2018,5,1호선,청량리(서울시립대입구),1286,41,13495,4253,20245,15659,49455,25554,67729,47844,48598,48486,41181,45272,45550,53608,50626,58825,53169,66865,56378,66402,63231,61963,69932,58567,68305,59955,61057,72094,41579,57333,34861,36162,27272,32623,19293,32160,9389,22817,610,7153,0,2,0,0,0,0,873638,843973
2018,5,1호선,동묘앞,107,3,3661,954,4292,3934,7601,12658,10330,30576,10370,20621,11738,22274,17450,29398,22696,32765,29095,37071,34641,35988,36680,30534,37482,23656,34909,19760,32238,14398,18318,10118,10143,6994,7575,7254,5372,7597,2752,5331,311,3666,3,286,0,0,0,0,355836,339675
2018,5,2호선,시청,102,0,1287,1935,2671,19658,5972,73547,9079,225925,12781,88100,17975,32967,25536,31008,26145,28833,32516,34950,37628,30375,43856,25853,47553,24219,74970,25593,175305,26842,79154,16559,53485,9236,50651,8258,33977,8040,14445,5523,2107,1899,3,123,0,0,0,0,719443,749114
2018,5,2호선,을지로입구,103,2,3240,4351,3814,39323,9507,133054,17243,320569,24253,159577,31030,93640,42093,98882,49940,76894,65640,80134,76075,71962,89943,68423,104929,67138,137442,70725,285853,77874,165143,51004,151809,29409,127604,23675,89802,20518,44257,13705,5343,4882,7,1260,0,0,0,0,1507001,1526985
2018,5,2호선,을지로3가,9,2,1229,1823,2906,17832,5755,68649,11659,151220,16185,82071,19741,39707,23445,32997,24429,27303,29717,29748,34700,27325,37766,24695,41004,24501,62412,25326,130764,28205,70308,19299,43983,10568,43581,9434,33684,9186,17413,6438,3025,2004,3,84,0,0,0,0,638417,655727
2018,5,2호선,을지로4가,12,1,1029,1204,1894,13962,3517,25133,6643,76167,10362,44169,13289,27852,16366,27609,20021,26060,23156,23700,26271,22570,28814,20549,32097,17868,44262,16532,70633,14433,41946,9647,20140,5869,15304,5280,10709,5428,5149,3945,877,1194,1,30,0,0,0,0,389202,394498
2018,5,2호선,동대문역사문화공원,401,12,13189,1316,7511,11358,9545,29847,14512,65679,17051,44645,18958,41743,22356,39723,26602,40523,30313,45750,36000,43106,44099,39406,53197,37017,59451,38967,66470,43808,49186,52263,38006,38257,36079,28983,33319,23258,22139,15213,3467,5755,4,82,0,0,0,0,686711,603472
2018,5,2호선,신당,108,0,7314,1495,13901,11449,31529,20241,46488,46288,29967,28785,23087,21379,22861,22292,25096,22897,26932,24514,26340,26274,26492,27749,29748,30085,34309,35834,42117,47458,28823,38940,21688,24835,19377,23442,14780,23362,7815,16351,1312,5312,0,33,0,1,0,0,499016,481994
2018,5,2호선,상왕십리,28,3,6287,1160,15153,5553,41927,12077,66171,43301,35230,21534,24696,15326,22493,13380,22774,15016,23090,17572,19950,18040,19863,20834,21539,24785,25214,30233,32726,45242,23863,39394,15378,26537,13792,25095,10155,25973,4625,17564,657,6091,0,25,2,1,0,0,424736,447603
2018,5,2호선,왕십리(성동구청),803,5,9267,1457,12492,7902,32660,16138,53419,33606,35329,25224,26054,18901,24928,19782,29781,22029,31420,23937,31255,22964,31997,25669,39525,29020,48294,38763,52738,61659,37086,49959,33891,30969,37812,26863,38895,28686,27595,21092,5117,8547,2,62,0,0,0,0,513234,641575
2018,5,2호선,한양대,18,3,2214,543,3636,6776,6502,18552,9862,79312,7625,80348,9194,63486,12804,24914,18997,36318,19334,28922,24690,23781,31277,16982,48450,16336,58420,21168,45102,29409,25798,19041,23671,11723,30837,9386,24453,8640,19757,6095,5080,2182,2,10,0,1,0,0,503928,429723
2018,5,2호선,뚝섬,25,1,4553,1834,10612,15651,27021,30174,36396,116178,23464,57982,18736,25944,19749,21473,21510,23710,23224,25434,23845,24135,26885,25844,31785,26984,42108,31128,95870,45766,49595,33361,28342,20464,29476,17941,20657,18249,8731,11947,1300,4317,3,106,0,0,0,0,578623,545880
2018,5,2호선,성수,40,0,6250,4056,12247,31724,28492,68850,37536,250253,29194,89301,25494,39574,26444,32463,29206,31367,33586,36177,36978,34969,40643,36812,47550,37165,72322,41302,173703,49198,90672,39158,48339,24459,45135,20761,34592,20015,15409,14023,2158,9256,6,1461,0,1,0,0,912345,837974
