year,month,line,station,04-05 (on),04-05 (off),05-06 (on),05-06 (off),06-07 (on),06-07 (off),07-08 (on),07-08 (off),08-09 (on),08-09 (off),09-10 (on),09-10 (off),10-11 (on),10-11 (off),11-12 (on),11-12 (off),12-13 (on),12-13 (off),13-14 (on),13-14 (off),14-15 (on),14-15 (off),15-16 (on),15-16 (off),16-17 (on),16-17 (off),17-18 (on),17-18 (off),18-19 (on),18-19 (off),19-20 (on),19-20 (off),20-21 (on),20-21 (off),21-22 (on),21-22 (off),22-23 (on),22-23 (off),23-24 (on),23-24 (off),00-01 (on),00-01 (off),01-02 (on),01-02 (off),02-03 (on),02-03 (off),03-04 (on),03-04 (off),total(on),total(off)
2018,11,경의선,검암,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024
2018,11,경인선,인천,307,3,1441,816,3333,3440,6568,7556,6355,10116,4390,6218,3918,7106,5494,10215,7232,9957,8753,9558,10829,8397,11965,6433,14639,5433,15677,4702,14906,4396,6959,3254,5015,2344,3693,2151,1994,1712,763,1309,7,1403,0,9,0,1,0,0,106529,135949
2018,11,9호선,구반포,1,1,580,181,1810,2037,5157,3904,6749,7493,5031,5865,4075,5605,4720,5843,5120,5906,6370,6824,6371,5957,6611,5838,6725,7415,7788,7692,9487,9860,5819,8403,4484,4345,4797,3608,4361,3699,1302,2184,151,719,2,39,0,0,0,0,103418,99528
2018,11,분당선,신갈,48,1,2776,343,7487,1580,20556,2385,23326,6860,14548,4301,9794,4278,8736,4559,8268,5130,7551,5917,6852,7424,7077,8137,7628,8256,7614,12734,6431,17293,3507,15721,2367,11533,1976,9436,1584,9202,673,7129,73,1520,0,0,0,0,0,0,143739,150842
2018,11,경의선,월롱,20,0,487,20,1075,5371,2523,11114,2896,15855,2548,7783,2335,4584,2629,2327,4185,4172,4047,2865,3491,2075,6225,2065,8905,2678,13084,3165,18303,3544,6173,3509,4578,3064,2817,3331,1311,2982,288,2703,11,1172,0,1,0,0,0,0,84380,89929
2018,11,8호선,가락시장,20,1,2633,2122,4705,6018,10034,12583,14471,41298,11962,20615,10448,13097,11659,12648,11947,12366,12441,13014,13226,12651,14808,13538,15244,14791,18450,18499,29655,26064,14410,19046,11714,12200,12962,10015,11263,9162,5327,5617,887,2478,5,598,0,0,0,0,278421,240269
2018,11,경의선,가좌,2,0,2652,199,7051,3365,21401,3742,25997,8824,13118,9026,9133,7145,8380,5884,10014,7495,8241,8086,7471,8555,8028,8792,10476,11091,10507,12870,10026,16337,5933,15680,4206,8928,3688,7715,2907,5864,1159,5777,61,964,0,0,0,0,0,0,156339,172467
2018,11,경인선,제물포,888,5,7536,2272,15398,6223,44367,15988,39984,46357,21974,23792,16213,14227,16615,10654,18779,12789,18195,13518,16568,12567,22804,13181,31231,18419,30370,23758,29501,30730,14555,30010,10171,21257,8561,18361,6064,18134,2855,14444,105,4631,0,0,0,0,0,0,351317,373864
2018,11,3호선,녹번,35,4,8317,1789,19551,12763,59220,8208,70806,19039,40665,13738,25470,10409,22164,9470,21102,11048,19678,13110,17783,14006,16679,16895,21123,22480,25325,28231,22163,43296,10731,44668,7584,27197,6399,25354,4867,24594,2261,16420,298,4881,0,0,0,0,0,0,367600,424204
2018,11,안산선,수리산,17,0,3243,549,9249,1489,22946,3404,22575,7081,13000,4220,8575,4892,8307,3677,7628,3424,6706,4405,5497,4427,5293,5281,5655,6616,6009,8428,5974,12333,3416,11831,2436,7883,1770,7100,1239,6622,668,5046,213,1576,1,1,0,0,0,0,110285,142418
2018,11,수인선,신포,3,1,1073,107,1588,1215,3775,4189,3751,11103,2405,4514,2080,2938,2685,3343,3072,3346,3673,3694,3834,3547,4867,3822,5659,3921,6269,4579,8250,5777,3451,3218,2970,2101,2584,1825,1451,1505,775,811,3,357,0,0,0,0,0,0,65913,66233
2018,11,4호선,동대문,594,15,10749,2961,5566,14702,6758,41521,10111,93947,16382,85260,23006,71680,32309,63636,42021,55532,48709,58289,60308,53348,69796,46914,77613,37815,108006,32054,96736,28372,51172,34472,35235,25532,32263,17928,31069,11828,19469,10355,2531,2880,1,21,0,0,0,0,789062,781828
2018,11,4호선,명동,39,3,1848,1872,4339,18604,7332,59973,16361,147308,30365,113380,39343,80713,45587,85339,48138,94223,56841,93281,67702,86416,82406,90241,98972,91785,116109,105230,165728,97779,113744,70730,103479,44762,109751,32145,107131,20787,44582,13055,3149,4236,1,183,0,1,0,0,1352046,1264926
2018,11,경부선,의왕,22,0,6892,2589,12307,8668,31088,29834,34310,30985,17245,11040,12615,7992,12150,6920,12606,8329,12048,9512,10977,9552,11596,11146,15785,15073,30722,19348,27618,26315,13284,25027,10028,16461,7920,15770,5411,12909,2396,9887,118,2054,0,0,0,0,0,0,279411,289134
2018,11,경부선,성균관대,90,3,8231,2232,28172,7034,78647,11928,68599,37520,33747,22142,25097,18806,23397,15471,24124,15079,24600,19736,19801,19793,23203,21698,31017,27709,33664,39004,33501,59974,19780,61433,15773,39167,15434,33701,13185,32768,6457,21876,268,5665,1,1,0,0,0,0,512740,528716
2018,11,4호선,충무로,106,6,4122,3238,6262,20349,12209,59839,20262,223068,25029,133964,27915,81965,33265,65448,38399,56978,46152,57485,53012,51222,62003,44741,74353,43438,110542,48649,186933,53653,103534,36447,72016,20768,71688,19140,56648,18513,33001,13905,6660,4504,3,174,1,0,0,0,1057494,1046027
2018,11,과천선,정부과천청사,9,0,1559,2147,5812,12387,20219,23860,20415,85278,16889,28188,15427,18372,16119,17190,18562,14286,21176,16823,23951,16070,24226,14304,25438,14680,37934,18806,65700,25709,20261,23162,16260,11454,18661,9891,11749,8656,3847,5982,432,1724,0,0,0,0,0,0,368969,386655
2018,11,9호선,마곡나루,2,0,2938,610,8163,5709,23495,7621,23802,27475,12713,14686,9005,9722,9197,8185,10433,9121,11394,9758,11242,9468,12960,10227,14561,10719,21831,13502,27398,23614,13061,23644,9848,14659,9732,12800,8057,13025,4143,9339,661,4024,1,178,0,0,0,0,238086,246653
2018,11,경강선,여주,2,0,1340,6,2421,506,5742,2413,5130,5259,4322,8225,3812,3449,4211,4532,4596,4441,4538,3782,5446,3589,6417,3590,8309,5058,6560,4715,4805,4929,3183,6376,2152,4638,1298,2666,965,2789,216,2727,1,1116,0,0,0,0,0,0,74806,77482
2018,11,공항철도 1호선,청라국제도시,200,0,3976,150,15633,3994,31667,7919,18561,19300,11739,5863,8845,3344,8385,3100,8051,3936,7071,4940,6115,5074,6372,6519,8405,8795,13542,11314,19809,18040,6046,23011,4342,13900,3217,12506,2509,12820,963,9024,122,2542,0,0,0,0,0,0,176091,187388
2018,11,분당선,수원시청,321,2,5423,1255,10259,5407,24723,14060,27763,43605,15356,34261,13034,16785,13943,19619,17385,18087,18201,20721,18739,19421,21120,18852,27488,20782,29344,31823,39629,43817,23529,43324,22770,24492,21320,20136,19229,14954,8077,12966,610,2934,0,1,0,0,0,0,427304,379960
2018,11,3호선,불광,59,2,10973,1336,22596,8791,65805,12252,80160,37061,44786,39555,31840,31440,28914,28260,29565,30043,32866,36813,31437,35159,32847,37835,37030,43354,38335,50763,40482,73328,23110,65535,18113,37954,17487,33317,13822,31520,5765,20643,1004,6881,1,0,0,0,0,0,661842,608956
2018,11,경의선,운정,30,0,3226,363,15568,3160,31482,5878,28120,9772,14171,4869,11177,4252,8895,4585,9131,5540,7917,6053,6756,6883,7445,8706,9117,11280,10127,15892,9731,20801,4871,21840,3745,11634,2919,12199,2499,10770,695,6753,120,3195,0,0,0,0,0,0,174425,189730
2018,11,9호선2단계,언주,10,0,1316,588,2520,5354,5808,12006,9337,42895,8649,41994,9114,17480,10525,13055,12145,10695,12240,13147,13801,11956,14929,10526,18051,11819,28032,11983,48945,16077,25102,13484,14227,7912,13720,6499,9734,6047,4013,4004,631,1352,2,25,0,0,0,0,258898,264859
2018,11,2호선,강변(동서울터미널),43,2,10363,3770,32607,33742,104830,41548,156233,63950,115556,57784,90311,56407,86591,55568,82121,63270,80602,75204,76512,81126,76618,93777,80147,104767,89923,120471,100036,166450,83187,132534,67590,85474,59125,78220,42033,71396,16408,40255,2449,10449,10,416,0,0,0,0,1436580,1455270
2018,11,경부선,두정,785,3,3734,1013,8180,2524,15067,8696,13564,23205,10697,21953,9074,15576,9367,13085,11747,11595,9387,8441,11203,10382,12298,8578,16379,11900,17624,14232,19620,17448,11458,13438,8217,12756,7702,10324,5801,8497,2374,6498,227,2554,0,0,0,0,0,0,222698,205738
2018,11,경인선,중동,777,5,11092,1708,18695,4315,50001,6697,42635,17575,24898,11151,17947,8720,15980,9567,16636,11355,15965,12353,13336,12170,13136,14843,14936,18692,15190,23731,15948,33871,9340,34675,7256,21139,6399,18777,4846,17307,1942,14011,238,3581,0,2,0,0,0,0,296245,318434
2018,11,경부선,독산,674,8,7824,3036,18300,15480,47531,39119,47119,106846,28658,42984,20644,17089,19015,13815,20705,13764,19810,15633,17234,17792,19648,18763,24828,23208,47574,29439,79892,43271,35043,43554,19679,25041,16716,23254,10926,22675,3865,14425,110,1084,0,0,0,0,0,0,530280,507139
2018,11,우이신설선,솔밭공원,24,1,1733,237,3582,1239,10096,1480,10070,3339,6733,2375,5063,2228,4342,2346,4301,2778,3842,3184,3653,3996,3912,4362,3928,5318,3571,5660,2854,7527,1856,7648,1282,4886,786,4156,643,3588,265,3089,47,949,0,18,0,0,0,0,70404,74577
2018,11,2호선,신답,5,1,1085,102,1956,632,7714,1149,11502,2251,4564,1210,2561,1471,2185,1434,2366,1568,2330,1764,2116,1966,1923,2710,2213,3739,2294,4219,2512,9382,1428,7856,824,3782,678,4127,616,3232,206,2444,31,752,0,5,0,0,0,0,55796,53122
2018,11,안산선,한대앞,161,2,6677,1004,16209,3918,33531,8552,29688,23808,18713,18068,14933,14203,14618,9923,16128,12170,14705,11523,13822,12264,15351,12806,18830,16608,22427,21769,20296,33439,11521,28362,9327,19691,9531,14772,7904,14975,3261,9695,663,4411,0,3,0,0,0,0,291966,300153
2018,11,경춘선,금곡,3,0,1420,342,2717,1026,6403,2018,6275,4809,3422,2650,3238,2061,2720,1618,2679,2092,2494,2000,2177,2283,2802,2118,2571,3516,3056,3652,3629,4556,1319,4695,841,1773,772,2437,605,1740,248,1418,11,399,0,0,0,0,0,0,47203,51417
2018,11,경원선,동두천중앙,12,0,2521,74,5971,2404,11804,5583,12989,12017,9372,6418,6677,5195,7749,6053,8014,5530,7946,5891,6579,5840,6383,6536,7400,6683,8652,9281,8943,8925,3378,8558,2511,6638,1768,4356,1244,5048,453,3785,8,1339,0,0,0,0,0,0,116154,122380
2018,11,경인선,도원,822,11,2800,1245,4410,1993,9028,8337,8526,35338,6227,6338,5555,5164,6433,4587,8499,4841,7356,5389,6507,5264,9066,6417,15760,7559,13774,8400,11306,8383,4584,6784,4472,4907,4140,4341,1508,3956,470,2996,52,1792,0,0,0,0,0,0,134042,132491
2018,11,경춘선,백양리,0,0,30,16,21,41,41,159,143,421,124,289,201,522,335,535,335,428,332,362,405,249,635,220,330,171,443,120,379,133,119,81,85,87,62,93,18,78,15,46,1,9,0,0,0,0,0,0,4060,6072
2018,11,장항선,배방,0,0,722,110,1408,797,3755,1229,3090,1848,2832,1345,1701,1144,1652,1698,1733,1044,1703,2121,1500,1162,1779,2506,1526,1500,2698,3436,2408,2791,1251,2353,1039,2304,973,1366,603,1286,414,1547,109,600,0,0,0,0,0,0,32187,34914
2018,11,5호선,강동,39,0,11581,1280,24447,15157,76026,26929,95604,40530,51731,27478,34811,20279,31298,19332,31583,21036,30465,23208,27436,23889,28725,26876,31279,32710,46596,40504,48247,57654,26766,53206,17514,33432,14477,31390,11177,32013,4790,21979,639,8846,0,0,0,0,0,0,557728,647210
2018,11,2호선,신설동,14,0,1117,687,1549,2553,3519,6021,5993,16858,5013,13192,5151,9497,6883,9201,8009,8946,9267,9182,10332,8345,11969,7787,12888,6705,15118,7017,19595,6829,7673,5089,4728,3603,4173,3018,2930,3179,1114,2399,187,793,1,139,0,0,0,0,131040,139227
2018,11,4호선,동대문역사문화공원,367,12,11900,1636,7389,13311,9259,30127,13818,86462,16774,48472,18213,37497,21399,34409,25350,33892,29330,37071,37384,34278,45478,31661,51332,30330,68398,33923,102825,39679,63146,52366,48102,31035,47852,22276,44996,17464,27671,12317,5001,3607,2,13,0,0,0,0,631838,697637
2018,11,경의선,서울역,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,2,0,1,0,3,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2032
2018,11,중앙선,중랑,57,6,6460,491,10139,2702,26484,4011,25581,7206,15149,5349,11373,5204,9307,5264,9907,6273,9469,6635,8096,8052,7790,10409,7901,12592,8080,15313,8999,22352,5833,21545,3681,12159,3635,9951,2687,10481,1441,6666,134,1393,0,0,0,0,0,0,174054,184164
2018,11,안산선,초지,196,0,1846,290,5718,5316,14178,9242,12000,16006,7596,15487,6122,9596,5952,5829,6700,6313,6385,7455,5496,4853,7765,4656,11362,5332,14285,7331,12284,10299,5479,9663,3584,6227,2732,4991,1719,4787,646,2961,83,1476,0,38,0,0,0,0,138148,133950
2018,11,2호선,신촌,108,2,12330,4029,17440,19067,42654,43747,63622,103973,48690,132960,46856,93985,58082,89246,72988,90234,81895,98778,79865,89384,94957,85575,111625,90328,135145,116925,140236,165276,104416,128842,103887,66777,117592,53112,125285,49072,68221,35589,12797,12419,28,419,0,0,0,0,1569739,1540629
2018,11,7호선,춘의,0,0,5607,1537,9756,5009,27164,28818,28548,56713,16222,17046,11413,8420,10092,6739,11230,7483,10769,8716,9886,8335,10314,9310,12403,11111,26339,14298,45873,21353,17662,22107,12061,13453,10527,12538,5067,11156,2469,7985,299,2737,0,0,0,0,0,0,274864,285719
2018,11,2호선,왕십리(성동구청),946,6,8408,1164,12258,6996,34309,15129,60934,33471,37668,26438,25950,19202,26632,19154,29451,21727,31826,23749,30649,22855,33746,25967,41069,30527,49044,42165,53638,69460,35946,51156,33621,29953,37836,26249,37896,27339,25654,19409,4611,8758,4,240,0,0,0,0,521114,653168
2018,11,경의선,금촌,39,2,4142,320,11412,4336,23590,11554,24649,18723,15464,11177,13208,9070,12754,8243,13356,10906,13282,10483,11742,10906,12154,12673,13891,15980,15605,19842,19312,21596,9932,20795,7108,11280,5950,11699,4528,9609,1262,7641,199,3663,0,0,0,0,0,0,230498,235558
2018,11,경춘선,별내,39,1,864,731,2429,2514,9802,4234,8893,8044,5320,4486,4411,3007,3757,3330,3827,3192,3711,2986,3499,3737,4341,4541,5998,4476,7149,6436,6193,7003,3370,8105,2912,4412,2857,2755,2545,2884,1157,1872,34,359,0,0,0,0,0,0,79105,85087
2018,11,경부선,수원,1913,19,22749,6769,42215,34678,87612,63904,97899,105194,65687,97448,57019,76452,60146,79769,66373,87493,71142,90572,72379,80693,87420,92118,108864,107542,125127,128348,123011,149083,103793,137752,100110,73895,82789,62360,74684,51827,29955,33245,985,10221,0,0,0,1,0,0,1569383,1481977
2018,11,2호선,용두(동대문구청),4,0,1091,196,1564,981,5073,2574,8508,6802,4360,3841,3741,3608,3983,3916,4234,3871,4470,4877,4894,4941,5290,5237,5716,4813,5803,5376,6751,7608,3148,6038,2136,3336,1855,2961,1278,2866,544,1947,82,625,0,14,1,0,0,0,76428,76540
2018,11,3호선,을지로3가,8,0,675,1121,1433,8231,2615,31681,4864,87110,8165,45100,10095,22004,11862,18216,11794,16259,14957,18010,17442,15385,19033,15482,21697,15394,35323,16428,72590,19202,36501,11406,22057,5514,20767,4029,15328,3271,8144,2428,1502,752,0,7,0,0,0,0,357030,338862
2018,11,8호선,송파,3,0,2023,1079,4679,9138,11796,15728,18503,24065,11311,11052,8017,7846,7229,6187,9826,7052,9381,8121,8816,8500,10476,7916,19016,9285,18303,10440,17662,14374,7664,11300,4907,6870,4205,6849,3561,5608,1343,4107,183,1019,0,76,0,0,0,0,176612,180919
2018,11,5호선,종로3가,31,0,1735,366,2505,6151,4215,13938,6702,47275,7297,43256,9138,33539,13140,36667,18787,37656,24546,38124,29193,34225,34661,29879,41863,29164,49157,30633,66189,38194,43776,22606,36370,10604,39883,7791,36510,6491,16581,4539,2409,1757,2,17,0,0,0,0,472872,486677
