year,month,line,station,04-05 (on),04-05 (off),05-06 (on),05-06 (off),06-07 (on),06-07 (off),07-08 (on),07-08 (off),08-09 (on),08-09 (off),09-10 (on),09-10 (off),10-11 (on),10-11 (off),11-12 (on),11-12 (off),12-13 (on),12-13 (off),13-14 (on),13-14 (off),14-15 (on),14-15 (off),15-16 (on),15-16 (off),16-17 (on),16-17 (off),17-18 (on),17-18 (off),18-19 (on),18-19 (off),19-20 (on),19-20 (off),20-21 (on),20-21 (off),21-22 (on),21-22 (off),22-23 (on),22-23 (off),23-24 (on),23-24 (off),00-01 (on),00-01 (off),01-02 (on),01-02 (off),02-03 (on),02-03 (off),03-04 (on),03-04 (off),total(on),total(off)
2018,7,1호선,종로3가,161,7,6103,3159,4748,14634,6768,34616,11537,94249,16512,108254,27388,86516,45586,86500,56950,83499,69514,86802,70347,74026,78379,60997,88548,52714,98205,51024,126645,58448,92420,37281,67443,15542,76618,11102,62249,8742,27156,6121,3039,2563,1,33,0,0,0,0,976829,1038174
2018,7,1호선,종로5가,47,1,2250,3888,3379,18140,5737,46305,10293,124219,15059,75291,23789,61684,33633,60259,43344,56318,51698,50946,57036,46644,60829,41312,62395,38399,77343,35975,116275,35799,66301,22673,42702,11301,34799,8197,27014,5668,9755,3605,703,1026,1,9,0,0,0,0,747659,746353
2018,7,1호선,동대문,586,5,16278,2389,12445,9136,19353,16557,26600,32896,24972,32949,22424,32602,23739,36284,29079,35638,30700,34420,30802,31650,30231,30391,31064,28706,33169,30180,33935,31365,23787,32149,19405,25343,17233,19526,15193,16843,8294,14952,952,4595,0,46,0,0,0,0,498622,451673
2018,7,경의선,계양,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025
2018,7,1호선,신설동,244,26,9783,2750,11044,10280,22005,32105,30543,76978,23089,42889,21290,25661,23206,22856,25458,21608,26101,23255,25208,21585,28038,21971,32591,22050,42216,28688,69495,31684,31881,25580,21279,16902,20455,16457,14291,16322,6032,11529,612,3006,0,5,0,0,0,0,474187,486635
2018,7,1호선,제기동,386,7,5526,2488,10349,10095,25410,22392,35895,55702,27927,46083,30400,44474,36738,50370,40212,55773,43735,56986,46395,49404,54003,42481,58299,37219,56436,34666,56899,32529,31145,25171,19328,14723,13809,13241,8857,12086,3976,8474,287,1953,0,1,0,0,0,0,616318,607644
2018,7,중앙선,신원,0,0,130,2,291,168,595,440,531,656,459,378,419,367,396,336,392,261,392,257,426,225,507,271,488,350,532,368,611,373,313,349,223,253,116,264,43,201,21,137,4,84,0,0,0,0,0,0,5740,8907
2018,7,1호선,청량리(서울시립대입구),1391,47,12788,3999,19461,13742,49420,24824,67126,45912,45203,42976,38666,42109,41811,50100,47135,54973,47130,60039,48125,58739,54034,53940,61274,52645,65044,57208,59909,69031,39026,55310,32671,33042,23136,29416,15651,30128,7286,20126,554,6416,2,0,0,1,0,0,804723,777470
2018,7,1호선,동묘앞,118,6,3327,1008,3995,4400,7399,11870,10461,28160,9671,19906,11927,19791,16855,24396,21378,26079,25289,27837,27274,26656,28069,23692,29012,20932,29404,18665,28505,14597,16315,9685,9059,6748,7998,6581,4857,6900,2565,4941,278,3090,2,258,1,1,0,0,306199,295659
2018,7,2호선,시청,36,0,1238,2068,2452,18500,6108,75925,9378,245857,12618,88938,18392,30516,26772,28781,26762,28413,31878,32072,35583,28775,41723,25637,45373,23426,76620,24528,196584,26898,78762,16186,50793,8988,48324,8260,33090,7780,13346,5313,2024,1606,3,85,1,1,0,0,728553,759842
