year,month,line,station,04-05 (on),04-05 (off),05-06 (on),05-06 (off),06-07 (on),06-07 (off),07-08 (on),07-08 (off),08-09 (on),08-09 (off),09-10 (on),09-10 (off),10-11 (on),10-11 (off),11-12 (on),11-12 (off),12-13 (on),12-13 (off),13-14 (on),13-14 (off),14-15 (on),14-15 (off),15-16 (on),15-16 (off),16-17 (on),16-17 (off),17-18 (on),17-18 (off),18-19 (on),18-19 (off),19-20 (on),19-20 (off),20-21 (on),20-21 (off),21-22 (on),21-22 (off),22-23 (on),22-23 (off),23-24 (on),23-24 (off),00-01 (on),00-01 (off),01-02 (on),01-02 (off),02-03 (on),02-03 (off),03-04 (on),03-04 (off),Total(on),Total(off),X(WGS),Y(WGS)
2015,12,1호선,시청,65,1,2313,4420,3757,21402,7674,79784,9872,189350,12645,86696,18573,48967,26135,48739,27985,44828,34573,47374,42827,50295,52103,44867,61893,40678,81671,44356,151474,47519,92405,29966,74979,15038,78634,11783,60441,9379,24305,5679,3598,1775,284,93,3,8,0,0,872997,870159,37.564718,126.977108
2015,12,1호선,시청,65,1,2313,4420,3757,21402,7674,79784,9872,189350,12645,86696,18573,48967,26135,48739,27985,44828,34573,47374,42827,50295,52103,44867,61893,40678,81671,44356,151474,47519,92405,29966,74979,15038,78634,11783,60441,9379,24305,5679,3598,1775,284,93,3,8,0,0,872997,870159,37.564718,126.977108
2015,12,1호선,시청,65,1,2313,4420,3757,21402,7674,79784,9872,189350,12645,86696,18573,48967,26135,48739,27985,44828,34573,47374,42827,50295,52103,44867,61893,40678,81671,44356,151474,47519,92405,29966,74979,15038,78634,11783,60441,9379,24305,5679,3598,1775,284,93,3,8,0,0,872997,870159,37.564718,126.977108
2015,12,1호선,시청,65,1,2313,4420,3757,21402,7674,79784,9872,189350,12645,86696,18573,48967,26135,48739,27985,44828,34573,47374,42827,50295,52103,44867,61893,40678,81671,44356,151474,47519,92405,29966,74979,15038,78634,11783,60441,9379,24305,5679,3598,1775,284,93,3,8,0,0,872997,870159,37.564718,126.977108
2015,12,2호선,시청,33,5,1488,1818,2792,20934,5868,108066,9963,227706,12731,92529,18611,36797,28362,34557,28652,32426,34689,36393,40577,37834,46596,35427,53897,33439,87960,36684,183310,41644,100076,26770,67806,13364,69739,10553,50742,9130,23428,6021,4891,2262,326,209,1,21,0,0,844589,874520,37.564718,126.977108
2015,12,2호선,시청,33,5,1488,1818,2792,20934,5868,108066,9963,227706,12731,92529,18611,36797,28362,34557,28652,32426,34689,36393,40577,37834,46596,35427,53897,33439,87960,36684,183310,41644,100076,26770,67806,13364,69739,10553,50742,9130,23428,6021,4891,2262,326,209,1,21,0,0,844589,874520,37.564718,126.977108
2015,12,2호선,시청,33,5,1488,1818,2792,20934,5868,108066,9963,227706,12731,92529,18611,36797,28362,34557,28652,32426,34689,36393,40577,37834,46596,35427,53897,33439,87960,36684,183310,41644,100076,26770,67806,13364,69739,10553,50742,9130,23428,6021,4891,2262,326,209,1,21,0,0,844589,874520,37.564718,126.977108
2015,12,2호선,시청,33,5,1488,1818,2792,20934,5868,108066,9963,227706,12731,92529,18611,36797,28362,34557,28652,32426,34689,36393,40577,37834,46596,35427,53897,33439,87960,36684,183310,41644,100076,26770,67806,13364,69739,10553,50742,9130,23428,6021,4891,2262,326,209,1,21,0,0,844589,874520,37.564718,126.977108
2015,12,1호선,종각,162,3,5559,4839,5685,30214,9671,111453,15196,269724,18045,152968,25119,81455,38339,82420,48605,79289,64142,79535,76540,73316,89700,67113,102437,71256,138646,90242,241506,125720,155116,88323,132799,35388,164565,22155,160783,17309,83856,14648,17674,2764,1771,174,10,17,0,0,1500325,1597779,37.570161,126.982923
2015,12,1호선,종로3가,179,8,5594,2222,4995,12562,7877,30821,12590,96809,16610,104193,30249,92203,47504,96445,61560,101037,78904,103275,88548,94356,100961,79066,112521,72155,117481,70387,135690,80499,109152,56638,79621,21902,88714,15062,85370,11978,39381,8450,7787,3912,536,214,5,45,0,0,1154239,1233665,37.571607,126.99180600000001
2015,12,1호선,종로3가,179,8,5594,2222,4995,12562,7877,30821,12590,96809,16610,104193,30249,92203,47504,96445,61560,101037,78904,103275,88548,94356,100961,79066,112521,72155,117481,70387,135690,80499,109152,56638,79621,21902,88714,15062,85370,11978,39381,8450,7787,3912,536,214,5,45,0,0,1154239,1233665,37.571607,126.99180600000001
2015,12,1호선,종로3가,179,8,5594,2222,4995,12562,7877,30821,12590,96809,16610,104193,30249,92203,47504,96445,61560,101037,78904,103275,88548,94356,100961,79066,112521,72155,117481,70387,135690,80499,109152,56638,79621,21902,88714,15062,85370,11978,39381,8450,7787,3912,536,214,5,45,0,0,1154239,1233665,37.571607,126.99180600000001
2015,12,1호선,종로3가,179,8,5594,2222,4995,12562,7877,30821,12590,96809,16610,104193,30249,92203,47504,96445,61560,101037,78904,103275,88548,94356,100961,79066,112521,72155,117481,70387,135690,80499,109152,56638,79621,21902,88714,15062,85370,11978,39381,8450,7787,3912,536,214,5,45,0,0,1154239,1233665,37.571607,126.99180600000001
2015,12,1호선,종로3가,179,8,5594,2222,4995,12562,7877,30821,12590,96809,16610,104193,30249,92203,47504,96445,61560,101037,78904,103275,88548,94356,100961,79066,112521,72155,117481,70387,135690,80499,109152,56638,79621,21902,88714,15062,85370,11978,39381,8450,7787,3912,536,214,5,45,0,0,1154239,1233665,37.571607,126.99180600000001
2015,12,1호선,종로3가,179,8,5594,2222,4995,12562,7877,30821,12590,96809,16610,104193,30249,92203,47504,96445,61560,101037,78904,103275,88548,94356,100961,79066,112521,72155,117481,70387,135690,80499,109152,56638,79621,21902,88714,15062,85370,11978,39381,8450,7787,3912,536,214,5,45,0,0,1154239,1233665,37.571607,126.99180600000001
2015,12,1호선,종로3가,179,8,5594,2222,4995,12562,7877,30821,12590,96809,16610,104193,30249,92203,47504,96445,61560,101037,78904,103275,88548,94356,100961,79066,112521,72155,117481,70387,135690,80499,109152,56638,79621,21902,88714,15062,85370,11978,39381,8450,7787,3912,536,214,5,45,0,0,1154239,1233665,37.571607,126.99180600000001
2015,12,1호선,종로3가,179,8,5594,2222,4995,12562,7877,30821,12590,96809,16610,104193,30249,92203,47504,96445,61560,101037,78904,103275,88548,94356,100961,79066,112521,72155,117481,70387,135690,80499,109152,56638,79621,21902,88714,15062,85370,11978,39381,8450,7787,3912,536,214,5,45,0,0,1154239,1233665,37.571607,126.99180600000001
2015,12,1호선,종로3가,179,8,5594,2222,4995,12562,7877,30821,12590,96809,16610,104193,30249,92203,47504,96445,61560,101037,78904,103275,88548,94356,100961,79066,112521,72155,117481,70387,135690,80499,109152,56638,79621,21902,88714,15062,85370,11978,39381,8450,7787,3912,536,214,5,45,0,0,1154239,1233665,37.571607,126.99180600000001
2015,12,3호선,종로3가,15,0,744,660,1300,3964,1777,13198,2710,47647,4288,46212,6660,33273,8832,25037,10121,24927,12173,26968,14790,26311,17122,21835,22030,19184,27383,18560,41819,18794,37185,12869,18120,6552,15718,5005,12046,4405,6108,3058,997,1152,34,65,1,10,0,0,359686,263973,37.571607,126.99180600000001
2015,12,3호선,종로3가,15,0,744,660,1300,3964,1777,13198,2710,47647,4288,46212,6660,33273,8832,25037,10121,24927,12173,26968,14790,26311,17122,21835,22030,19184,27383,18560,41819,18794,37185,12869,18120,6552,15718,5005,12046,4405,6108,3058,997,1152,34,65,1,10,0,0,359686,263973,37.571607,126.99180600000001
