year,month,line,station,04-05 (on),04-05 (off),05-06 (on),05-06 (off),06-07 (on),06-07 (off),07-08 (on),07-08 (off),08-09 (on),08-09 (off),09-10 (on),09-10 (off),10-11 (on),10-11 (off),11-12 (on),11-12 (off),12-13 (on),12-13 (off),13-14 (on),13-14 (off),14-15 (on),14-15 (off),15-16 (on),15-16 (off),16-17 (on),16-17 (off),17-18 (on),17-18 (off),18-19 (on),18-19 (off),19-20 (on),19-20 (off),20-21 (on),20-21 (off),21-22 (on),21-22 (off),22-23 (on),22-23 (off),23-24 (on),23-24 (off),00-01 (on),00-01 (off),01-02 (on),01-02 (off),02-03 (on),02-03 (off),03-04 (on),03-04 (off),total(on),total(off),X(WGS),Y(WGS)
2016,3,경춘선,가평,1,0,521,60,1474,701,3864,2549,4137,5960,3201,4082,3354,4220,4776,6313,3855,7544,3448,4467,3876,4706,5316,4421,6427,3305,7100,4502,6810,3127,2707,3816,1567,2163,1533,1770,1071,1564,337,1305,9,527,0,0,0,0,0,0,67102,67399,37.814536,127.51073899999999
2016,3,과천선,정부과천청사,18,1,1903,1754,7152,7638,24809,29108,23497,85368,19642,29270,15799,19240,16842,17094,16643,14517,22594,16858,23731,16224,20637,14855,23397,16216,33069,20865,58736,26375,28405,29727,19797,15720,21960,12808,14499,12097,5081,7871,655,2329,0,0,0,0,0,0,395935,400864,37.426513,126.98978000000001
2016,3,3호선,수서,64,3,4796,1034,14682,9758,38125,27087,38377,49895,26532,23322,19516,15907,19502,14285,19907,13719,19766,14588,18615,16153,19642,18060,24748,20674,28735,23993,40667,32236,21521,35209,14299,24554,13243,21971,8497,24506,3140,14036,397,6246,1,421,0,0,0,0,407657,396724,37.487371,127.10188000000001
2016,3,3호선,수서,64,3,4796,1034,14682,9758,38125,27087,38377,49895,26532,23322,19516,15907,19502,14285,19907,13719,19766,14588,18615,16153,19642,18060,24748,20674,28735,23993,40667,32236,21521,35209,14299,24554,13243,21971,8497,24506,3140,14036,397,6246,1,421,0,0,0,0,407657,396724,37.487371,127.10188000000001
2016,3,3호선,수서,64,3,4796,1034,14682,9758,38125,27087,38377,49895,26532,23322,19516,15907,19502,14285,19907,13719,19766,14588,18615,16153,19642,18060,24748,20674,28735,23993,40667,32236,21521,35209,14299,24554,13243,21971,8497,24506,3140,14036,397,6246,1,421,0,0,0,0,407657,396724,37.487371,127.10188000000001
2016,3,3호선,수서,64,3,4796,1034,14682,9758,38125,27087,38377,49895,26532,23322,19516,15907,19502,14285,19907,13719,19766,14588,18615,16153,19642,18060,24748,20674,28735,23993,40667,32236,21521,35209,14299,24554,13243,21971,8497,24506,3140,14036,397,6246,1,421,0,0,0,0,407657,396724,37.487371,127.10188000000001
2016,3,분당선,수서,65,0,3341,1827,8239,7268,24740,18578,30302,38904,21242,16604,14050,10535,12830,9432,12581,9621,13162,10627,11950,10676,12799,12035,14958,14080,19716,17360,31267,23492,15706,24362,10333,16507,10163,15544,6871,15503,2985,10309,126,1608,0,0,0,0,0,0,284872,279377,37.487371,127.10188000000001
2016,3,분당선,수서,65,0,3341,1827,8239,7268,24740,18578,30302,38904,21242,16604,14050,10535,12830,9432,12581,9621,13162,10627,11950,10676,12799,12035,14958,14080,19716,17360,31267,23492,15706,24362,10333,16507,10163,15544,6871,15503,2985,10309,126,1608,0,0,0,0,0,0,284872,279377,37.487371,127.10188000000001
2016,3,분당선,수서,65,0,3341,1827,8239,7268,24740,18578,30302,38904,21242,16604,14050,10535,12830,9432,12581,9621,13162,10627,11950,10676,12799,12035,14958,14080,19716,17360,31267,23492,15706,24362,10333,16507,10163,15544,6871,15503,2985,10309,126,1608,0,0,0,0,0,0,284872,279377,37.487371,127.10188000000001
2016,3,분당선,수서,65,0,3341,1827,8239,7268,24740,18578,30302,38904,21242,16604,14050,10535,12830,9432,12581,9621,13162,10627,11950,10676,12799,12035,14958,14080,19716,17360,31267,23492,15706,24362,10333,16507,10163,15544,6871,15503,2985,10309,126,1608,0,0,0,0,0,0,284872,279377,37.487371,127.10188000000001
2016,3,7호선,강남구청,13,0,1874,1579,5252,13253,9812,35346,13772,119553,12015,96951,11524,40746,13929,26227,15785,23509,19390,25709,23549,22519,28752,20923,29966,20754,38275,21504,85206,23796,62747,19136,41757,11979,39876,9589,32221,8120,13875,5702,2152,2510,0,0,0,0,0,0,549405,503745,37.517185999999995,127.04128
2016,3,7호선,강남구청,13,0,1874,1579,5252,13253,9812,35346,13772,119553,12015,96951,11524,40746,13929,26227,15785,23509,19390,25709,23549,22519,28752,20923,29966,20754,38275,21504,85206,23796,62747,19136,41757,11979,39876,9589,32221,8120,13875,5702,2152,2510,0,0,0,0,0,0,549405,503745,37.517185999999995,127.04128
2016,3,7호선,강남구청,13,0,1874,1579,5252,13253,9812,35346,13772,119553,12015,96951,11524,40746,13929,26227,15785,23509,19390,25709,23549,22519,28752,20923,29966,20754,38275,21504,85206,23796,62747,19136,41757,11979,39876,9589,32221,8120,13875,5702,2152,2510,0,0,0,0,0,0,549405,503745,37.517185999999995,127.04128
2016,3,7호선,강남구청,13,0,1874,1579,5252,13253,9812,35346,13772,119553,12015,96951,11524,40746,13929,26227,15785,23509,19390,25709,23549,22519,28752,20923,29966,20754,38275,21504,85206,23796,62747,19136,41757,11979,39876,9589,32221,8120,13875,5702,2152,2510,0,0,0,0,0,0,549405,503745,37.517185999999995,127.04128
2016,3,분당선,강남구청,17,0,1192,669,3079,4750,9722,15753,13331,56358,10721,42646,9435,19946,10955,14816,10808,15065,13662,16776,14627,16374,17082,16182,17311,16491,21678,17484,48446,21763,29978,18400,18678,10154,16760,8350,12919,8815,5141,5622,156,1130,0,0,0,0,0,0,327544,287697,37.517185999999995,127.04128
2016,3,분당선,강남구청,17,0,1192,669,3079,4750,9722,15753,13331,56358,10721,42646,9435,19946,10955,14816,10808,15065,13662,16776,14627,16374,17082,16182,17311,16491,21678,17484,48446,21763,29978,18400,18678,10154,16760,8350,12919,8815,5141,5622,156,1130,0,0,0,0,0,0,327544,287697,37.517185999999995,127.04128
2016,3,분당선,강남구청,17,0,1192,669,3079,4750,9722,15753,13331,56358,10721,42646,9435,19946,10955,14816,10808,15065,13662,16776,14627,16374,17082,16182,17311,16491,21678,17484,48446,21763,29978,18400,18678,10154,16760,8350,12919,8815,5141,5622,156,1130,0,0,0,0,0,0,327544,287697,37.517185999999995,127.04128
2016,3,분당선,강남구청,17,0,1192,669,3079,4750,9722,15753,13331,56358,10721,42646,9435,19946,10955,14816,10808,15065,13662,16776,14627,16374,17082,16182,17311,16491,21678,17484,48446,21763,29978,18400,18678,10154,16760,8350,12919,8815,5141,5622,156,1130,0,0,0,0,0,0,327544,287697,37.517185999999995,127.04128
2016,3,경부선,수원,1281,25,20837,7744,43704,34257,95205,66089,106332,124840,65744,111176,60945,76507,61669,79163,68139,87743,73192,87160,72587,83703,87959,82589,107157,112943,123467,121839,121143,141672,104559,147793,106135,83152,92733,68463,77751,58219,36237,37931,932,9561,1,3,1,13,0,0,1622585,1528445,37.265974,126.999874
2016,3,경부선,수원,1281,25,20837,7744,43704,34257,95205,66089,106332,124840,65744,111176,60945,76507,61669,79163,68139,87743,73192,87160,72587,83703,87959,82589,107157,112943,123467,121839,121143,141672,104559,147793,106135,83152,92733,68463,77751,58219,36237,37931,932,9561,1,3,1,13,0,0,1622585,1528445,37.265974,126.999874
2016,3,경부선,수원,1281,25,20837,7744,43704,34257,95205,66089,106332,124840,65744,111176,60945,76507,61669,79163,68139,87743,73192,87160,72587,83703,87959,82589,107157,112943,123467,121839,121143,141672,104559,147793,106135,83152,92733,68463,77751,58219,36237,37931,932,9561,1,3,1,13,0,0,1622585,1528445,37.265974,126.999874
2016,3,경부선,수원,1281,25,20837,7744,43704,34257,95205,66089,106332,124840,65744,111176,60945,76507,61669,79163,68139,87743,73192,87160,72587,83703,87959,82589,107157,112943,123467,121839,121143,141672,104559,147793,106135,83152,92733,68463,77751,58219,36237,37931,932,9561,1,3,1,13,0,0,1622585,1528445,37.265974,126.999874
2016,3,분당선,수원,573,1,5003,704,9414,3602,33939,7962,40647,16760,19974,11758,11669,6979,12073,6516,12133,8564,13407,8815,12501,8025,14484,8457,18081,12308,21635,16250,24697,25595,20676,22714,19277,13771,18698,11128,16494,10023,7571,5735,183,3064,0,0,0,0,0,0,208731,334572,37.265974,126.999874
