year,month,line,station,04-05 (on),04-05 (off),05-06 (on),05-06 (off),06-07 (on),06-07 (off),07-08 (on),07-08 (off),08-09 (on),08-09 (off),09-10 (on),09-10 (off),10-11 (on),10-11 (off),11-12 (on),11-12 (off),12-13 (on),12-13 (off),13-14 (on),13-14 (off),14-15 (on),14-15 (off),15-16 (on),15-16 (off),16-17 (on),16-17 (off),17-18 (on),17-18 (off),18-19 (on),18-19 (off),19-20 (on),19-20 (off),20-21 (on),20-21 (off),21-22 (on),21-22 (off),22-23 (on),22-23 (off),23-24 (on),23-24 (off),00-01 (on),00-01 (off),01-02 (on),01-02 (off),02-03 (on),02-03 (off),03-04 (on),03-04 (off),total(on),total(off),X(WGS),Y(WGS)
2016,11,경춘선,가평,0,0,552,89,1263,980,3014,2650,4069,7293,3299,6596,3427,8373,4934,7213,4235,12490,4611,5215,5748,6074,7931,4637,10621,3719,12703,3002,8914,4127,3396,3616,1516,1847,1348,2196,667,1563,314,1145,8,433,0,0,0,0,0,0,83258,84586,37.814536,127.51073899999999
2016,11,과천선,정부과천청사,12,1,1975,1783,7004,7274,23420,24043,24101,75522,18385,26803,15935,18124,15690,16208,17747,13442,21289,14653,24081,15212,21102,14444,23907,14695,33291,18551,59045,25178,24830,25443,19098,14238,17338,11509,12168,10739,4151,7293,429,2212,0,6,0,0,0,0,357373,387002,37.426513,126.98978000000001
2016,11,3호선,수서,119,6,5654,1634,16463,10795,46837,28693,50860,64827,34170,30321,24183,18901,22389,16032,24996,17628,23813,19082,21858,19873,22989,20341,31460,25895,36429,32353,52316,41205,23705,44895,17764,28986,15205,26900,9776,28943,3877,16914,680,7362,4,726,0,0,0,0,502312,487444,37.487371,127.10188000000001
2016,11,3호선,수서,119,6,5654,1634,16463,10795,46837,28693,50860,64827,34170,30321,24183,18901,22389,16032,24996,17628,23813,19082,21858,19873,22989,20341,31460,25895,36429,32353,52316,41205,23705,44895,17764,28986,15205,26900,9776,28943,3877,16914,680,7362,4,726,0,0,0,0,502312,487444,37.487371,127.10188000000001
2016,11,3호선,수서,119,6,5654,1634,16463,10795,46837,28693,50860,64827,34170,30321,24183,18901,22389,16032,24996,17628,23813,19082,21858,19873,22989,20341,31460,25895,36429,32353,52316,41205,23705,44895,17764,28986,15205,26900,9776,28943,3877,16914,680,7362,4,726,0,0,0,0,502312,487444,37.487371,127.10188000000001
2016,11,3호선,수서,119,6,5654,1634,16463,10795,46837,28693,50860,64827,34170,30321,24183,18901,22389,16032,24996,17628,23813,19082,21858,19873,22989,20341,31460,25895,36429,32353,52316,41205,23705,44895,17764,28986,15205,26900,9776,28943,3877,16914,680,7362,4,726,0,0,0,0,502312,487444,37.487371,127.10188000000001
2016,11,분당선,수서,10,0,2610,1434,4978,4628,12702,9334,16369,19643,12004,9133,8010,5848,7629,5313,8304,5794,8035,6572,7366,6263,8006,7039,9507,8172,11639,10567,17239,13376,7689,13304,5161,8717,5124,8219,3494,7952,1389,4922,101,925,0,0,0,0,0,0,157155,159372,37.487371,127.10188000000001
2016,11,분당선,수서,10,0,2610,1434,4978,4628,12702,9334,16369,19643,12004,9133,8010,5848,7629,5313,8304,5794,8035,6572,7366,6263,8006,7039,9507,8172,11639,10567,17239,13376,7689,13304,5161,8717,5124,8219,3494,7952,1389,4922,101,925,0,0,0,0,0,0,157155,159372,37.487371,127.10188000000001
2016,11,분당선,수서,10,0,2610,1434,4978,4628,12702,9334,16369,19643,12004,9133,8010,5848,7629,5313,8304,5794,8035,6572,7366,6263,8006,7039,9507,8172,11639,10567,17239,13376,7689,13304,5161,8717,5124,8219,3494,7952,1389,4922,101,925,0,0,0,0,0,0,157155,159372,37.487371,127.10188000000001
2016,11,분당선,수서,10,0,2610,1434,4978,4628,12702,9334,16369,19643,12004,9133,8010,5848,7629,5313,8304,5794,8035,6572,7366,6263,8006,7039,9507,8172,11639,10567,17239,13376,7689,13304,5161,8717,5124,8219,3494,7952,1389,4922,101,925,0,0,0,0,0,0,157155,159372,37.487371,127.10188000000001
2016,11,7호선,강남구청,6,0,1788,1535,4552,12616,9217,32836,12641,112878,10939,93618,10932,38228,13212,24662,15347,22333,18623,23859,22486,20757,27239,19872,28631,20171,37976,21144,86174,23475,57565,18043,37123,10322,35696,8650,27928,7376,12233,5362,1830,2350,1,0,0,0,0,0,520087,474149,37.517185999999995,127.04128
2016,11,7호선,강남구청,6,0,1788,1535,4552,12616,9217,32836,12641,112878,10939,93618,10932,38228,13212,24662,15347,22333,18623,23859,22486,20757,27239,19872,28631,20171,37976,21144,86174,23475,57565,18043,37123,10322,35696,8650,27928,7376,12233,5362,1830,2350,1,0,0,0,0,0,520087,474149,37.517185999999995,127.04128
2016,11,7호선,강남구청,6,0,1788,1535,4552,12616,9217,32836,12641,112878,10939,93618,10932,38228,13212,24662,15347,22333,18623,23859,22486,20757,27239,19872,28631,20171,37976,21144,86174,23475,57565,18043,37123,10322,35696,8650,27928,7376,12233,5362,1830,2350,1,0,0,0,0,0,520087,474149,37.517185999999995,127.04128
2016,11,7호선,강남구청,6,0,1788,1535,4552,12616,9217,32836,12641,112878,10939,93618,10932,38228,13212,24662,15347,22333,18623,23859,22486,20757,27239,19872,28631,20171,37976,21144,86174,23475,57565,18043,37123,10322,35696,8650,27928,7376,12233,5362,1830,2350,1,0,0,0,0,0,520087,474149,37.517185999999995,127.04128
2016,11,분당선,강남구청,25,1,1218,700,2857,4536,8153,13860,11815,50933,9996,41094,8782,19506,9693,13626,10412,13463,12833,15673,13346,15460,15566,15465,15847,15307,21842,17775,48279,21011,26862,16647,16118,9387,14585,7427,10937,7430,4332,4681,157,1016,0,0,0,0,0,0,304998,265646,37.517185999999995,127.04128
2016,11,분당선,강남구청,25,1,1218,700,2857,4536,8153,13860,11815,50933,9996,41094,8782,19506,9693,13626,10412,13463,12833,15673,13346,15460,15566,15465,15847,15307,21842,17775,48279,21011,26862,16647,16118,9387,14585,7427,10937,7430,4332,4681,157,1016,0,0,0,0,0,0,304998,265646,37.517185999999995,127.04128
2016,11,분당선,강남구청,25,1,1218,700,2857,4536,8153,13860,11815,50933,9996,41094,8782,19506,9693,13626,10412,13463,12833,15673,13346,15460,15566,15465,15847,15307,21842,17775,48279,21011,26862,16647,16118,9387,14585,7427,10937,7430,4332,4681,157,1016,0,0,0,0,0,0,304998,265646,37.517185999999995,127.04128
2016,11,분당선,강남구청,25,1,1218,700,2857,4536,8153,13860,11815,50933,9996,41094,8782,19506,9693,13626,10412,13463,12833,15673,13346,15460,15566,15465,15847,15307,21842,17775,48279,21011,26862,16647,16118,9387,14585,7427,10937,7430,4332,4681,157,1016,0,0,0,0,0,0,304998,265646,37.517185999999995,127.04128
2016,11,경부선,수원,2099,45,21266,8870,43462,31704,87232,59011,91377,103987,57041,97185,57001,71284,56672,72977,64139,78861,68729,80944,66327,82222,86595,77418,98093,100700,114491,115119,109342,136825,91855,129003,96140,76360,80562,56838,67659,54453,30873,29536,663,11879,0,0,0,0,0,0,1475221,1391535,37.265974,126.999874
2016,11,경부선,수원,2099,45,21266,8870,43462,31704,87232,59011,91377,103987,57041,97185,57001,71284,56672,72977,64139,78861,68729,80944,66327,82222,86595,77418,98093,100700,114491,115119,109342,136825,91855,129003,96140,76360,80562,56838,67659,54453,30873,29536,663,11879,0,0,0,0,0,0,1475221,1391535,37.265974,126.999874
